Z	X	Y	String
2	0	0	-791016.804707 -1800000.000000 -791016.804707 -900000.000000
2	0	1	-405847.633051 -1800000.000000 -405847.633051 -900000.000000
2	0	2	405847.633051 -1800000.000000 405847.633051 -900000.000000
2	0	3	791016.804707 -1800000.000000 791016.804707 -900000.000000
2	1	0	-791016.804707 -900000.000000 -791016.804707 00000.000000
2	1	1	-405847.633051 -900000.000000 -405847.633051 00000.000000
2	1	2	405847.633051 -900000.000000 405847.633051 00000.000000
2	1	3	791016.804707 -900000.000000 791016.804707 00000.000000
2	2	0	-791016.804707 00000.000000 -791016.804707 900000.000000
2	2	1	-405847.633051 00000.000000 -405847.633051 900000.000000
2	2	2	405847.633051 00000.000000 405847.633051 900000.000000
2	2	3	791016.804707 00000.000000 791016.804707 900000.000000
2	3	0	-791016.804707 900000.000000 -791016.804707 1800000.000000
2	3	1	-405847.633051 900000.000000 -405847.633051 1800000.000000
2	3	2	405847.633051 900000.000000 405847.633051 1800000.000000
2	3	3	791016.804707 900000.000000 791016.804707 1800000.000000
