Z	X	Y	String
4	0	0	-835845.334196 -1800000.000000 -835845.334196 -1573000.000000
4	0	1	-810535.569869 -1800000.000000 -810535.569869 -1573000.000000
4	0	2	-765026.939092 -1800000.000000 -765026.939092 -1573000.000000
4	0	3	-703645.411257 -1800000.000000 -703645.411257 -1573000.000000
4	0	4	-613623.026937 -1800000.000000 -613623.026937 -1573000.000000
4	0	5	-485520.997350 -1800000.000000 -485520.997350 -1573000.000000
4	0	6	-315707.784057 -1800000.000000 -315707.784057 -1573000.000000
4	0	7	-111042.246745 -1800000.000000 -111042.246745 -1573000.000000
4	0	8	111042.246745 -1800000.000000 111042.246745 -1573000.000000
4	0	9	315707.784057 -1800000.000000 315707.784057 -1573000.000000
4	0	10	485520.997350 -1800000.000000 485520.997350 -1573000.000000
4	0	11	613623.026937 -1800000.000000 613623.026937 -1573000.000000
4	0	12	703645.411257 -1800000.000000 703645.411257 -1573000.000000
4	0	13	765026.939092 -1800000.000000 765026.939092 -1573000.000000
4	0	14	810535.569869 -1800000.000000 810535.569869 -1573000.000000
4	0	15	835845.334196 -1800000.000000 835845.334196 -1573000.000000
4	1	0	-835845.334196 -1573000.000000 -835845.334196 -1350000.000000
4	1	1	-810535.569869 -1573000.000000 -810535.569869 -1350000.000000
4	1	2	-765026.939092 -1573000.000000 -765026.939092 -1350000.000000
4	1	3	-703645.411257 -1573000.000000 -703645.411257 -1350000.000000
4	1	4	-613623.026937 -1573000.000000 -613623.026937 -1350000.000000
4	1	5	-485520.997350 -1573000.000000 -485520.997350 -1350000.000000
4	1	6	-315707.784057 -1573000.000000 -315707.784057 -1350000.000000
4	1	7	-111042.246745 -1573000.000000 -111042.246745 -1350000.000000
4	1	8	111042.246745 -1573000.000000 111042.246745 -1350000.000000
4	1	9	315707.784057 -1573000.000000 315707.784057 -1350000.000000
4	1	10	485520.997350 -1573000.000000 485520.997350 -1350000.000000
4	1	11	613623.026937 -1573000.000000 613623.026937 -1350000.000000
4	1	12	703645.411257 -1573000.000000 703645.411257 -1350000.000000
4	1	13	765026.939092 -1573000.000000 765026.939092 -1350000.000000
4	1	14	810535.569869 -1573000.000000 810535.569869 -1350000.000000
4	1	15	835845.334196 -1573000.000000 835845.334196 -1350000.000000
4	2	0	-835845.334196 -1350000.000000 -835845.334196 -1123000.000000
4	2	1	-810535.569869 -1350000.000000 -810535.569869 -1123000.000000
4	2	2	-765026.939092 -1350000.000000 -765026.939092 -1123000.000000
4	2	3	-703645.411257 -1350000.000000 -703645.411257 -1123000.000000
4	2	4	-613623.026937 -1350000.000000 -613623.026937 -1123000.000000
4	2	5	-485520.997350 -1350000.000000 -485520.997350 -1123000.000000
4	2	6	-315707.784057 -1350000.000000 -315707.784057 -1123000.000000
4	2	7	-111042.246745 -1350000.000000 -111042.246745 -1123000.000000
4	2	8	111042.246745 -1350000.000000 111042.246745 -1123000.000000
4	2	9	315707.784057 -1350000.000000 315707.784057 -1123000.000000
4	2	10	485520.997350 -1350000.000000 485520.997350 -1123000.000000
4	2	11	613623.026937 -1350000.000000 613623.026937 -1123000.000000
4	2	12	703645.411257 -1350000.000000 703645.411257 -1123000.000000
4	2	13	765026.939092 -1350000.000000 765026.939092 -1123000.000000
4	2	14	810535.569869 -1350000.000000 810535.569869 -1123000.000000
4	2	15	835845.334196 -1350000.000000 835845.334196 -1123000.000000
4	3	0	-835845.334196 -1123000.000000 -835845.334196 -900000.000000
4	3	1	-810535.569869 -1123000.000000 -810535.569869 -900000.000000
4	3	2	-765026.939092 -1123000.000000 -765026.939092 -900000.000000
4	3	3	-703645.411257 -1123000.000000 -703645.411257 -900000.000000
4	3	4	-613623.026937 -1123000.000000 -613623.026937 -900000.000000
4	3	5	-485520.997350 -1123000.000000 -485520.997350 -900000.000000
4	3	6	-315707.784057 -1123000.000000 -315707.784057 -900000.000000
4	3	7	-111042.246745 -1123000.000000 -111042.246745 -900000.000000
4	3	8	111042.246745 -1123000.000000 111042.246745 -900000.000000
4	3	9	315707.784057 -1123000.000000 315707.784057 -900000.000000
4	3	10	485520.997350 -1123000.000000 485520.997350 -900000.000000
4	3	11	613623.026937 -1123000.000000 613623.026937 -900000.000000
4	3	12	703645.411257 -1123000.000000 703645.411257 -900000.000000
4	3	13	765026.939092 -1123000.000000 765026.939092 -900000.000000
4	3	14	810535.569869 -1123000.000000 810535.569869 -900000.000000
4	3	15	835845.334196 -1123000.000000 835845.334196 -900000.000000
4	4	0	-835845.334196 -900000.000000 -835845.334196 -673000.000000
4	4	1	-810535.569869 -900000.000000 -810535.569869 -673000.000000
4	4	2	-765026.939092 -900000.000000 -765026.939092 -673000.000000
4	4	3	-703645.411257 -900000.000000 -703645.411257 -673000.000000
4	4	4	-613623.026937 -900000.000000 -613623.026937 -673000.000000
4	4	5	-485520.997350 -900000.000000 -485520.997350 -673000.000000
4	4	6	-315707.784057 -900000.000000 -315707.784057 -673000.000000
4	4	7	-111042.246745 -900000.000000 -111042.246745 -673000.000000
4	4	8	111042.246745 -900000.000000 111042.246745 -673000.000000
4	4	9	315707.784057 -900000.000000 315707.784057 -673000.000000
4	4	10	485520.997350 -900000.000000 485520.997350 -673000.000000
4	4	11	613623.026937 -900000.000000 613623.026937 -673000.000000
4	4	12	703645.411257 -900000.000000 703645.411257 -673000.000000
4	4	13	765026.939092 -900000.000000 765026.939092 -673000.000000
4	4	14	810535.569869 -900000.000000 810535.569869 -673000.000000
4	4	15	835845.334196 -900000.000000 835845.334196 -673000.000000
4	5	0	-835845.334196 -673000.000000 -835845.334196 -450000.000000
4	5	1	-810535.569869 -673000.000000 -810535.569869 -450000.000000
4	5	2	-765026.939092 -673000.000000 -765026.939092 -450000.000000
4	5	3	-703645.411257 -673000.000000 -703645.411257 -450000.000000
4	5	4	-613623.026937 -673000.000000 -613623.026937 -450000.000000
4	5	5	-485520.997350 -673000.000000 -485520.997350 -450000.000000
4	5	6	-315707.784057 -673000.000000 -315707.784057 -450000.000000
4	5	7	-111042.246745 -673000.000000 -111042.246745 -450000.000000
4	5	8	111042.246745 -673000.000000 111042.246745 -450000.000000
4	5	9	315707.784057 -673000.000000 315707.784057 -450000.000000
4	5	10	485520.997350 -673000.000000 485520.997350 -450000.000000
4	5	11	613623.026937 -673000.000000 613623.026937 -450000.000000
4	5	12	703645.411257 -673000.000000 703645.411257 -450000.000000
4	5	13	765026.939092 -673000.000000 765026.939092 -450000.000000
4	5	14	810535.569869 -673000.000000 810535.569869 -450000.000000
4	5	15	835845.334196 -673000.000000 835845.334196 -450000.000000
4	6	0	-835845.334196 -450000.000000 -835845.334196 -223000.000000
4	6	1	-810535.569869 -450000.000000 -810535.569869 -223000.000000
4	6	2	-765026.939092 -450000.000000 -765026.939092 -223000.000000
4	6	3	-703645.411257 -450000.000000 -703645.411257 -223000.000000
4	6	4	-613623.026937 -450000.000000 -613623.026937 -223000.000000
4	6	5	-485520.997350 -450000.000000 -485520.997350 -223000.000000
4	6	6	-315707.784057 -450000.000000 -315707.784057 -223000.000000
4	6	7	-111042.246745 -450000.000000 -111042.246745 -223000.000000
4	6	8	111042.246745 -450000.000000 111042.246745 -223000.000000
4	6	9	315707.784057 -450000.000000 315707.784057 -223000.000000
4	6	10	485520.997350 -450000.000000 485520.997350 -223000.000000
4	6	11	613623.026937 -450000.000000 613623.026937 -223000.000000
4	6	12	703645.411257 -450000.000000 703645.411257 -223000.000000
4	6	13	765026.939092 -450000.000000 765026.939092 -223000.000000
4	6	14	810535.569869 -450000.000000 810535.569869 -223000.000000
4	6	15	835845.334196 -450000.000000 835845.334196 -223000.000000
4	7	0	-835845.334196 -223000.000000 -835845.334196 00000.000000
4	7	1	-810535.569869 -223000.000000 -810535.569869 00000.000000
4	7	2	-765026.939092 -223000.000000 -765026.939092 00000.000000
4	7	3	-703645.411257 -223000.000000 -703645.411257 00000.000000
4	7	4	-613623.026937 -223000.000000 -613623.026937 00000.000000
4	7	5	-485520.997350 -223000.000000 -485520.997350 00000.000000
4	7	6	-315707.784057 -223000.000000 -315707.784057 00000.000000
4	7	7	-111042.246745 -223000.000000 -111042.246745 00000.000000
4	7	8	111042.246745 -223000.000000 111042.246745 00000.000000
4	7	9	315707.784057 -223000.000000 315707.784057 00000.000000
4	7	10	485520.997350 -223000.000000 485520.997350 00000.000000
4	7	11	613623.026937 -223000.000000 613623.026937 00000.000000
4	7	12	703645.411257 -223000.000000 703645.411257 00000.000000
4	7	13	765026.939092 -223000.000000 765026.939092 00000.000000
4	7	14	810535.569869 -223000.000000 810535.569869 00000.000000
4	7	15	835845.334196 -223000.000000 835845.334196 00000.000000
4	8	0	-835845.334196 00000.000000 -835845.334196 223000.000000
4	8	1	-810535.569869 00000.000000 -810535.569869 223000.000000
4	8	2	-765026.939092 00000.000000 -765026.939092 223000.000000
4	8	3	-703645.411257 00000.000000 -703645.411257 223000.000000
4	8	4	-613623.026937 00000.000000 -613623.026937 223000.000000
