ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	39.8261	21.4225	39.8261	21.4225	1937649	1949808
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	39.8261	21.4225	39.6167	24.5	1949808	1949816
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	39.6167	24.5	39.6167	24.5	1949816	1950431
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	39.6167	24.5	39.61	24.47	1950431	1950432
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	39.61	24.47	39.61	24.47	1950432	1951155
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	39.61	24.47	39.8261	21.4225	1951155	1951163
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	39.8261	21.4225	39.8261	21.4225	1951163	1951381
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	39.8261	21.4225	35.7	31.0667	1951381	1951406
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	35.7	31.0667	35.7	31.0667	1951406	1951533
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	35.7	31.0667	39.8261	21.4225	1951533	1951558
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	39.8261	21.4225	39.8261	21.4225	1951558	1951617
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	39.8261	21.4225	40.35	21.4333	1951617	1951619
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	40.35	21.4333	40.35	21.4333	1951619	1951813
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	40.35	21.4333	36.5794	28.3932	1951813	1951832
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	36.5794	28.3932	36.5794	28.3932	1951832	1952245
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	36.5794	28.3932	41.6833	27.5167	1952245	1952258
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	41.6833	27.5167	41.6833	27.5167	1952258	1952610
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	41.6833	27.5167	46.4566	24.8867	1952610	1952624
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	46.4566	24.8867	46.4566	24.8867	1952624	1952714
ハーリド・イブン・アル＝ワリード	Khalid ibn al-Walid	46.4566	24.8867	46.4566	24.8867	1952714	1952715
