ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
ハリバドラ	Haribhadra	74.647	24.8863	74.647	24.8863	1977095	1984399
ハリバドラ	Haribhadra	74.647	24.8863	74.647	24.8863	1984399	1984400
ハリバドラ	Haribhadra	74.647	24.8863	74.647	24.8863	1984400	1991691
ハリバドラ	Haribhadra	74.647	24.8863	79	22	1991691	1991704
ハリバドラ	Haribhadra	79	22	79	22	1991704	1993878
ハリバドラ	Haribhadra	79	22	72.117	23.8539	1993878	1993896
ハリバドラ	Haribhadra	72.117	23.8539	72.117	23.8539	1993896	2002654
ハリバドラ	Haribhadra	72.117	23.8539	72.8918	26.7245	2002654	2002662
ハリバドラ	Haribhadra	72.8918	26.7245	72.8918	26.7245	2002662	2002692
