key	en-US	longitude	latitude	first_julian_day	last_julian_day	min_size	max_size
Roma86	LONDINIUM	-0.090556	51.5125	1737131	2100000	1	32
Roma87	ALBANIANIS	4.666667	52.133333	1737131	2100000	1	32
Roma88	LAURI	4.883333	52.083333	1737131	2100000	1	32
Roma89	DUROVERNUM CANTIACORUM	1.081944	51.278611	1737131	2100000	1	32
Roma90	REGULBIUM	1.2	51.379	1737131	2100000	1	32
Roma91	RUTUPIAE	1.332	51.294	1737131	2100000	1	32
Roma92	NOVAE	25.394278	43.612889	1737131	2100000	1	32
Roma93	COLONIA CLAUDIA SAVARIENSUM	16.62191	47.23512	1737862	2100000	1	32
Roma94	VIMINACIUM	21.17	44.714722	1738227	2100000	1	32
Roma95	TRAIECTUM	5.121642	52.090692	1738592	2100000	1	32
Roma96	MATILO	4.5184	52.1497	1738592	2100000	1	32
Roma97	FORUM HADRIANI	4.355	52.07	1738592	2100000	1	32
Roma98	NIGRUM PULLUM	4.727222	52.105833	1738592	2100000	1	32
Roma99	LINDUM COLONIA	-0.538056	53.233889	1738958	2100000	1	32
Roma100	RATAE CORIELTAUVORUM	-1.1413	52.6349	1739688	2100000	1	32
Roma101	DUROCOBRIVIS	-0.52102	51.88603	1739688	2100000	1	32
Roma102	COLONIA AGRIPPINA	6.956944	50.938056	1739688	2100000	1	32
Roma103	DUROCORNOVIUM	-1.723	51.568	1739688	2100000	1	32
Roma104	VERULAMIUM	-0.3539	51.75	1739688	2100000	1	32
Roma105	LETOCETUM	-1.8565	52.6569	1739688	2100000	1	32
Roma106	DUBRIS	1.323	51.1285	1739688	2100000	1	32
Roma107	DANUM	-1.1339	53.52312	1739688	2100000	1	32
Roma108	MEDIOLANUM	-2.681	52.967	1740419	2100000	1	32
Roma109	ISCA DUMNONIORUM	-3.534	50.722	1741514	2100000	1	32
Roma110	BLESTIUM	-2.716944	51.808889	1741514	2100000	1	32
Roma111	VIROCONIUM CORNOVIORUM	-2.644167	52.674167	1742610	2100000	1	32
Roma112	AQUAE SULIS	-2.36	51.38	1743341	2100000	1	32
Roma113	DURNOVARIA	-2.437	50.715	1743341	2100000	1	32
Roma114	LINDINIS	-2.682	51.001	1743341	2100000	1	32
Roma115	AD FLEXUM	17.26873	47.87371	1743341	2100000	1	32
Roma116	CLAUSENTUM	-1.3834	50.918	1746993	2100000	1	32
Roma117	VENTA BELGARUM	-1.317	51.063	1746993	2100000	1	32
Roma118	CALLEVA ATREBATUM	-1.0825	51.357222	1746993	2100000	1	32
Roma119	DUROLIPONTE	0.114167	52.2125	1746993	2100000	1	32
Roma120	CONCANGIS	-1.572263	54.85659	1746993	2100000	1	32
Roma121	CONDATE	-2.518	53.259	1746993	2100000	1	32
Roma122	CORINIUM DOBUNNORUM	-1.968056	51.718889	1746993	2100000	1	32
Roma123	EBORACUM	-1.080556	53.961667	1747358	2100000	1	32
Roma124	LUGUVALIUM	-2.937	54.895	1747723	2100000	1	32
Roma125	ARAE FLAVIAE	8.624722	48.168056	1748089	2100000	1	32
Roma126	ISCA AUGUSTA	-2.9589	51.6103	1748454	2100000	1	32
Roma127	LAGENTIUM	-1.356	53.726	1748454	2100000	1	32
Roma128	MORIDUNUM	-4.31	51.86	1748819	2100000	1	32
Roma129	VENTA SILURUM	-2.768	51.611	1748819	2100000	1	32
Roma130	DEVA VICTRIX	-2.892778	53.191389	1750280	2100000	1	32
Roma131	MAMUCIUM	-2.250891	53.475962	1750280	2100000	1	32
Roma132	OLICANA	-1.822	53.925	1750280	2100000	1	32
Roma133	VINOVIA	-1.677	54.676	1750280	2100000	1	32
Roma134	INVERESK ROMAN FORT	-3.0546	55.9365	1750645	2100000	1	32
Roma135	BONAMES (PRESENT CITY DISTRICT)	8.664722	50.185278	1751741	2100000	1	32
Roma136	CORIA	-2.03316	54.9784	1752472	2100000	1	32
Roma137	GERULATA	17.149722	48.056111	1752472	2100000	1	32
