key	ja-JP	en-US	longitude	latitude	min_size	max_size	first_julian_day	last_julian_day
SamgukSagi792	藍浦縣	Nampo	126.5730104	36.29759905	0.1	2	1997931	9999999
SamgukSagi793	比衆縣	Bijung	126.5730104	36.13886164	0.1	2	1721424	1997930
SamgukSagi794	庇仁縣	Biin	126.5730104	36.13886164	0.1	2	1997931	9999999
SamgukSagi795	馬尸山郡	Masisan	126.6315464	36.69677696	0.1	4	1721424	1997930
SamgukSagi796	伊山郡	Isan	126.6315464	36.69677696	0.1	4	1997931	9999999
SamgukSagi797	牛見縣	Ugyeon	126.4969136	36.61273951	0.1	2	1721424	1997930
SamgukSagi798	目牛縣	Moku	126.4969136	36.61273951	0.1	2	1997931	9999999
SamgukSagi799	今勿縣	Geummul	126.6608144	36.74113007	0.1	2	1721424	1997930
SamgukSagi800	今武縣	Geummu	126.6608144	36.74113007	0.1	2	1997931	2064499
SamgukSagi801	德豐縣	Deokpung	126.6608144	36.74113007	0.1	2	2064500	9999999
SamgukSagi802	歟郡	Yeo	126.6315464	36.8088269	0.1	4	1721424	1997930
SamgukSagi803	歟城郡	Yeoseong	126.6315464	36.8088269	0.1	4	1997931	9999999
SamgukSagi804	伐首只縣	Beolsuji	126.6052052	36.88586124	0.1	2	1721424	1997930
SamgukSagi805	唐津縣	Dangjin	126.6052052	36.88586124	0.1	2	1997931	9999999
SamgukSagi806	餘村縣	Yeochon	126.5291084	36.69911134	0.1	2	1721424	1997930
SamgukSagi807	餘邑縣	Yeoeup	126.5291084	36.69911134	0.1	2	1997931	2064499
SamgukSagi808	餘美縣	Yeomi	126.5291084	36.69911134	0.1	2	2064500	9999999
SamgukSagi809	沙平縣	Sapyeong	126.7427648	36.86485187	0.1	2	1721424	1997930
SamgukSagi810	新平縣	Sinpyeong	126.7427648	36.86485187	0.1	2	1997931	9999999
SamgukSagi811	所夫里郡(泗枇)	Soburi	126.871544	36.27892406	0.1	4	1721424	1997930
SamgukSagi812	扶餘郡	Buyeo	126.871544	36.27892406	0.1	4	1997931	9999999
SamgukSagi813	珍惡山縣	Jinagsan	126.9681283	36.21823035	0.1	2	1721424	1997930
SamgukSagi814	石山縣	Seoksan	126.9681283	36.21823035	0.1	2	1997931	2064499
SamgukSagi815	石城縣	Seokseong	126.9681283	36.21823035	0.1	2	2064500	9999999
SamgukSagi816	悅己縣(豆陵尹城/豆串城/尹城)	Yeolgi	126.9212995	36.40498025	0.1	2	1721424	1997930
SamgukSagi817	悅城縣	Yeolseong	126.9212995	36.40498025	0.1	2	1997931	2064499
SamgukSagi818	定山縣	Jeongsan	126.9212995	36.40498025	0.1	2	2064500	9999999
SamgukSagi819	任存城	Imjonseong	126.7486184	36.60573639	0.1	4	1721424	1997930
SamgukSagi820	任城郡	Imseong	126.7486184	36.60573639	0.1	4	1997931	2064499
SamgukSagi821	大興郡	Daeheung	126.7486184	36.60573639	0.1	4	2064500	9999999
SamgukSagi822	古良夫里縣	Goryangburi	126.7720328	36.43766148	0.1	2	1721424	1997930
SamgukSagi823	靑正縣	Cheongjeong	126.7720328	36.43766148	0.1	2	1997931	2064499
SamgukSagi824	靑陽縣	Cheongyang	126.7720328	36.43766148	0.1	2	2064500	9999999
SamgukSagi825	烏山縣	Osan	126.8217884	36.66876448	0.1	2	1721424	1997930
SamgukSagi826	孤山縣	Gosan	126.8217884	36.66876448	0.1	2	1997931	2064499
SamgukSagi827	禮山縣	Ryesan	126.8217884	36.66876448	0.1	2	2064500	9999999
SamgukSagi828	黃等也山郡	Hwangdeungyasan	127.1642239	36.21823035	0.1	4	1721424	1997930
SamgukSagi829	黃山郡	Hwangsan	127.1642239	36.21823035	0.1	4	1997931	2064499
SamgukSagi830	連山縣	Ryeonsan	127.1642239	36.21823035	0.1	4	2064500	9999999
SamgukSagi831	眞紛縣(貞紛縣)	Jinbun	127.3193443	36.29759905	0.1	2	1721424	1997930
SamgukSagi832	鎭嶺縣	Jinryeong	127.3193443	36.29759905	0.1	2	1997931	2064499
SamgukSagi833	鎭岑縣	Jinjam	127.3193443	36.29759905	0.1	2	2064500	9999999
SamgukSagi834	珍同縣	Jindong	127.3398319	36.13185852	0.1	2	1721424	1997930
SamgukSagi835	珍同縣	Jindong	127.3398319	36.13185852	0.1	2	1997931	9999999
SamgukSagi836	雨述郡	Usul	127.4159286	36.37463339	0.1	4	1721424	1997930
SamgukSagi837	比豐郡	Bipung	127.4159286	36.37463339	0.1	4	1997931	2064499
SamgukSagi838	懷德郡	Pumdeok	127.4159286	36.37463339	0.1	4	2064500	9999999
