key	ja-JP	latitude	longitude	overall_length	first_julian_day	last_julian_day	texture	texture
Sekkan106	（浅野小学校）	34.25572659	134.0422952	222	99999999	99999999	FunaSekkan	FunaSekkan
Sekkan107	妙蓮寺山古墳	35.336913	132.737644	222	1925596	1947510	IeSekkan	IeSekkan
Sekkan108	（相頓寺）	35.4485315	136.190289	222	1925596	1947510	IeSekkan	IeSekkan
Sekkan109	郷戸古墳	35.413873	136.911428	221	1859852	1896376	IeSekkan	IeSekkan
Sekkan110	前田古墳	32.96536054	130.5917603	220	1896376	1910986	FunaSekkanRed	FunaSekkan
Sekkan111	真福寺古墳	32.96536054	130.5917603	220	1874462	1896376	FunaSekkanRed	FunaSekkan
Sekkan112	西階	32.56923395	131.6386015	220	1896376	1910986	FunaSekkanRed	FunaSekkan
Sekkan113	岩屋寺跡裏古墳	35.41409992	133.0115061	220	1896376	1925596	FunaSekkanYellow	FunaSekkan
Sekkan114	春日山古墳	36.08925621	136.3003575	220	1925596	1947510	FunaSekkan	FunaSekkan
Sekkan115	城山三の塚古墳	32.78046018	130.6751102	220	99999999	99999999	IeSekkan	IeSekkan
Sekkan116	橋本38号墳	35.45745379	134.2266642	220	1925596	1951893	IeSekkan	IeSekkan
Sekkan117	神垣3号墳	35.45659517	134.3108377	220	1925596	1951893	IeSekkan	IeSekkan
Sekkan118	（井手橋）	34.67593151	133.7639665	220	99999999	99999999	IeSekkanBrown	IeSekkan
Sekkan119	(専立寺)	34.51421419	135.742017	220	99999999	99999999	IeSekkanYellowGreen	IeSekkan
Sekkan120	村居田古墳	35.40156	136.335942	220	1896376	1910986	IeSekkan	IeSekkan
Sekkan121	駿河丸山古墳	34.95777477	138.4341951	220	1925596	1947510	IeSekkanBlue	IeSekkan
Sekkan122	北江間（大師山）2号横穴	35.05590526	138.9215001	220	1951893	1966138	IeSekkan	IeSekkan
Sekkan123	飛鳥千塚　切戸2号墳	34.53937878	135.6331659	218	1925596	1947510	IeSekkanYellowGreen	IeSekkan
Sekkan124	水泥南古墳	34.41194393	135.7426826	218	1937649	1980382	IeSekkanYellowGreen	IeSekkan
Sekkan125	潰平	32.98967171	131.6179438	216	1874462	1881767	FunaSekkanRed	FunaSekkan
Sekkan126	姫路城備前丸東	34.83954146	134.693902	216	99999999	99999999	IeSekkanBrown	IeSekkan
Sekkan127	（宝善寺1）	34.65073225	136.44528	216	99999999	99999999	IeSekkan	IeSekkan
Sekkan128	頂塚古墳	33.0137652	130.7563985	215	1881767	1896376	FunaSekkanRed	FunaSekkan
Sekkan129	貞丸1号墳	34.3987583	132.9666996	215	99999999	99999999	IeSekkanBrown	IeSekkan
Sekkan130	大塚ヶ平15号墳	34.65324637	135.0324377	215	99999999	99999999	IeSekkan	IeSekkan
