latitude	longitude	overall_length	texture	x_size
33.55927271	130.3542551	123	DokenChuCY	1
33.58254454	130.269294	123	DokenChuCY	1
33.55932916	130.447671	123	DokenChuCY	1
33.5390563	130.4506647	123	DokenChuCY	1
33.53702085	130.4471148	123	DokenChuCY	1
33.53815023	130.4505192	123	DokenChuCY	1
33.4069584	130.6391147	123	DokenChuCY	1
33.42075187	130.5538622	123	DokenChuCY	1
33.38236524	130.6138145	123	DokenChuCY	1
33.2619203	130.4585255	123	DokenChuCY	1
33.26509204	130.4569921	123	DokenChuCY	1
33.15252018	130.4857942	123	DokenChuCY	1
33.72000329	130.4669696	123	DokenChuCY	1
33.81358366	130.7159266	123	DokenChuCY	1
33.50129572	130.7230363	123	DokenChuCY	1
33.61068103	130.8530161	123	DokenChuCY	1
33.60646111	130.4179755	123	DokenChuCY	1
33.5339786	130.2467706	123	DokenChuCY	1
33.52226463	130.2312483	123	DokenChuCY	1
33.53811634	130.2628061	123	DokenChuCY	1
33.52549321	130.2561603	123	DokenChuCY	1
33.4896929	130.3376649	123	DokenChuCY	1
33.54816456	130.3361446	123	DokenChuCY	1
33.57811031	130.426516	123	DokenChuCY	1
33.53813234	130.4505514	123	DokenChuCY	1
33.45154103	130.5752772	123	DokenChuCY	1
33.7916832	130.5457712	123	DokenChuCY	1
33.5105315	130.7588013	123	DokenChuCY	1
33.49007694	130.0748974	123	DokenChuCY	1
33.61036224	130.1684455	123	DokenChuCY	1
33.70922136	130.4925243	123	DokenChuCY	1
33.39181801	129.9818633	123	DokenChuCY	1
33.40577771	129.9877838	123	DokenChuCY	1
33.4098076	129.9908984	123	DokenChuCY	1
33.41044859	130.0027423	123	DokenChuCY	1
33.21963705	130.0283707	123	DokenChuCY	1
33.28679266	130.2039179	123	DokenChuCY	1
33.31580805	130.3775931	123	DokenChuCY	1
33.36455924	130.4186893	123	DokenChuCY	1
33.19349887	130.0609906	123	DokenChuCY	1
33.28832621	130.2644197	123	DokenChuCY	1
33.3178	130.2644	123	DokenChuCY	1
33.29207741	130.1983349	123	DokenChuCY	1
33.26914539	130.1336758	123	DokenChuCY	1
33.28706431	130.27518	123	DokenChuCY	1
34.46838407	129.3168328	123	DokenChuCY	1
34.47100223	129.3203947	123	DokenChuCY	1
34.46386461	129.2795844	123	DokenChuCY	1
34.44714412	129.3191837	123	DokenChuCY	1
34.39629134	129.3203054	123	DokenChuCY	1
32.83644948	130.0592162	123	DokenChuCY	1
32.78795634	130.3691798	123	DokenChuCY	1
32.78915495	130.366232	123	DokenChuCY	1
34.46993164	129.3144167	123	DokenChuCY	1
34.48591312	129.3966355	123	DokenChuCY	1
33.28680289	129.4419878	123	DokenChuCY	1
32.26303974	130.9434674	123	DokenChuCY	1
32.80893495	130.7259303	123	DokenChuCY	1
33.31179378	131.1877431	123	DokenChuCY	1
33.391468	131.3401828	123	DokenChuCY	1
33.39673731	131.6007542	123	DokenChuCY	1
33.54671644	131.3555563	123	DokenChuCY	1
33.55285365	131.1962453	123	DokenChuCY	1
33.33179179	130.9282884	123	DokenChuCY	1
26.41841294	127.7258939	123	DokenChuCY	1
33.54216164	130.2337421	123	Toshiken	1
33.38715354	130.6508398	123	Toshiken	1
33.64049212	130.6821346	123	Toshiken	1
33.52984735	130.4688953	123	Toshiken	1
33.39614867	130.0176797	123	Toshiken	1
30.7373092	131.0004256	123	Toshiken	1
39.301	125.598	150	Toshiken	1
38.8916	125.7632	150	Toshiken	1
38.3576	125.6216	150	Toshiken	2
35.9724	126.896	150	Toshiken	1
35.8122	127.0848	150	Toshiken	26
35.1536	126.6128	150	Toshiken	1
42.8254	123.9696	150	Toshiken	1
38.8738	121.232	150	Toshiken	1
39.2654	122.6008	150	Toshiken	1
39.7104	123.0728	150	Toshiken	1
40.8496	125.8576	150	Toshiken	1
39.301	125.598	123	BiwaDoken	1
38.3576	125.6216	123	BiwaDoken	2
35.1536	126.6128	123	DokenChuCY	4
