key	ja-JP	longitude	latitude	first_julian_day	last_julian_day	texture	overall_length
Kamekan1	村田・三本松	130.4843342	33.35730976	1520542	1538804	Kamekan	79
Kamekan2	久保泉丸山	130.323736	33.33031192	1520542	1538804	Kamekan	60
Kamekan3	新町1次	130.1330704	33.57048991	1520542	1538804	Kamekan	52
Kamekan4	寺浦瓦窯跡	130.1876673	33.29826622	1520542	1538804	Kamekan	42
Kamekan5	原山支石墓群	130.2357708	32.67404781	1520542	1538804	Kamekan	42
Kamekan6	大野台	129.6230013	33.30087495	1520542	1538804	Kamekan	30
Kamekan7	菜畑	129.9567043	33.45144018	1520542	1538804	Kamekan	30
Kamekan8	新町2次	130.1330704	33.57048991	1520542	1538804	Kamekan	30
Kamekan9	志登	130.2231907	33.57115443	1520542	1538804	Kamekan	30
Kamekan10	7地点（5次）	130.3475063	33.57804239	1520542	1538804	Kamekan	30
Kamekan11	香田	130.4438309	33.36940289	1520542	1538804	Kamekan	30
Kamekan12	佐織	130.2374432	33.28202266	1520542	1538804	Kamekan	30
Kamekan13	原山支石墓群	130.2357708	32.67404781	1520542	1538804	Kamekan	30
Kamekan14	本告A地点	130.2374432	33.28202266	1538804	1557066	Kamekan	124
Kamekan15	三雲加賀石	130.2398418	33.53980739	1538804	1557066	Kamekan	90
Kamekan16	瀬戸ロ	130.0169946	33.39522221	1538804	1557066	Kamekan	60
Kamekan17	郷ノ木B地点	130.0581278	33.17606258	1538804	1557066	Kamekan	52
Kamekan18	三雲仲田	130.2398418	33.53980739	1538804	1557066	Kamekan	42
Kamekan19	有田36次	130.3318254	33.56977324	1538804	1557066	Kamekan	42
Kamekan20	宇久松原’77	129.1384605	33.27163946	1538804	1557066	Kamekan	30
Kamekan21	中原1次	129.9982401	33.42172562	1538804	1557066	Kamekan	30
Kamekan22	柏崎小長崎	130.0032143	33.410162	1538804	1557066	Kamekan	30
Kamekan23	五反田	130.0687593	33.44342435	1538804	1557066	Kamekan	30
Kamekan24	新町2次	130.1330704	33.57048991	1538804	1557066	Kamekan	30
Kamekan25	志登	130.2231907	33.57115443	1538804	1557066	Kamekan	30
Kamekan26	三雲寺口	130.2398418	33.53980739	1538804	1557066	Kamekan	30
Kamekan27	藤崎4地点	130.3514387	33.57962733	1538804	1557066	Kamekan	30
Kamekan28	石崎曲り田	130.156797	33.51224959	1557066	1575329	Kamekan	141
Kamekan29	本告A地点	130.2374432	33.28202266	1557066	1575329	Kamekan	127
Kamekan30	剣塚	130.503861	33.503833	1557066	1575329	Kamekan	124
Kamekan31	牟田原	130.8928082	32.9195691	1557066	1575329	Kamekan	120
Kamekan32	松木140街区	130.440417	33.50202436	1557066	1575329	Kamekan	108
Kamekan33	伯玄社	130.4534308	33.53212063	1557066	1575329	Kamekan	108
Kamekan34	沈目立山	130.7461566	32.69858149	1557066	1575329	Kamekan	108
Kamekan35	大友3，4次	129.9136996	33.53852629	1557066	1575329	Kamekan	99
Kamekan36	塔の原	130.5013651	33.48403805	1557066	1575329	Kamekan	95
Kamekan37	道場山2地点	130.5148572	33.48510436	1557066	1575329	Kamekan	95
Kamekan38	宇木汲田’66	130.0169946	33.39522221	1557066	1575329	Kamekan	90
Kamekan39	権現塚北	130.4966947	33.16402786	1557066	1575329	Kamekan	90
Kamekan40	三雲石橋	130.2398418	33.53980739	1557066	1575329	Kamekan	85
Kamekan41	今宿松原	130.2690921	33.58179639	1557066	1575329	Kamekan	85
Kamekan42	中・寺尾1次	130.486038	33.55491633	1557066	1575329	Kamekan	85
Kamekan43	三雲仲田	130.2398418	33.53980739	1557066	1575329	Kamekan	79
Kamekan44	横隈狐塚Ⅱ	130.5697693	33.42824561	1557066	1575329	Kamekan	79
Kamekan45	黒土原	130.303232	33.31967725	1557066	1575329	Kamekan	79
Kamekan46	宇久松原’77	129.1384605	33.27163946	1557066	1575329	Kamekan	73
Kamekan47	萬麓A	130.0289229	33.41575209	1557066	1575329	Kamekan	73
Kamekan48	殿寺	129.0612934	33.2003886	1557066	1575329	Kamekan	60
Kamekan49	宇久松原’68	129.1384605	33.27163946	1557066	1575329	Kamekan	60
Kamekan50	浜郷	129.11636	32.98319	1557066	1575329	Kamekan	52
Kamekan51	柏崎小長崎	130.0032143	33.410162	1557066	1575329	Kamekan	52
Kamekan52	藤崎1次	130.3475063	33.57804239	1557066	1575329	Kamekan	52
Kamekan53	通り浦	130.5276159	33.49444279	1557066	1575329	Kamekan	52
Kamekan54	村田・三本松	130.4843342	33.35730976	1557066	1575329	Kamekan	52
Kamekan55	有田48次	130.3318254	33.56977324	1557066	1575329	Kamekan	42
Kamekan56	那珂沼口	130.4402407	33.56908966	1557066	1575329	Kamekan	42
Kamekan57	馬田上原	130.6371314	33.40773562	1557066	1575329	Kamekan	42
Kamekan58	山古賀	130.4072507	33.35308736	1557066	1575329	Kamekan	42
Kamekan59	西石動	130.4072507	33.35308736	1557066	1575329	Kamekan	42
Kamekan60	西石動A	130.4072507	33.35308736	1557066	1575329	Kamekan	42
Kamekan61	志波屋四ノ坪	130.3826327	33.3339215	1557066	1575329	Kamekan	42
Kamekan62	四本黒木Ⅰ次	130.3634737	33.33190461	1557066	1575329	Kamekan	42
Kamekan63	四本黒木Ⅱ次	130.3634737	33.33190461	1557066	1575329	Kamekan	42
Kamekan64	西矢護免	130.86831	32.879	1557066	1575329	Kamekan	42
Kamekan65	市の上北屋敷	130.5355392	33.3165114	1557066	1575329	Kamekan	42
Kamekan66	押川	129.8141136	33.46897295	1557066	1575329	Kamekan	30
Kamekan67	新町2次	130.1330704	33.57048991	1557066	1575329	Kamekan	30
Kamekan68	志登	130.2231907	33.57115443	1557066	1575329	Kamekan	30
Kamekan69	7地点（5次）	130.3475063	33.57804239	1557066	1575329	Kamekan	30
Kamekan70	浄泉寺	130.3739689	33.54979043	1557066	1575329	Kamekan	30
Kamekan71	津古内畑4次	130.5607049	33.44308358	1557066	1575329	Kamekan	30
Kamekan72	利田柳Ⅲ区	130.3620395	33.31818016	1557066	1575329	Kamekan	30
Kamekan73	吉武大石（Ⅴ）	130.3086682	33.53288929	1575329	1593591	Kamekan	210
Kamekan74	吉武Ⅳ次	130.3086682	33.53288929	1575329	1593591	Kamekan	150
Kamekan75	権現塚北	130.4966947	33.16402786	1575329	1593591	Kamekan	131
Kamekan76	吉武高木（Ⅳ）	130.3086682	33.53288929	1575329	1593591	Kamekan	120
Kamekan77	宇木汲田’66	130.0169946	33.39522221	1575329	1593591	Kamekan	112
Kamekan78	本告A地点	130.2374432	33.28202266	1575329	1593591	Kamekan	112
Kamekan79	下久米	130.2374432	33.28202266	1575329	1593591	Kamekan	112
Kamekan80	四本黒木Ⅰ次	130.3634737	33.33190461	1575329	1593591	Kamekan	99
Kamekan81	四本黒木Ⅱ次	130.3634737	33.33190461	1575329	1593591	Kamekan	99
Kamekan82	松葉	130.407202	33.34194768	1575329	1593591	Kamekan	95
Kamekan83	藤崎1次	130.3475063	33.57804239	1575329	1593591	Kamekan	79
Kamekan84	金隈	130.478595	33.56210854	1575329	1593591	Kamekan	79
Kamekan85	安永田287区	130.5126668	33.39907389	1575329	1593591	Kamekan	79
Kamekan86	板付1区（B1）	130.4525811	33.56507457	1575329	1593591	Kamekan	73
Kamekan87	村田・三本松	130.4843342	33.35730976	1575329	1593591	Kamekan	73
Kamekan88	板付1区	130.4525811	33.56507457	1575329	1593591	Kamekan	67
Kamekan89	五本黒木	130.303232	33.31967725	1575329	1593591	Kamekan	67
Kamekan90	本告C地点	130.2374432	33.28202266	1575329	1593591	Kamekan	67
Kamekan91	安永田3年次	130.5126668	33.39907389	1575329	1593591	Kamekan	60
Kamekan92	利田柳Ⅲ区	130.3620395	33.31818016	1575329	1593591	Kamekan	60
Kamekan93	本告B地点	130.2374432	33.28202266	1575329	1593591	Kamekan	60
Kamekan94	大友1次	129.9136996	33.53852629	1575329	1593591	Kamekan	52
Kamekan95	大友2次	129.9136996	33.53852629	1575329	1593591	Kamekan	52
Kamekan96	飯氏馬場	130.2488239	33.56770844	1575329	1593591	Kamekan	52
Kamekan97	修理田’83	130.5171612	33.49935906	1575329	1593591	Kamekan	52
Kamekan98	仲10地点（宗石）	130.440417	33.50202436	1575329	1593591	Kamekan	42
Kamekan99	北牟田	130.5503434	33.42164905	1575329	1593591	Kamekan	42
Kamekan100	二塚山	130.407202	33.34194768	1575329	1593591	Kamekan	42
Kamekan101	西石動A	130.4072507	33.35308736	1575329	1593591	Kamekan	42
Kamekan102	宇久松原’68	129.1384605	33.27163946	1575329	1593591	Kamekan	30
Kamekan103	柏崎小長崎	130.0032143	33.410162	1575329	1593591	Kamekan	30
Kamekan104	新町1次	130.1330704	33.57048991	1575329	1593591	Kamekan	30
Kamekan105	篠原新建1次	130.2162258	33.55447911	1575329	1593591	Kamekan	30
Kamekan106	飯倉丸尾	130.3508725	33.56208696	1575329	1593591	Kamekan	30
Kamekan107	西福岡高校	130.3331862	33.56070602	1575329	1593591	Kamekan	30
Kamekan108	有田59次	130.3318254	33.56977324	1575329	1593591	Kamekan	30
Kamekan109	カルメル修道院	130.3713466	33.56560673	1575329	1593591	Kamekan	30
Kamekan110	門田遺跡述田地区	130.4399435	33.51924663	1575329	1593591	Kamekan	30
Kamekan111	板付1区G－5a	130.4525811	33.56507457	1575329	1593591	Kamekan	30
Kamekan112	津古内畑1次	130.5607049	33.44308358	1575329	1593591	Kamekan	30
Kamekan113	津古内畑3次	130.5607049	33.44308358	1575329	1593591	Kamekan	30
Kamekan114	小郡’67	130.555022	33.398799	1575329	1593591	Kamekan	30
Kamekan115	ハサコの宮1次	130.5503434	33.42164905	1575329	1593591	Kamekan	30
Kamekan116	栗原’71	130.5503434	33.42164905	1575329	1593591	Kamekan	30
Kamekan117	大久保	130.5126668	33.39907389	1575329	1593591	Kamekan	30
Kamekan118	三津永田	130.3912786	33.34640189	1575329	1593591	Kamekan	30
Kamekan119	南薫4次	130.5258523	33.31966898	1575329	1593591	Kamekan	30
Kamekan120	姫方	130.4438309	33.36940289	1593591	1611853	Kamekan	244
Kamekan121	金立開拓	130.303232	33.31967725	1593591	1611853	Kamekan	170
Kamekan122	吉武大石（Ⅴ）	130.3086682	33.53288929	1593591	1611853	Kamekan	108
Kamekan123	ハサコの宮2次	130.5503434	33.42164905	1593591	1611853	Kamekan	99
Kamekan124	北牟田	130.5503434	33.42164905	1593591	1611853	Kamekan	95
Kamekan125	宇木汲田’66	130.0169946	33.39522221	1593591	1611853	Kamekan	90
Kamekan126	西平塚A	130.4534308	33.53212063	1593591	1611853	Kamekan	90
Kamekan127	篠原新建1次	130.2162258	33.55447911	1593591	1611853	Kamekan	79
Kamekan128	本告A地点	130.2374432	33.28202266	1593591	1611853	Kamekan	79
Kamekan129	宇久松原’68	129.1384605	33.27163946	1593591	1611853	Kamekan	73
Kamekan130	権現塚北	130.4966947	33.16402786	1593591	1611853	Kamekan	73
Kamekan131	正原	130.5503434	33.42164905	1593591	1611853	Kamekan	67
Kamekan132	大久保	130.5126668	33.39907389	1593591	1611853	Kamekan	67
Kamekan133	藤の尾垣添	130.4996672	33.15197131	1593591	1611853	Kamekan	67
Kamekan134	三雲柿木	130.2398418	33.53980739	1593591	1611853	Kamekan	60
Kamekan135	安永田287区	130.5126668	33.39907389	1593591	1611853	Kamekan	60
Kamekan136	四本黒木Ⅰ次	130.3634737	33.33190461	1593591	1611853	Kamekan	60
Kamekan137	津古内畑1次	130.5607049	33.44308358	1593591	1611853	Kamekan	52
Kamekan138	津古・東宮原	130.5607049	33.44308358	1593591	1611853	Kamekan	52
Kamekan139	梅坂炭化米	130.5259751	33.40794909	1593591	1611853	Kamekan	52
Kamekan140	安永田’79	130.5126668	33.39907389	1593591	1611853	Kamekan	52
Kamekan141	利田柳Ⅲ区	130.3620395	33.31818016	1593591	1611853	Kamekan	52
Kamekan142	羽山台C	130.4631015	33.05280564	1593591	1611853	Kamekan	52
Kamekan143	辻畑	130.4898022	33.61997038	1593591	1611853	Kamekan	42
Kamekan144	栗山’81	130.65375	33.39538966	1593591	1611853	Kamekan	42
Kamekan145	干潟下屋敷	130.5887502	33.41972613	1593591	1611853	Kamekan	42
Kamekan146	村田・三本松	130.4843342	33.35730976	1593591	1611853	Kamekan	42
Kamekan147	五本谷	130.4240126	33.352092	1593591	1611853	Kamekan	42
Kamekan148	四本黒木Ⅱ次	130.3634737	33.33190461	1593591	1611853	Kamekan	42
Kamekan149	大友1次	129.9136996	33.53852629	1593591	1611853	Kamekan	30
Kamekan150	森田支石墓群	130.0169946	33.39522221	1593591	1611853	Kamekan	30
Kamekan151	西福岡高校	130.3331862	33.56070602	1593591	1611853	Kamekan	30
Kamekan152	森原	130.68172	33.61997	1593591	1611853	Kamekan	30
Kamekan153	堤宗原	130.6727773	33.42149242	1593591	1611853	Kamekan	30
Kamekan154	三奈木久保鳥	130.6981271	33.40708618	1593591	1611853	Kamekan	30
Kamekan155	南出ロ	130.663768	33.39466911	1593591	1611853	Kamekan	30
Kamekan156	干潟’82	130.5887502	33.41972613	1593591	1611853	Kamekan	30
Kamekan157	矢倉	130.5373268	33.46242016	1593591	1611853	Kamekan	30
Kamekan158	安永田’81	130.5126668	33.39907389	1593591	1611853	Kamekan	30
Kamekan159	タヶ里	130.3912786	33.34640189	1593591	1611853	Kamekan	30
Kamekan160	中尾・下原	130.7384438	33.0205286	1593591	1611853	Kamekan	30
Kamekan161	塔の本	130.6623724	32.89532156	1593591	1611853	Kamekan	30
Kamekan162	永岡’80	130.5372772	33.47313875	1611853	1648377	Kamekan	298
Kamekan163	金隈	130.478595	33.56210854	1611853	1648377	Kamekan	222
Kamekan164	二塚山	130.407202	33.34194768	1611853	1648377	Kamekan	192
Kamekan165	西平塚A	130.4534308	33.53212063	1611853	1648377	Kamekan	177
Kamekan166	門田地区	130.4399435	33.51924663	1611853	1648377	Kamekan	175
Kamekan167	牟田辺1次	130.1373259	33.2712435	1611853	1648377	Kamekan	175
