key	ja-JP	longitude	latitude	first_julian_day	last_julian_day	texture	overall_length
Kamekan168	安永田287区	130.5126668	33.39907389	1611853	1648377	Kamekan	153
Kamekan169	五本谷	130.4240126	33.352092	1611853	1648377	Kamekan	150
Kamekan170	宇木汲田’66	130.0169946	33.39522221	1611853	1648377	Kamekan	144
Kamekan171	吉武大石（Ⅴ）	130.3086682	33.53288929	1611853	1648377	Kamekan	141
Kamekan172	干潟’82	130.5887502	33.41972613	1611853	1648377	Kamekan	137
Kamekan173	下久米	130.2374432	33.28202266	1611853	1648377	Kamekan	124
Kamekan174	板付1区	130.4525811	33.56507457	1611853	1648377	Kamekan	120
Kamekan175	栗山’81	130.65375	33.39538966	1611853	1648377	Kamekan	108
Kamekan176	藤崎1次	130.3475063	33.57804239	1611853	1648377	Kamekan	104
Kamekan177	山家3地点	130.5873635	33.49267558	1611853	1648377	Kamekan	99
Kamekan178	永岡’72	130.5372772	33.47313875	1611853	1648377	Kamekan	99
Kamekan179	船石	130.4240126	33.352092	1611853	1648377	Kamekan	99
Kamekan180	六本黒木	130.303232	33.31967725	1611853	1648377	Kamekan	99
Kamekan181	本告A地点	130.2374432	33.28202266	1611853	1648377	Kamekan	90
Kamekan182	蒲田D	130.4898142	33.63861786	1611853	1648377	Kamekan	85
Kamekan183	北牟田	130.5503434	33.42164905	1611853	1648377	Kamekan	85
Kamekan184	鬼隈	130.591466	33.43114896	1611853	1648377	Kamekan	79
Kamekan185	ハサコの宮2次	130.5503434	33.42164905	1611853	1648377	Kamekan	79
Kamekan186	安永田’79	130.5126668	33.39907389	1611853	1648377	Kamekan	79
Kamekan187	安永田3年次	130.5126668	33.39907389	1611853	1648377	Kamekan	79
Kamekan188	藤の尾垣添	130.4996672	33.15197131	1611853	1648377	Kamekan	79
Kamekan189	篠原新建1次	130.2162258	33.55447911	1611853	1648377	Kamekan	73
Kamekan190	羽根戸	130.3054803	33.54447219	1611853	1648377	Kamekan	73
Kamekan191	比恵6次	130.4267133	33.58014361	1611853	1648377	Kamekan	73
Kamekan192	修理田’83	130.5171612	33.49935906	1611853	1648377	Kamekan	73
Kamekan193	津古・東宮原	130.5607049	33.44308358	1611853	1648377	Kamekan	73
Kamekan194	牟田辺3次	130.1373259	33.2712435	1611853	1648377	Kamekan	73
Kamekan195	羽山台E	130.4631015	33.05280564	1611853	1648377	Kamekan	73
Kamekan196	久里大牟田’52	129.983987	33.40481036	1611853	1648377	Kamekan	67
Kamekan197	四箇J・101	130.3266756	33.52959487	1611853	1648377	Kamekan	67
Kamekan198	博多・店屋町A・B区	130.4136884	33.59531585	1611853	1648377	Kamekan	67
Kamekan199	天神1地点	130.5610567	33.4543045	1611853	1648377	Kamekan	67
Kamekan200	赤井手	130.4534308	33.53212063	1611853	1648377	Kamekan	60
Kamekan201	蒲田A	130.4898142	33.63861786	1611853	1648377	Kamekan	60
Kamekan202	安永田’81	130.5126668	33.39907389	1611853	1648377	Kamekan	60
Kamekan203	蔵数東野屋敷	130.4986392	33.23648222	1611853	1648377	Kamekan	60
Kamekan204	大友1次	129.9136996	33.53852629	1611853	1648377	Kamekan	52
Kamekan205	柏崎小長崎	130.0032143	33.410162	1611853	1648377	Kamekan	52
Kamekan206	7地点（7次）	130.3475063	33.57804239	1611853	1648377	Kamekan	52
Kamekan207	7地点（10次）	130.3514387	33.57962733	1611853	1648377	Kamekan	52
Kamekan208	須玖岡本G	130.4452302	33.53593259	1611853	1648377	Kamekan	52
Kamekan209	度島中学校運動場	129.5300998	33.44454805	1611853	1648377	Kamekan	42
Kamekan210	飯氏馬場	130.2488239	33.56770844	1611853	1648377	Kamekan	42
Kamekan211	板付1区G－5a	130.4525811	33.56507457	1611853	1648377	Kamekan	42
Kamekan212	博多・砥園町1区	130.414667	33.593088	1611853	1648377	Kamekan	42
Kamekan213	博多・店屋町C・D区	130.4136884	33.59531585	1611853	1648377	Kamekan	42
Kamekan214	干潟下屋敷	130.5887502	33.41972613	1611853	1648377	Kamekan	42
Kamekan215	大板井	130.5648571	33.40222717	1611853	1648377	Kamekan	42
Kamekan216	荻野公民館	130.5126668	33.39907389	1611853	1648377	Kamekan	42
Kamekan217	村田・三本松	130.4843342	33.35730976	1611853	1648377	Kamekan	42
Kamekan218	利田柳Ⅲ区	130.3620395	33.31818016	1611853	1648377	Kamekan	42
Kamekan219	撰分	130.0920105	33.26010296	1611853	1648377	Kamekan	42
Kamekan220	椛島山	130.0846089	33.21035518	1611853	1648377	Kamekan	42
Kamekan221	西矢護免	130.86831	32.879	1611853	1648377	Kamekan	42
Kamekan222	堤	130.4996672	33.15197131	1611853	1648377	Kamekan	42
Kamekan223	安国寺’78	130.5648243	33.32493974	1611853	1648377	Kamekan	42
Kamekan224	浜郷	129.11636	32.98319	1611853	1648377	Kamekan	30
Kamekan225	中原1次	129.9982401	33.42172562	1611853	1648377	Kamekan	30
Kamekan226	久里大牟田’79	129.983987	33.40481036	1611853	1648377	Kamekan	30
Kamekan227	三雲八龍	130.2398418	33.53980739	1611853	1648377	Kamekan	30
Kamekan228	有田64次	130.3318254	33.56977324	1611853	1648377	Kamekan	30
Kamekan229	須玖岡本B’29	130.4452302	33.53593259	1611853	1648377	Kamekan	30
Kamekan230	瑞穂	130.4267133	33.58014361	1611853	1648377	Kamekan	30
Kamekan231	博多24次	130.4115788	33.59435914	1611853	1648377	Kamekan	30
Kamekan232	スダレ’82	130.6562713	33.61664952	1611853	1648377	Kamekan	30
Kamekan233	小田新道	130.663768	33.39466911	1611853	1648377	Kamekan	30
Kamekan234	矢倉	130.5373268	33.46242016	1611853	1648377	Kamekan	30
Kamekan235	横隈山	130.5697693	33.42824561	1611853	1648377	Kamekan	30
Kamekan236	池の上5地点西	130.5610567	33.4543045	1611853	1648377	Kamekan	30
Kamekan237	正原	130.5503434	33.42164905	1611853	1648377	Kamekan	30
Kamekan238	大久保	130.5126668	33.39907389	1611853	1648377	Kamekan	30
Kamekan239	安永田282区	130.5126668	33.39907389	1611853	1648377	Kamekan	30
Kamekan240	西石動A	130.4072507	33.35308736	1611853	1648377	Kamekan	30
Kamekan241	四本黒木Ⅰ次	130.3634737	33.33190461	1611853	1648377	Kamekan	30
Kamekan242	富の原B	129.9371905	32.94078457	1611853	1648377	Kamekan	30
Kamekan243	帆崎	130.178114	32.92753583	1611853	1648377	Kamekan	30
Kamekan244	畑中	130.6725597	32.67008083	1611853	1648377	Kamekan	30
Kamekan245	中山	130.8196671	32.83365754	1611853	1648377	Kamekan	30
Kamekan246	小原竜宮	130.6671797	33.03412912	1611853	1648377	Kamekan	30
Kamekan247	年の神	130.5139378	32.93126224	1611853	1648377	Kamekan	30
Kamekan248	南薫2次	130.5258523	33.31966898	1611853	1648377	Kamekan	30
Kamekan249	金隈	130.478595	33.56210854	1648377	1684901	Kamekan	300
Kamekan250	牟田辺1次	130.1373259	33.2712435	1648377	1684901	Kamekan	286
Kamekan251	姫方	130.4438309	33.36940289	1648377	1684901	Kamekan	244
Kamekan252	吉武大石（Ⅴ）	130.3086682	33.53288929	1648377	1684901	Kamekan	206
Kamekan253	二塚山	130.407202	33.34194768	1648377	1684901	Kamekan	150
Kamekan254	諸岡2次	130.4479327	33.55925016	1648377	1684901	Kamekan	147
Kamekan255	四本黒木Ⅱ次	130.3634737	33.33190461	1648377	1684901	Kamekan	141
Kamekan256	吹田	130.5905419	33.47131481	1648377	1684901	Kamekan	127
Kamekan257	宇木汲田’66	130.0169946	33.39522221	1648377	1684901	Kamekan	116
Kamekan258	利田柳Ⅲ区	130.3620395	33.31818016	1648377	1684901	Kamekan	116
Kamekan259	門田地区	130.4399435	33.51924663	1648377	1684901	Kamekan	112
Kamekan260	安永田’81	130.5126668	33.39907389	1648377	1684901	Kamekan	99
Kamekan261	高辻B	130.4564366	33.5300988	1648377	1684901	Kamekan	95
Kamekan262	東小田峯	130.5863496	33.45175757	1648377	1684901	Kamekan	95
Kamekan263	板付1区	130.4525811	33.56507457	1648377	1684901	Kamekan	90
Kamekan264	神水	130.7285601	32.78015047	1648377	1684901	Kamekan	90
Kamekan265	安永田3年次	130.5126668	33.39907389	1648377	1684901	Kamekan	85
Kamekan266	有田64次	130.3318254	33.56977324	1648377	1684901	Kamekan	79
Kamekan267	比恵6次	130.4267133	33.58014361	1648377	1684901	Kamekan	79
Kamekan268	栗山’81	130.65375	33.39538966	1648377	1684901	Kamekan	79
Kamekan269	三雲八龍	130.2398418	33.53980739	1648377	1684901	Kamekan	73
Kamekan270	西新町’76	130.3560071	33.58469433	1648377	1684901	Kamekan	73
Kamekan271	亀の甲	130.5265197	33.21618156	1648377	1684901	Kamekan	73
Kamekan272	志登	130.2231907	33.57115443	1648377	1684901	Kamekan	67
Kamekan273	安国寺’78	130.5648243	33.32493974	1648377	1684901	Kamekan	67
Kamekan274	篠原新建2次	130.2162258	33.55447911	1648377	1684901	Kamekan	60
Kamekan275	中・寺尾1次	130.486038	33.55491633	1648377	1684901	Kamekan	60
Kamekan276	蒲田D	130.4898142	33.63861786	1648377	1684901	Kamekan	60
Kamekan277	干潟下屋敷	130.5887502	33.41972613	1648377	1684901	Kamekan	60
Kamekan278	横隈狐塚Ⅱ	130.5697693	33.42824561	1648377	1684901	Kamekan	60
Kamekan279	池の上5地点西	130.5610567	33.4543045	1648377	1684901	Kamekan	60
Kamekan280	村田・三本松	130.4843342	33.35730976	1648377	1684901	Kamekan	60
Kamekan281	野田	130.3620395	33.31818016	1648377	1684901	Kamekan	60
Kamekan282	北久根山	130.7387511	32.81311062	1648377	1684901	Kamekan	60
Kamekan283	橋本	129.8769773	33.27433919	1648377	1684901	Kamekan	52
Kamekan284	中原3次	129.9982401	33.42172562	1648377	1684901	Kamekan	52
Kamekan285	7地点（7次）	130.3475063	33.57804239	1648377	1684901	Kamekan	52
Kamekan286	宝台	130.3841866	33.54788617	1648377	1684901	Kamekan	52
Kamekan287	須玖岡本B’29	130.4452302	33.53593259	1648377	1684901	Kamekan	52
Kamekan288	立岩堀田	130.694312	33.64797483	1648377	1684901	Kamekan	52
Kamekan289	修理田’83	130.5171612	33.49935906	1648377	1684901	Kamekan	52
Kamekan290	永岡’72	130.5372772	33.47313875	1648377	1684901	Kamekan	52
Kamekan291	景華園	130.367522	32.78986861	1648377	1684901	Kamekan	52
Kamekan292	金山宮内	130.4477174	32.98751096	1648377	1684901	Kamekan	52
Kamekan293	羽根戸	130.3054803	33.54447219	1648377	1684901	Kamekan	42
Kamekan294	吉武2次	130.3086682	33.53288929	1648377	1684901	Kamekan	42
Kamekan295	須玖岡本G	130.4452302	33.53593259	1648377	1684901	Kamekan	42
Kamekan296	船石	130.4240126	33.352092	1648377	1684901	Kamekan	42
Kamekan297	葉山F	130.713842	32.85858673	1648377	1684901	Kamekan	42
Kamekan298	年の神	130.5139378	32.93126224	1648377	1684901	Kamekan	42
Kamekan299	杉谷	130.4501391	32.96750466	1648377	1684901	Kamekan	42
Kamekan300	桜馬場	129.9629284	33.44908892	1648377	1684901	Kamekan	30
Kamekan301	中原1次	129.9982401	33.42172562	1648377	1684901	Kamekan	30
Kamekan302	久里大牟田’52	129.983987	33.40481036	1648377	1684901	Kamekan	30
Kamekan303	柏崎松本	130.0032143	33.410162	1648377	1684901	Kamekan	30
Kamekan304	井原D	130.2445562	33.52810891	1648377	1684901	Kamekan	30
Kamekan305	7地点（10次）	130.3514387	33.57962733	1648377	1684901	Kamekan	30
Kamekan306	須玖岡本	130.4452302	33.53593259	1648377	1684901	Kamekan	30
Kamekan307	板付1区G－5a	130.4525811	33.56507457	1648377	1684901	Kamekan	30
Kamekan308	瑞穂	130.4267133	33.58014361	1648377	1684901	Kamekan	30
Kamekan309	ヒケシマ	130.4838971	33.54331174	1648377	1684901	Kamekan	30
Kamekan310	辻畑	130.4898022	33.61997038	1648377	1684901	Kamekan	30
Kamekan311	蒲田A	130.4898142	33.63861786	1648377	1684901	Kamekan	30
Kamekan312	干潟’82	130.5887502	33.41972613	1648377	1684901	Kamekan	30
Kamekan313	北牟田	130.5503434	33.42164905	1648377	1684901	Kamekan	30
Kamekan314	大久保	130.5126668	33.39907389	1648377	1684901	Kamekan	30
Kamekan315	荻野公民館	130.5126668	33.39907389	1648377	1684901	Kamekan	30
Kamekan316	四本谷	130.4240126	33.352092	1648377	1684901	Kamekan	30
Kamekan317	五本谷	130.4240126	33.352092	1648377	1684901	Kamekan	30
Kamekan318	小栗A	130.058867	32.8222005	1648377	1684901	Kamekan	30
Kamekan319	畑中	130.6725597	32.67008083	1648377	1684901	Kamekan	30
Kamekan320	上ノ山	130.7277005	32.70698197	1648377	1684901	Kamekan	30
Kamekan321	久保	130.8021299	32.71780655	1648377	1684901	Kamekan	30
Kamekan322	北原	130.724521	32.80614271	1648377	1684901	Kamekan	30
Kamekan323	小松山	130.724521	32.80614271	1648377	1684901	Kamekan	30
Kamekan324	坪井古屋敷	130.747328	32.82058416	1648377	1684901	Kamekan	30
Kamekan325	松崎	130.7213237	32.83050596	1648377	1684901	Kamekan	30
Kamekan326	迫ノ上	130.7597198	32.83809167	1648377	1684901	Kamekan	30
Kamekan327	矢護川日向	130.8928082	32.9195691	1648377	1684901	Kamekan	30
Kamekan328	藤の尾垣添	130.4996672	33.15197131	1648377	1684901	Kamekan	30
Kamekan329	白寿	130.348917	31.504194	1648377	1684901	Kamekan	30
Kamekan330	下小路	130.333333	31.45	1648377	1684901	Kamekan	30
Kamekan331	一の谷A	130.4500754	33.50324854	1684901	1703163	Kamekan	291
Kamekan332	吉武大石（Ⅴ）	130.3086682	33.53288929	1684901	1703163	Kamekan	192
Kamekan333	上川原	130.6371314	33.40773562	1684901	1703163	Kamekan	180
Kamekan334	二塚山	130.407202	33.34194768	1684901	1703163	Kamekan	177
Kamekan335	池の上5地点西	130.5610567	33.4543045	1684901	1703163	Kamekan	162
