key	ja-JP	longitude	latitude	texture	first_year	last_year	overall_length
YayoiDogu50	人面付土器A	136.863696	35.200266	BlueCircle	-300	-100	17
YayoiDogu51	木偶	134.53948	34.054584	YellowCircle	0	0	16.8
YayoiDogu52	後頭部結髪土偶	137.412122	34.842617	BlueCircle	-550	-400	16.8
YayoiDogu53	土偶形容器	137.092289	34.939683	RedCircle	-500	-300	16.4
YayoiDogu54	人面付土器B	140.133528	35.510031	BlueCircle	-300	-100	16
YayoiDogu55	結髪土偶	140.420347	39.079536	BlueCircle	-550	-400	16
YayoiDogu56	土偶	140.776906	43.180651	BlueCircle	-400	200	16
YayoiDogu57	結髪土偶	140.277848	40.728828	BlueCircle	-400	-250	15.9
YayoiDogu58	土偶形容器	141.480085	40.471215	RedCircle	0	0	15.1
YayoiDogu59	結髪土偶	140.697697	38.597231	BlueCircle	-1000	-400	14.8
YayoiDogu60	土偶	141.550884	42.812867	BlueCircle	-1000	-400	14.5
YayoiDogu61	土偶形容器	137.9128	35.58233	RedCircle	-200	-100	14.2
YayoiDogu62	人面付土器A	138.971343	37.826909	BlueCircle	-300	-100	14.1
YayoiDogu63	台式結髪土偶	141.847952	39.941915	BlueCircle	0	0	14
YayoiDogu64	結髪土偶	139.9829	40.701421	BlueCircle	-500	-300	14
YayoiDogu65	土偶形容器	137.918287	36.359998	RedCircle	-300	-250	13.8
YayoiDogu66	土偶形容器	141.480085	40.471215	RedCircle	0	0	13.8
YayoiDogu67	人面付土器A	139.732158	36.384704	BlueCircle	-300	-100	13.7
YayoiDogu68	人面付土器B	136.461544	36.377318	BlueCircle	-300	-100	13.6
YayoiDogu69	土偶	143.236802	42.901502	BlueCircle	-1000	-400	13.6
YayoiDogu70	人面付土器A	140.278492	37.04562	BlueCircle	-100	0	13.5
YayoiDogu71	人面付土器A	140.403516	37.145864	BlueCircle	450	500	13.2
YayoiDogu72	人面付土器B	139.680533	35.273357	BlueCircle	-300	-100	13.1
YayoiDogu73	黥面土偶	139.083123	36.274385	BlueCircle	-500	-300	13.1
YayoiDogu74	土偶	137.340673	34.785774	BlueCircle	-1000	-400	12.6
YayoiDogu75	木偶	136.863696	35.200266	YellowCircle	50	200	12.5
YayoiDogu76	土偶形容器	139.973906	37.485146	RedCircle	-300	-100	12.5
YayoiDogu77	人面付土器C	139.103416	36.665588	BlueCircle	-100	100	12.4
YayoiDogu78	人面付土器A	136.205645	35.989014	BlueCircle	-300	-100	12.3
YayoiDogu79	土偶	141.764599	42.695513	BlueCircle	-400	200	12.3
YayoiDogu80	結髪土偶	141.170628	38.943134	BlueCircle	-1000	-400	12.2
YayoiDogu81	人面付土器A	138.056341	36.048068	BlueCircle	-500	-400	12
YayoiDogu82	土偶形容器	138.508351	36.282528	RedCircle	-300	-100	12
YayoiDogu83	人面付土器W	135.704988	34.955843	BlueCircle	-100	100	11.9
YayoiDogu84	黥面土偶	138.530976	35.676702	BlueCircle	-500	-300	11.9
YayoiDogu85	結髪刺突文融合土偶	140.404665	41.216438	BlueCircle	0	0	11.8
YayoiDogu86	後頭部結髪土偶	135.544667	34.800691	BlueCircle	-500	-300	11.7
YayoiDogu87	刺突文土偶	140.277848	40.728828	BlueCircle	-1000	-400	11.4
YayoiDogu88	人面付土器B	133.698204	34.658137	BlueCircle	-500	-300	11.1
YayoiDogu89	土偶形容器	139.19023	35.284652	RedCircle	-100	0	11.1
YayoiDogu90	木偶	136.461544	36.377318	YellowCircle	0	0	11.1
YayoiDogu91	黥面土偶	134.226421	34.297934	BlueCircle	-500	-300	11
YayoiDogu92	土偶	130.10747	33.572146	BlueCircle	-100	100	10.8
YayoiDogu93	後頭部結髪土偶	138.01362	36.090332	BlueCircle	-1000	-400	10.8
YayoiDogu94	土偶形容器	138.144599	36.502111	RedCircle	-300	-100	10.6
YayoiDogu95	土偶形容器	140.768033	37.938615	RedCircle	-300	-100	10.6
YayoiDogu96	石偶	129.748874	33.766903	GreenCircle	100	250	10.2
YayoiDogu97	後頭部結髪土偶	136.903461	35.151362	BlueCircle	-550	-400	10.2
YayoiDogu98	人面付土器B	133.101965	35.499278	BlueCircle	-250	-150	10.2
YayoiDogu99	黥面土偶	138.165487	36.376235	BlueCircle	-500	-300	10.1
YayoiDogu100	分銅形土製品	132.743342	33.846267	BlueCircle	0	0	10
YayoiDogu101	人面付土器A	138.110355	36.045004	BlueCircle	-300	-100	10
YayoiDogu102	人面付土器C	138.267193	36.611653	BlueCircle	-100	100	10
YayoiDogu103	結髪土偶	140.892161	38.201815	BlueCircle	350	400	10
YayoiDogu104	土偶形容器	137.149488	34.950685	RedCircle	-400	-250	9.9
YayoiDogu105	土偶	133.905827	34.660673	BlueCircle	-100	100	9.6
YayoiDogu106	人面付土器B	135.58775	34.820781	BlueCircle	-300	-100	9.6
YayoiDogu107	人面付土器C	138.873021	36.569599	BlueCircle	-100	0	9.5
YayoiDogu108	刺突文土偶	140.403633	40.690715	BlueCircle	-1000	-400	9.5
YayoiDogu109	結髪土偶	141.150465	39.041713	BlueCircle	-1000	-400	9.4
YayoiDogu110	結髪土偶	140.461299	40.908443	BlueCircle	-400	200	9.4
YayoiDogu111	土偶	133.794498	34.653374	BlueCircle	-100	100	9.3
YayoiDogu112	黥面土偶	139.627141	36.28009	BlueCircle	-900	-750	9.3
YayoiDogu113	土偶	138.144599	36.502111	BlueCircle	-1000	-400	9.3
YayoiDogu114	人面付土器B	135.075967	35.527052	BlueCircle	-500	-300	9.15
YayoiDogu115	黥面土偶	138.144599	36.502111	BlueCircle	-1000	-400	9.15
YayoiDogu116	石偶	141.027622	39.258116	GreenCircle	-900	-500	9.1
YayoiDogu117	刺突文土偶	140.403633	40.690715	BlueCircle	-1000	-400	9.1
YayoiDogu118	プロト分銅形土製品	133.899311	34.725399	BlueCircle	-1000	-400	9
YayoiDogu119	黥面土偶	136.009053	35.084211	BlueCircle	-1000	-400	9
YayoiDogu120	土偶	133.96085	35.107652	BlueCircle	-100	100	9
YayoiDogu121	土偶形容器	138.53128	36.13359	RedCircle	-400	-200	9
YayoiDogu122	人面付土器W	135.59024	34.598444	BlueCircle	-50	50	8.8
YayoiDogu123	黥面土偶	137.427448	35.430026	BlueCircle	-550	-400	8.8
YayoiDogu124	黥面土偶	130.907247	34.001495	BlueCircle	-500	-300	8.7
YayoiDogu125	黥面土偶	136.782724	35.28101	BlueCircle	-500	-300	8.7
YayoiDogu126	黥面土偶	138.418336	35.741591	BlueCircle	-1000	-400	8.7
YayoiDogu127	土偶	143.236802	42.901502	BlueCircle	-1000	-400	8.7
YayoiDogu128	分銅形土製品	132.797849	33.858636	BlueCircle	-100	100	8.5
YayoiDogu129	人面付土器W	133.899311	34.725399	BlueCircle	-500	-300	8.5
YayoiDogu130	後頭部結髪土偶	137.412122	34.842617	BlueCircle	-550	-400	8.5
YayoiDogu131	分銅形土製品	132.797849	33.858636	BlueCircle	-300	-200	8.4
YayoiDogu132	台式結髪土偶	141.011028	37.281399	BlueCircle	-300	-100	8.4
YayoiDogu133	プロト分銅形土製品	133.78458	34.24258	BlueCircle	-500	-300	8.3
YayoiDogu134	刺突文土偶	140.403633	40.690715	BlueCircle	-1000	-400	8.3
YayoiDogu135	刺突文土偶	141.449602	40.305489	BlueCircle	-1000	-400	8.2
YayoiDogu136	黥面土偶	137.989919	36.154589	BlueCircle	-550	-400	8.18
YayoiDogu137	分銅形土製品	131.941453	34.027924	BlueCircle	0	0	8.1
YayoiDogu138	人面付土器B	132.797849	33.858636	BlueCircle	-300	-100	8
YayoiDogu139	人面付土器B	138.412146	34.974255	BlueCircle	-300	-100	8
YayoiDogu140	黥面土偶	137.882998	35.541108	BlueCircle	-500	-400	8
YayoiDogu141	人面付土器C	138.873021	36.569599	BlueCircle	-100	0	8
YayoiDogu142	人面付土器C	138.873021	36.569599	BlueCircle	-100	0	8
YayoiDogu143	人面付土器C	138.873021	36.569599	BlueCircle	-100	0	8
YayoiDogu144	結髪土偶	141.155167	38.900242	BlueCircle	-1000	-400	8
YayoiDogu145	台式奴凧形土偶	141.141702	39.207818	BlueCircle	-1000	-400	8
YayoiDogu146	結髪土偶	141.26287	39.295803	BlueCircle	-900	-500	8
YayoiDogu147	結髪土偶	140.564942	40.615364	BlueCircle	-200	-100	8
YayoiDogu148	後頭部結髪土偶	137.412122	34.842617	BlueCircle	-550	-400	7.8
YayoiDogu149	プロト分銅形土製品	132.970164	34.064417	BlueCircle	0	0	7.6
YayoiDogu150	黥面土偶	137.925209	36.078326	BlueCircle	-400	-250	7.6
YayoiDogu151	結髪土偶	140.908722	38.758132	BlueCircle	0	0	7.6
YayoiDogu152	人面付土器A	139.413936	36.14669	BlueCircle	0	0	7.58
YayoiDogu153	後頭部結髪土偶	139.019158	34.762055	BlueCircle	-500	-300	7.5
YayoiDogu154	黥面土偶	136.782724	35.28101	BlueCircle	-500	-300	7.5
YayoiDogu155	後頭部結髪土偶	136.782724	35.28101	BlueCircle	-500	-300	7.5
YayoiDogu156	土偶	137.851171	35.490338	BlueCircle	-300	-100	7.5
YayoiDogu157	結髪土偶	140.420347	39.079536	BlueCircle	-550	-400	7.5
YayoiDogu158	後頭部結髪土偶	137.989919	36.154589	BlueCircle	-550	-400	7.47
YayoiDogu159	黥面土偶	139.413936	36.14669	BlueCircle	-300	-100	7.45
YayoiDogu160	土偶形容器	137.46151	34.808422	RedCircle	-400	-250	7.4
YayoiDogu161	人面付土器B	137.936534	36.297311	BlueCircle	-300	-100	7.3
YayoiDogu162	土偶	130.245119	33.537843	BlueCircle	-100	100	7.2
YayoiDogu163	土偶	130.245119	33.537843	BlueCircle	-100	100	7.2
YayoiDogu164	土偶	133.794498	34.653374	BlueCircle	-100	100	7.2
YayoiDogu165	分銅形土製品	133.809965	34.677843	BlueCircle	-100	100	7.2
YayoiDogu166	人面付土器J	137.500163	34.902175	BlueCircle	-550	-400	7.2
YayoiDogu167	黥面土偶	136.009053	35.084211	BlueCircle	-1000	-400	7.2
YayoiDogu168	後頭部結髪土偶	138.058011	36.072558	BlueCircle	0	0	7.2
YayoiDogu169	土偶	138.144599	36.502111	BlueCircle	-1000	-400	7.2
YayoiDogu170	結髪土偶	141.162069	39.072345	BlueCircle	-300	-100	7.2
YayoiDogu171	台式土偶	135.623196	34.663478	BlueCircle	-1000	-900	7
YayoiDogu172	人面付土器A	136.938299	35.09139	BlueCircle	-300	-100	7
YayoiDogu173	黥面土偶	138.093011	36.524453	BlueCircle	-300	-100	7
YayoiDogu174	土偶形容器	138.105921	36.705525	RedCircle	-300	-100	7
YayoiDogu175	台式土偶	141.141702	39.207818	BlueCircle	-1000	-400	7
YayoiDogu176	土偶	130.10747	33.572146	BlueCircle	-100	100	6.9
YayoiDogu177	土偶	133.794498	34.653374	BlueCircle	-100	100	6.9
YayoiDogu178	土偶形容器	137.509685	34.764589	RedCircle	-1000	-400	6.9
YayoiDogu179	後頭部結髪土偶	137.412122	34.842617	BlueCircle	-550	-400	6.9
YayoiDogu180	土偶	138.058011	36.072558	BlueCircle	0	0	6.9
YayoiDogu181	黥面土偶	138.093011	36.524453	BlueCircle	-300	-100	6.9
YayoiDogu182	人面付土器A	140.31984	36.557633	BlueCircle	-300	-100	6.9
