key	ja-JP	latitude	longitude	overall_length	texture	first_julian_day	last_julian_day	draw_count
Dotaku118	突線鈕1式	35.0722	136.0419	181	Dotaku6	1724712	1735670	1
Dotaku119	突線鈕2式	33.92291656	134.5936042	181	Dotaku4	1735670	1750279	1
Dotaku120	突線鈕2式	35.0722	136.0419	179	Dotaku4	1735670	1750279	1
Dotaku121	突線鈕1式	34.72170584	134.0231375	179	Dotaku6	1724712	1735670	1
Dotaku122	突線鈕2式	34.7178	135.5147	177	Dotaku6	1735670	1750279	1
Dotaku123	扁平鈕式	34.7314	135.2806	177	Dotaku3	1702798	1724712	1
Dotaku124	突線鈕2式	35.94140265	136.2064396	174	Dotaku6	1735670	1750279	1
Dotaku125	突線鈕1式	34.0469	134.4742	173	Dotaku6	1724712	1735670	1
Dotaku126	突線鈕2式	34.22606291	133.7767153	172	Dotaku4	1735670	1750279	1
Dotaku127	突線鈕3式	35.0722	136.0419	169	Dotaku5	1750279	1764889	1
Dotaku128	扁平鈕式	34.6453	135.0356	167	Dotaku3	1702798	1724712	1
Dotaku129	突線鈕式	33.92874588	134.5791428	167	Dotaku4	1724712	1794109	1
Dotaku130	突線鈕3式	33.8059705	135.3227147	165	Dotaku4	1750279	1764889	1
Dotaku131	扁平鈕式	34.5194	135.6714	163	Dotaku3	1702798	1724712	1
Dotaku132	突線鈕2式	34.62302746	133.6615878	161	Dotaku6	1735670	1750279	1
Dotaku133	突線鈕2式	33.55677405	133.665821	160	Dotaku4	1735670	1750279	1
Dotaku134	扁平鈕式	34.7375	135.2517	160	Dotaku3	1702798	1724712	1
Dotaku135	扁平鈕式	33.5586	133.5303	159	Dotaku3	1702798	1724712	1
Dotaku136	突線鈕1式	35.0722	136.0419	158	Dotaku6	1724712	1735670	1
Dotaku137	突線鈕2式	35.0722	136.0419	158	Dotaku5	1735670	1750279	1
Dotaku138	菱環紐2式	36.165054	136.188629	158	Dotaku1	1651664	1666274	1
Dotaku139	突線鈕1式	35.0722	136.0419	157	Dotaku6	1724712	1735670	1
Dotaku140	扁平鈕式	34.0664	134.5594	157	Dotaku3	1702798	1724712	1
Dotaku141	扁平鈕式	34.3428	134.8953	156	Dotaku3	1702798	1724712	1
Dotaku142	突線鈕3式	34.8214	137.6525	156	Dotaku5	1750279	1764889	1
Dotaku143	突線鈕1式	35.07449675	136.0406705	155	Dotaku6	1724712	1735670	1
Dotaku144	扁平鈕1式	34.6186	135.5908	155	Dotaku3	1702798	1713755	1
Dotaku145	扁平鈕式	34.2728	135.2367	155	Dotaku3	1702798	1724712	1
Dotaku146	扁平鈕式	35.2211	136.8536	154	Dotaku3	1702798	1724712	1
Dotaku147	扁平鈕式	33.7622	135.3633	154	Dotaku3	1702798	1724712	1
Dotaku148	扁平鈕式	35.18	136.9064	153	Dotaku3	1702798	1724712	1
Dotaku149	扁平鈕式	34.8314	137.3167	153	Dotaku3	1702798	1724712	1
Dotaku150	突線鈕1式	35.0722	136.0419	153	Dotaku6	1724712	1735670	1
Dotaku151	外縁付鈕2式	34.47433	134.84661	153	Dotaku2	1684536	1702798	1
Dotaku152	扁平鈕式	34.2706	134.1503	153	Dotaku3	1702798	1724712	1
Dotaku153	突線鈕1式	34.91	132.4658	153	Dotaku6	1724712	1735670	1
Dotaku154	外縁付鈕2式	34.06525842	134.3256078	153	Dotaku2	1684536	1702798	1
Dotaku155	外縁付鈕2式	34.12874226	133.7007594	153	Dotaku2	1684536	1702798	1
Dotaku156	扁平鈕式	35.5158	135.1142	152	Dotaku3	1702798	1724712	1
Dotaku157	外縁付鈕2式	34.7589	135.5172	152	Dotaku2	1684536	1702798	1
Dotaku158	扁平鈕式	34.7344	135.2419	151	Dotaku3	1702798	1724712	1
Dotaku159	外縁付鈕2式	34.73510055	135.3158263	151	Dotaku2	1684536	1702798	1
Dotaku160	外縁付鈕2式	35.3606	132.8842	151	Dotaku2	1684536	1702798	1
Dotaku161	外縁付鈕2式	34.7344	135.2419	151	Dotaku2	1684536	1702798	1
Dotaku162	扁平鈕1式	34.9928	135.9019	150	Dotaku3	1702798	1713755	1
Dotaku163	扁平鈕式	34.3136	134.8189	150	Dotaku3	1702798	1724712	1
Dotaku164	突線鈕1式	34.5186	135.8253	150	Dotaku6	1724712	1735670	1
Dotaku165	外縁付鈕2式	34.52267	135.52206	150	Dotaku2	1684536	1702798	1
Dotaku166	扁平鈕式	34.2531	135.1969	149	Dotaku3	1702798	1724712	1
Dotaku167	外縁付鈕2式	34.34175	134.804583	148	Dotaku2	1684536	1702798	1
Dotaku168	外縁付鈕2式	34.57405256	135.7946911	148	Dotaku2	1684536	1702798	1
Dotaku169	外縁付鈕2式	35.44325	134.234278	148	Dotaku2	1684536	1702798	1
Dotaku170	外縁付鈕式	34.10931305	134.5621397	148	Dotaku2	1666274	1702798	1
Dotaku171	突線鈕3式	35.0722	136.0419	148	Dotaku4	1750279	1764889	1
Dotaku172	外縁付鈕2式	34.6089	135.6367	148	Dotaku2	1684536	1702798	1
Dotaku173	外縁付鈕1式	35.63334957	134.8408043	148	Dotaku2	1666274	1684536	1
Dotaku174	扁平鈕式	35.4575	133.8367	148	Dotaku3	1702798	1724712	1
Dotaku175	扁平鈕2式	34.5742	133.4681	148	Dotaku3	1713755	1724712	1
Dotaku176	外縁付鈕2式	35.422139	134.276278	147	Dotaku2	1684536	1702798	1
Dotaku177	扁平鈕式	34.5422	135.4483	147	Dotaku3	1702798	1724712	1
Dotaku178	扁平鈕式	33.89753226	135.1963999	146	Dotaku3	1702798	1724712	1
Dotaku179	扁平鈕式	33.528179	130.45177	146	Dotaku3	1702798	1724712	1
Dotaku180	扁平鈕式	34.0622	135.1514	146	Dotaku3	1702798	1724712	1
Dotaku181	扁平鈕2式	34.5742	133.4675	145	Dotaku3	1713755	1724712	1
Dotaku182	外縁付鈕2式	34.64	135.8478	145	Dotaku2	1684536	1702798	1
Dotaku183	外緑付紐1式	34.4083	135.4197	145	Dotaku2	1666274	1684536	1
Dotaku184	外縁付鈕2式	35.56888342	134.3299856	144	Dotaku2	1684536	1702798	1
Dotaku185	外縁付鈕2式	36.12062777	136.2249661	144	Dotaku2	1684536	1702798	1
Dotaku186	扁平鈕式	34.7344	135.2419	143	Dotaku3	1702798	1724712	2
Dotaku187	扁平鈕2式	35.5961	135.935	143	Dotaku3	1713755	1724712	1
Dotaku188	外縁付鈕1式	35.09573456	135.9971533	143	Dotaku2	1666274	1684536	1
Dotaku189	外縁付鈕1式	34.7344	135.2419	143	Dotaku2	1666274	1684536	1
Dotaku190	外縁付鈕1式	35.51745102	133.9599926	142	Dotaku2	1666274	1684536	1
Dotaku191	扁平鈕式	34.3419	134.0467	142	Dotaku3	1702798	1724712	1
Dotaku192	扁平鈕式	35.0889	134.5767	142	Dotaku3	1702798	1724712	1
Dotaku193	外縁付鈕1式	34.82070283	135.3635836	142	Dotaku2	1666274	1684536	1
Dotaku194	扁平鈕式	34.7814	134.9069	142	Dotaku3	1702798	1724712	1
Dotaku195	扁平鈕式	34.91	132.4658	142	Dotaku3	1702798	1724712	1
Dotaku196	扁平鈕2式	34.5814	133.4764	142	Dotaku3	1713755	1724712	1
Dotaku197	扁平鈕2式	35.4839	135.8128	141	Dotaku3	1713755	1724712	1
Dotaku198	外縁付鈕1式	34.7344	135.2419	141	Dotaku2	1666274	1684536	1
Dotaku199	扁平鈕式	33.89753226	135.1963999	141	Dotaku3	1702798	1724712	1
Dotaku200	扁平鈕式	33.8486	134.6789	141	Dotaku3	1702798	1724712	1
Dotaku201	扁平鈕式	34.1408	133.7411	141	Dotaku3	1702798	1724712	1
Dotaku202	扁平鈕式	33.5594	133.6522	141	Dotaku3	1702798	1724712	1
Dotaku203	扁平鈕式	34.74041287	135.6459325	141	Dotaku3	1702798	1724712	1
Dotaku204	扁平鈕2式	34.6653	133.9744	141	Dotaku3	1713755	1724712	1
Dotaku205	外線付紐1式	36.225463	136.137722	141	Dotaku2	1666274	1684536	1
Dotaku206	扁平鈕式	34.7344	135.2419	141	Dotaku3	1702798	1724712	1
Dotaku207	扁平鈕式	34.7344	135.2419	140	Dotaku3	1702798	1724712	2
Dotaku208	外緑付紐1式	34.83210584	137.6725221	140	Dotaku2	1666274	1684536	1
Dotaku209	扁平鈕式	34.6414	136.3747	140	Dotaku3	1702798	1724712	1
Dotaku210	扁平鈕式	34.6214	135.5461	140	Dotaku3	1702798	1724712	1
Dotaku211	扁平鈕式	34.3278	135.6694	140	Dotaku3	1702798	1724712	1
Dotaku212	外縁付鈕式	34.08910366	134.5896147	140	Dotaku2	1666274	1702798	1
Dotaku213	扁平鈕式	34.5814	135.8539	139	Dotaku3	1702798	1724712	1
Dotaku214	扁平鈕式	34.5222	135.6414	138	Dotaku3	1702798	1724712	1
Dotaku215	扁平鈕式	34.7381	135.3411	138	Dotaku3	1702798	1724712	1
Dotaku216	扁平鈕式	34.08609781	135.1343691	138	Dotaku3	1702798	1724712	1
Dotaku217	外緑付紐1式	34.73487038	135.2295423	138	Dotaku2	1666274	1684536	1
Dotaku218	扁平鈕式	34.0469	134.4742	138	Dotaku3	1702798	1724712	1
Dotaku219	扁平鈕式	33.8697	134.585	137	Dotaku3	1702798	1724712	1
Dotaku220	扁平鈕式	34.14	134.4175	137	Dotaku3	1702798	1724712	1
Dotaku221	外縁付鈕2式	35.4750548	135.8524972	135	Dotaku2	1684536	1702798	1
Dotaku222	扁平鈕式	35.4936	134.1583	135	Dotaku3	1702798	1724712	1
Dotaku223	扁平鈕式	33.5586	133.5303	135	Dotaku3	1702798	1724712	1
Dotaku224	扁平鈕式	35.0342	136.6297	134	Dotaku3	1702798	1724712	1
Dotaku225	扁平鈕式	34.1956	133.7903	134	Dotaku3	1702798	1724712	1
Dotaku226	外縁付鈕2式	34.70851105	136.48122	133	Dotaku2	1684536	1702798	1
Dotaku227	扁平鈕式	34.7239	135.7981	133	Dotaku3	1702798	1724712	1
Dotaku228	外縁付鈕2式	34.81369764	136.5678656	131	Dotaku2	1684536	1702798	1
Dotaku229	扁平鈕式	34.0617	134.5011	131	Dotaku3	1702798	1724712	1
Dotaku230	扁平鈕式	34.7344	135.2419	131	Dotaku3	1702798	1724712	1
Dotaku231	扁平鈕式	34.3522	134.1464	130	Dotaku3	1702798	1724712	1
Dotaku232	扁平鈕式	34.5203	135.6356	130	Dotaku3	1702798	1724712	1
Dotaku233	扁平鈕式	34.6067	135.62	130	Dotaku3	1702798	1724712	1
Dotaku234	扁平鈕式	34.3536	135.2781	128	Dotaku3	1702798	1724712	1
Dotaku235	突線鈕1式	34.69	135.1833	124	Dotaku6	1724712	1735670	1
Dotaku236	外縁付鈕1式	35.27701773	136.9290082	120	Dotaku2	1666274	1684536	1
Dotaku237	扁平鈕式	33.98035601	134.6065719	120	Dotaku3	1702798	1724712	1
Dotaku238	外縁付鈕2式	34.29285675	133.899478	119	Dotaku2	1684536	1702798	1
Dotaku239	菱環紐2式	34.975471	134.662827	118	Dotaku1	1651664	1666274	1
Dotaku240	扁平鈕式	34.0628	134.4	116	Dotaku3	1702798	1724712	1
Dotaku241	扁平鈕式	35.33064998	136.9670691	112	Dotaku3	1702798	1724712	1
Dotaku242	扁平鈕式	34.6189	135.8367	111	Dotaku3	1702798	1724712	1
Dotaku243	外縁付鈕1式	34.3440207	134.7445949	110	Dotaku2	1666274	1684536	1
Dotaku244	外縁付鈕2式	34.73421609	135.2876693	110	Dotaku2	1684536	1702798	1
Dotaku245	外縁付鈕2式	34.6847	135.8339	110	Dotaku2	1684536	1702798	1
Dotaku246	外縁付鈕2式	34.29942058	133.9171303	109	Dotaku2	1684536	1702798	1
Dotaku247	外縁付鈕2式	35.3647	134.2694	109	Dotaku2	1684536	1702798	1
Dotaku248	外縁付鈕1式	34.351557	134.743785	108	Dotaku2	1666274	1684536	1
Dotaku249	外縁付鈕式	34.97408721	135.8974862	107	Dotaku2	1666274	1702798	1
Dotaku250	外縁付鈕2式	34.7794	135.4625	107	Dotaku2	1684536	1702798	1
Dotaku251	外縁付鈕2式	34.4244	135.3889	107	Dotaku2	1684536	1702798	1
Dotaku252	扁平鈕式	34.08609781	135.1343691	106	Dotaku3	1702798	1724712	1
Dotaku253	扁平鈕式	35.0383	134.485	106	Dotaku3	1702798	1724712	1
Dotaku254	扁平鈕式	35.9018466	137.2074177	105	Dotaku3	1702798	1724712	1
Dotaku255	扁平鈕2式	35.0542459	136.1147928	105	Dotaku3	1713755	1724712	1
Dotaku256	扁平鈕式	34.74041287	135.6459325	105	Dotaku3	1702798	1724712	1
Dotaku257	外縁付鈕2式	34.7344	135.2419	105	Dotaku2	1684536	1702798	1
Dotaku258	扁平鈕式	34.6858	133.9719	104	Dotaku3	1702798	1724712	1
Dotaku259	外縁付鈕式/扁平鈕式	34.46243681	133.2741348	104	Dotaku2	1666274	1724712	1
Dotaku260	外縁付鈕1式	34.2350175	135.1957247	104	Dotaku2	1666274	1684536	1
Dotaku261	扁平鈕1式	34.6089	134.0958	104	Dotaku3	1702798	1713755	1
Dotaku262	外縁付鈕2式/扁平鈕式	34.481815	134.332752	104	Dotaku2	1684536	1724712	1
Dotaku263	突線鈕1式	34.88196713	137.093236	104	Dotaku6	1724712	1735670	1
Dotaku264	外縁付鈕2式	35.5169	132.9908	103	Dotaku2	1684536	1702798	1
Dotaku265	外縁付鈕1式	35.3599061	132.8834115	102	Dotaku2	1666274	1684536	1
Dotaku266	外縁付鈕2式	35.456444	133.838278	101	Dotaku2	1684536	1702798	1
Dotaku267	扁平鈕式	35.33064998	136.9670691	101	Dotaku3	1702798	1724712	1
Dotaku268	扁平鈕式	34.0286	134.5069	100	Dotaku3	1702798	1724712	7
Dotaku269	扁平鈕式	35.9018466	137.2074177	100	Dotaku3	1702798	1724712	1
Dotaku270	外緑付紐1式	34.5641897	135.7157074	100	Dotaku2	1666274	1684536	1
Dotaku271	扁平鈕式	35.49608999	133.6645689	100	Dotaku3	1702798	1724712	1
Dotaku272	扁平鈕式	35.4617	133.8108	100	Dotaku3	1702798	1724712	1
Dotaku273	扁平鈕式	34.25369795	133.9517902	100	Dotaku3	1702798	1724712	1
Dotaku274	扁平鈕式	34.2328	134.2075	100	Dotaku3	1702798	1724712	1
Dotaku275	扁平鈕式	34.6864	134.0683	99	Dotaku3	1702798	1724712	1
Dotaku276	外縁付鈕2式	34.219255	133.755026	99	Dotaku2	1684536	1702798	1
Dotaku277	外縁付鈕1式	34.5547	135.7089	99	Dotaku2	1666274	1684536	1
Dotaku278	扁平鈕式	34.03323891	134.4532576	98	Dotaku3	1702798	1724712	1
Dotaku279	外縁付鈕2式	35.03576693	135.6929069	97	Dotaku2	1684536	1702798	1
Dotaku280	扁平鈕式	34.5478	133.7914	95	Dotaku3	1702798	1724712	1
Dotaku281	突線鈕4/5式	33.92511819	134.6000346	94	Dotaku4	1764889	1794109	1
Dotaku282	扁平鈕式	35.4236	136.7608	93	Dotaku3	1702798	1724712	1
Dotaku283	扁平鈕式	34.6347	132.8883	93	Dotaku3	1702798	1724712	1
Dotaku284	福田型	33.33438372	130.4013017	92	FukudaDotaku	1666274	1724712	1
Dotaku285	扁平鈕1式	34.9197	132.1367	91	Dotaku3	1702798	1713755	1
Dotaku286	外緑付鈕式	34.0719	135.135	90	Dotaku2	1666274	1702798	1
Dotaku287	扁平鈕式	34.74316819	135.6026727	88	Dotaku3	1702798	1724712	1
Dotaku288	扁平鈕式	33.6783	135.3481	86	Dotaku3	1702798	1724712	1
Dotaku289	外縁付鈕1式	35.03576693	135.6929069	86	Dotaku2	1666274	1684536	1
Dotaku290	外縁付鈕1式	35.34823756	136.5674574	86	Dotaku2	1666274	1684536	1
Dotaku291	扁平鈕式	34.03323891	134.4532576	82	Dotaku3	1702798	1724712	1
Dotaku292	菱環紐1式	34.380749	134.864777	81	Dotaku1	1637054	1651664	1
Dotaku293	外縁付鈕1式	33.344582	130.481415	79	Dotaku2	1666274	1684536	3
Dotaku294	外縁付鈕式	33.344582	130.481415	78	Dotaku2	1666274	1702798	1
Dotaku295	外縁付鈕1式	35.03576693	135.6929069	77	Dotaku2	1666274	1684536	1
Dotaku296	外縁付鈕2式	34.4386	135.7108	77	Dotaku2	1684536	1702798	1
Dotaku297	扁平鈕式	35.42569025	133.3594681	75	Dotaku3	1702798	1724712	1
Dotaku298	外縁付鈕1式	34.349971	134.743173	75	Dotaku2	1666274	1684536	1
Dotaku299	外縁付鈕2式	35.03576693	135.6929069	75	Dotaku2	1684536	1702798	1
Dotaku300	外縁付鈕1式	33.344582	130.481415	75	Dotaku2	1666274	1684536	1
Dotaku301	福田型	35.36616487	132.749233	74	FukudaDotaku	1666274	1724712	1
Dotaku302	扁平鈕式	34.70592653	135.7760663	74	Dotaku3	1702798	1724712	1
Dotaku303	外縁付鈕1式	34.70592653	135.7760663	74	Dotaku2	1666274	1684536	1
Dotaku304	扁平鈕式	33.91006415	135.1504273	74	Dotaku3	1702798	1724712	1
Dotaku305	外縁付鈕1式	34.09028211	134.1630202	74	Dotaku2	1666274	1684536	1
Dotaku306	扁平鈕1式	35.0542459	136.1147928	74	Dotaku3	1702798	1713755	1
Dotaku307	扁平鈕式	34.5439	135.465	73	Dotaku3	1702798	1724712	1
Dotaku308	扁平鈕式	33.7831	135.3389	73	Dotaku3	1702798	1724712	1
