key	ja-JP	latitude	longitude	overall_length	texture	first_julian_day	last_julian_day	draw_count
Dotaku1	突線鈕式	35.04565428	135.8530408	550	Dotaku4	1724712	1794109	1
Dotaku2	突線鈕式	33.98912826	134.5259718	483	Dotaku4	1724712	1794109	1
Dotaku3	突線鈕5式	35.0722	136.0419	449	Dotaku4	1779499	1794109	1
Dotaku4	突線鈕5式	34.61439945	137.1473325	413	Dotaku4	1779499	1794109	1
Dotaku5	突線鈕4式	34.76883	136.12992	413	Dotaku4	1764889	1779499	1
Dotaku6	突線鈕5式	34.7189	137.5317	400	Dotaku4	1779499	1794109	1
Dotaku7	突線鈕5式	33.6878	135.4114	400	Dotaku4	1779499	1794109	1
Dotaku8	突線鈕5式	35.0061	138.9069	394	Dotaku4	1779499	1794109	1
Dotaku9	突線鈕式	34.69	135.1833	384	Dotaku4	1724712	1794109	1
Dotaku10	突線鈕4式	33.49471353	133.9353892	383	Dotaku4	1764889	1779499	1
Dotaku11	突線鈕4式	33.8059705	135.3227147	379	Dotaku4	1764889	1779499	1
Dotaku12	突線鈕5式	34.61439945	137.1473325	373	Dotaku4	1779499	1794109	1
Dotaku13	突線鈕5式	35.39173689	137.1270631	370	Dotaku4	1779499	1794109	1
Dotaku14	突線鈕5式	33.9133	135.175	369	Dotaku4	1779499	1794109	1
Dotaku15	突線鈕4式	34.9953	134.4444	368	Dotaku4	1764889	1779499	1
Dotaku16	突線鈕4式	34.85756101	135.6169888	363	Dotaku4	1764889	1779499	1
Dotaku17	突線鈕4式	33.7519	135.3986	363	Dotaku4	1764889	1779499	1
Dotaku18	突線鈕5式	34.8172	135.41	359	Dotaku4	1779499	1794109	1
Dotaku19	突線鈕5式	35.52431244	135.0820896	357	Dotaku4	1779499	1794109	1
Dotaku20	突線鈕4式	34.66769988	136.1993515	356	Dotaku4	1764889	1779499	1
Dotaku21	突線鈕5式	35.18513751	136.8994814	353	Dotaku4	1779499	1794109	1
Dotaku22	突線鈕4式	34.97408721	135.8974862	345	Dotaku4	1764889	1779499	1
Dotaku23	突線鈕5式	33.8081	135.3253	335	Dotaku4	1779499	1794109	1
Dotaku24	突線鈕5式	35.4656	134.7422	333	Dotaku6	1779499	1794109	1
Dotaku25	突線鈕4式	35.0025	134.56	333	Dotaku4	1764889	1779499	1
Dotaku26	突線鈕式	35.1556	134.4658	333	Dotaku6	1724712	1794109	1
Dotaku27	突線鈕5式	33.8059705	135.3227147	333	Dotaku4	1779499	1794109	1
Dotaku28	突線鈕3式	35.10976976	137.2057437	327	Dotaku5	1750279	1764889	1
Dotaku29	突線鈕4式	33.92556964	135.1353291	326	Dotaku4	1764889	1779499	1
Dotaku30	突線鈕5式	34.06084495	134.4678947	326	Dotaku4	1779499	1794109	1
Dotaku31	突線鈕4式	34.8158	137.5306	322	Dotaku4	1764889	1779499	1
Dotaku32	突線鈕4式	34.8125	137.5228	320	Dotaku4	1764889	1779499	1
Dotaku33	突線鈕4	34.15870382	134.493535	310	Dotaku4	1764889	1779499	1
Dotaku34	突線鈕4式	34.95063878	135.8905041	303	Dotaku4	1764889	1779499	1
Dotaku35	突線鈕式	33.99004508	134.5050183	303	Dotaku4	1724712	1794109	1
Dotaku36	突線鈕3式	34.49848931	136.7159627	303	Dotaku4	1750279	1764889	1
Dotaku37	突線鈕式	34.6847	135.8339	300	Dotaku4	1724712	1794109	1
Dotaku38	突線鈕式	35.10714827	133.9182588	300	Dotaku6	1724712	1794109	1
Dotaku39	突線鈕4式	34.5397	135.6058	298	Dotaku4	1764889	1779499	1
Dotaku40	突線鈕4式	34.2531	135.2186	293	Dotaku4	1764889	1779499	1
Dotaku41	突線鈕3式	34.84064025	137.3337429	293	Dotaku5	1750279	1764889	1
Dotaku42	突線鈕4式	34.5136	135.4753	288	Dotaku4	1764889	1779499	1
Dotaku43	突線鈕3式	34.8272	135.4703	285	Dotaku4	1750279	1764889	1
Dotaku44	突線鈕3式	33.92	135.1544	282	Dotaku4	1750279	1764889	1
Dotaku45	突線鈕3式	35.11526768	136.9490361	277	Dotaku5	1750279	1764889	1
Dotaku46	突線鈕3式	33.92	135.1544	274	Dotaku4	1750279	1764889	1
Dotaku47	突線鈕4式	34.7864	137.3383	272	Dotaku5	1764889	1779499	1
Dotaku48	突線鈕3式	34.7156	137.7722	271	Dotaku5	1750279	1764889	1
Dotaku49	突線鈕4式	34.7864	137.3383	270	Dotaku5	1764889	1779499	1
Dotaku50	突線鈕3式	35.0722	136.0419	269	Dotaku5	1750279	1764889	1
Dotaku51	突線鈕3式	35.0722	136.0419	262	Dotaku5	1750279	1764889	1
Dotaku52	突線鈕3式	34.8253	137.8589	257	Dotaku5	1750279	1764889	1
Dotaku53	突線鈕4式	34.64110461	137.2708395	253	Dotaku4	1764889	1779499	1
Dotaku54	突線鈕3式	33.65125327	133.7877728	252	Dotaku4	1750279	1764889	1
Dotaku55	突線鈕3式	34.7864	137.3383	248	Dotaku5	1750279	1764889	1
Dotaku56	突線鈕3式	34.81084079	137.5363237	247	Dotaku5	1750279	1764889	1
Dotaku57	突線鈕3式	35.0722	136.0419	247	Dotaku4	1750279	1764889	1
Dotaku58	突線鈕3式	34.7983	137.6914	242	Dotaku4	1750279	1764889	1
Dotaku59	突線鈕3式	34.85833771	137.3278168	242	Dotaku5	1750279	1764889	1
Dotaku60	突線鈕3式	35.0722	136.0419	242	Dotaku4	1750279	1764889	1
Dotaku61	突線鈕3式	34.5656	135.6272	241	Dotaku4	1750279	1764889	1
Dotaku62	突線鈕3式	34.7961	137.6833	241	Dotaku4	1750279	1764889	1
Dotaku63	突線鈕3式	34.7156	137.7722	235	Dotaku5	1750279	1764889	1
Dotaku64	突線鈕3式	35.0722	136.0419	234	Dotaku4	1750279	1764889	1
Dotaku65	推 突線鈕式	35.3647	134.2694	233	Dotaku6	1724712	1794109	1
Dotaku66	突線鈕3式	33.61494412	133.7020243	233	Dotaku4	1750279	1764889	1
Dotaku67	突線鈕3式	34.7989	137.6797	232	Dotaku4	1750279	1764889	1
Dotaku68	突線鈕3式	35.0722	136.0419	230	Dotaku4	1750279	1764889	1
Dotaku69	突線鈕3式	34.8253	137.8589	228	Dotaku5	1750279	1764889	1
Dotaku70	突線鈕2式	34.81240385	137.7268498	228	Dotaku5	1735670	1750279	1
Dotaku71	突線鈕3式	35.0722	136.0419	228	Dotaku4	1750279	1764889	1
Dotaku72	突線鈕2式	33.7925	135.3392	225	Dotaku4	1735670	1750279	1
Dotaku73	突線鈕3式	35.0722	136.0419	224	Dotaku4	1750279	1764889	1
Dotaku74	突線鈕2式	33.87281044	134.5892711	223	Dotaku6	1735670	1750279	1
Dotaku75	突線鈕3式	33.65125327	133.7877728	223	Dotaku4	1750279	1764889	1
Dotaku76	突線鈕2式	34.67008949	136.5039412	222	Dotaku4	1735670	1750279	1
Dotaku77	突線鈕3式	34.8701311	135.6976864	220	Dotaku4	1750279	1764889	1
Dotaku78	突線鈕3式	34.7989	137.6797	217	Dotaku5	1750279	1764889	1
Dotaku79	突線鈕3式	34.80458628	137.6805868	216	Dotaku5	1750279	1764889	1
Dotaku80	突線鈕3式	34.6931	137.7642	215	Dotaku5	1750279	1764889	1
Dotaku81	突線鈕4式	34.71410422	136.463624	215	Dotaku5	1764889	1779499	1
Dotaku82	扁平鈕式	33.8697	134.585	214	Dotaku3	1702798	1724712	1
Dotaku83	突線鈕3式	36.11	137.9581	214	Dotaku5	1750279	1764889	1
Dotaku84	扁平鈕式	34.7344	135.2419	212	Dotaku3	1702798	1724712	1
Dotaku85	突線鈕3式	35.0722	136.0419	212	Dotaku4	1750279	1764889	1
Dotaku86	突線鈕2式	34.8381	135.3947	210	Dotaku4	1735670	1750279	1
Dotaku87	突線鈕3式	34.8	137.6772	210	Dotaku5	1750279	1764889	1
Dotaku88	突線鈕3式	34.8253	137.8589	209	Dotaku5	1750279	1764889	1
Dotaku89	突線鈕2式	35.0722	136.0419	208	Dotaku4	1735670	1750279	1
Dotaku90	突線鈕3式	35.46273067	135.3283321	208	Dotaku4	1750279	1764889	1
Dotaku91	突線鈕2式	34.80063799	134.1538975	208	Dotaku4	1735670	1750279	1
Dotaku92	突線鈕2式	34.85932176	135.6170961	202	Dotaku4	1735670	1750279	1
Dotaku93	突線鈕1式	34.55126297	135.7688166	201	Dotaku6	1724712	1735670	1
Dotaku94	突線鈕2式	35.5458476	135.8825449	200	Dotaku4	1735670	1750279	1
Dotaku95	突線鈕3式	34.7664	137.9942	200	Dotaku5	1750279	1764889	1
Dotaku96	突線鈕1式	34.615	135.8417	200	Dotaku6	1724712	1735670	1
Dotaku97	突線鈕2式	33.78979285	135.3427867	200	Dotaku4	1735670	1750279	1
Dotaku98	突線鈕4式	33.7233	135.9817	200	Dotaku4	1764889	1779499	1
Dotaku99	突線鈕式	35.10714827	133.9182588	200	Dotaku6	1724712	1794109	1
Dotaku100	外縁付鈕式	33.76541707	132.7057981	200	Dotaku2	1666274	1702798	1
Dotaku101	突線鈕2式	33.73416766	133.5277407	200	Dotaku4	1735670	1750279	1
Dotaku102	扁平鈕式	34.1969	135.2378	199	Dotaku3	1702798	1724712	1
Dotaku103	突線鈕3式	35.0722	136.0419	199	Dotaku4	1750279	1764889	1
Dotaku104	突線鈕2式	33.56710844	134.0481004	199	Dotaku6	1735670	1750279	1
Dotaku105	突線鈕式	34.7989	137.6894	197	Dotaku4	1724712	1794109	1
Dotaku106	突線鈕3式	34.7906	137.7183	196	Dotaku5	1750279	1764889	1
Dotaku107	扁平鈕式	34.69	135.1833	196	Dotaku3	1702798	1724712	1
Dotaku108	突線鈕3式	35.0722	136.0419	192	Dotaku4	1750279	1764889	1
Dotaku109	突線鈕式2式	34.68962664	133.804866	192	Dotaku6	1735670	1750279	1
Dotaku110	突線鈕3式	34.81084079	137.5363237	192	Dotaku5	1750279	1764889	1
Dotaku111	外縁付鈕式	34.86131123	137.3784436	192	Dotaku2	1666274	1702798	1
Dotaku112	突線鈕3式	34.80458628	137.6805868	187	Dotaku5	1750279	1764889	1
Dotaku113	外縁付鈕1式	36.165051	136.188628	184	Dotaku2	1666274	1684536	1
Dotaku114	突線鈕2式	35.0722	136.0419	184	Dotaku4	1735670	1750279	1
Dotaku115	突線鈕4式	34.5578	135.6053	183	Dotaku4	1764889	1779499	1
Dotaku116	扁平鈕式	33.8928	133.8175	183	Dotaku3	1702798	1724712	1
Dotaku117	突線鈕1式	35.10410171	137.487399	182	Dotaku6	1724712	1735670	1
