key	ja-JP	latitude	longitude	overall_length	texture	first_julian_day	last_julian_day	x_size
Doken473	細形	33.28706431	130.27518	123	DokenChuC	1637054	1651664	1
Doken474	広形Ⅰ	34.66001703	129.470374	253	Dohoko	1713755	1724712	1
Doken475	広形Ⅱ	34.66001703	129.470374	253	Dohoko	1735670	1750279	1
Doken476	広形Ⅱ	34.59892323	129.436082	253	Dohoko	1735670	1750279	1
Doken477	広形Ⅰ	34.62864729	129.4701157	253	Dohoko	1713755	1724712	1
Doken478	広形	34.68970909	129.4564939	253	Dohoko	1713755	1750279	1
Doken479	広形Ⅱ	34.63850425	129.3606169	253	Dohoko	1735670	1750279	1
Doken480	中広形	34.63850425	129.3606169	197	Dohoko	1693667	1719234	1
Doken481	中広形	34.63510124	129.3334166	197	Dohoko	1693667	1719234	1
Doken482	広形	34.63510124	129.3334166	253	Dohoko	1713755	1750279	1
Doken483	中細形a	34.54452958	129.3595388	148	Dohoko	1666274	1675405	1
Doken484	広形Ⅱ	34.5386409	129.3375154	253	Dohoko	1735670	1750279	1
Doken485	中広形	34.52363912	129.3409017	197	Dohoko	1693667	1719234	1
Doken486	広形	34.63428469	129.335235	253	Dohoko	1713755	1750279	1
Doken487	中広形	34.46946406	129.3136083	197	Doka	1713755	1724712	1
Doken488	細形Ⅱ	34.46838407	129.3168328	123	DokenChuC	1637054	1651664	1
Doken489	細形	34.47100223	129.3203947	123	DokenChuC	1637054	1651664	1
Doken490	中細形d	34.47100223	129.3203947	148	Dohoko	1693667	1702798	1
Doken491	広形Ⅰ	34.46464668	129.283154	253	Dohoko	1713755	1724712	1
Doken492	細形Ⅱc	34.46386461	129.2795844	123	DokenChuC	1637054	1651664	1
Doken493	細形c	34.46386461	129.2795844	123	Dohoko	1637054	1651664	1
Doken494	中細形C	34.46386461	129.2795844	148	DokenChuC	1702798	1713755	1
Doken495	細形Ⅱ	34.44714412	129.3191837	123	DokenChuC	1637054	1651664	1
Doken496	中広形	34.44714412	129.3191837	197	DokenChuC	1713755	1724712	1
Doken497	広形Ⅱ	34.44714412	129.3191837	253	Dohoko	1735670	1750279	1
Doken498	中広形	34.44788381	129.3202917	197	Dohoko	1693667	1719234	1
Doken499	広形Ⅱ	34.45640494	129.3111613	253	Dohoko	1735670	1750279	1
Doken500	中細形Ⅱ？	34.46065288	129.3754865	148	DokenChuC	1666274	1713755	1
Doken501	中広形	34.46065288	129.3754865	197	Dohoko	1693667	1719234	1
Doken502	広形Ⅰ	34.39145038	129.2966728	253	Dohoko	1713755	1724712	1
Doken503	広形	34.36529374	129.2883951	253	Dohoko	1713755	1750279	1
Doken504	細形ⅡB	34.39629134	129.3203054	123	DokenChuC	1637054	1651664	1
Doken505	広形Ⅰ	34.39685101	129.3147208	253	Dohoko	1713755	1724712	1
Doken506	広形Ⅱ	34.39150013	129.2838624	253	Dohoko	1735670	1750279	1
Doken507	広形	34.39150013	129.2838624	253	Dohoko	1713755	1750279	1
Doken508	広形	34.42339228	129.3074394	253	Dohoko	1713755	1750279	1
Doken509	広形Ⅱ	34.27945349	129.2405054	253	Dohoko	1735670	1750279	1
Doken510	中広形	34.17674027	129.196561	197	Dohoko	1693667	1719234	1
Doken511	広形	34.17674027	129.196561	253	Dohoko	1713755	1750279	1
