key	ja-JP	en-US	longitude	latitude	min_size	max_size	first_julian_day	last_julian_day
PlaceNames69	REGNUM MAURORUM ET ROMANORUM	Mauro-Roman Kingdom	-1.024722	34.886389	1	1000	1895464	1932354
PlaceNames70	ASTURUM REGNUM	Kingdom of Asturias	-5.116667	43.35	1	1000	1983489	2059096
PlaceNames71	REINU DE LLIÓN	Kingdom of León	-5.57	42.605556	1	1000	2053617	2170497
PlaceNames72		Umayyad Caliphate	36.291944	33.513056	1	1000	1962670	1995177
PlaceNames73		Rashidun Caliphate	39.61	24.47	1	1000	1952078	1962670
PlaceNames74	REGNUM AURASIUM	Kingdom of the Aurès	6.35	35.25	1	1000	1898021	1978011
PlaceNames75		Kingdom of Altava	-1.024722	34.886389	1	1000	1932354	1979837
PlaceNames76	ĒRĀNŠAHR	Sasanian Empire	44.580556	33.093611	1	1000	1803056	1959018
PlaceNames77	パルティア	Parthian Empire	44.580556	33.093611	1	1000	1631388	1803056
PlaceNames78		Seleucid Empire	44.522222	33.094444	1	1000	1607647	1698594
PlaceNames79		Greco-Bactrian Kingdom	66.898056	36.758056	1	1000	1628101	1677775
PlaceNames80		Indo-Greek Kingdom	69.310833	34.995833	1	1000	1648555	1724892
PlaceNames81	インド・パルティア王国	Indo-Parthian Kingdom	72.7875	33.745833	1	1000	1728180	1803786
PlaceNames82		Kushan Empire	71.5675	34.014444	1	1000	1732197	1858209
PlaceNames83	北クシャトラパ	Northern Satraps	74.534167	32.505278	1	1000	1699690	1776027
PlaceNames84	西クシャトラパ	Western Satraps	75.79	23.17	1	1000	1734024	1872819
PlaceNames85	Mahāmēghabāhana	Mahameghavahana dynasty	86.129167	20.945833	1	1000	1666818	1849077
PlaceNames86	KUSHANSHAHR	Kushano-Sasanian Kingdom	66.898056	36.758056	1	1000	1805247	1854556
PlaceNames87	KUSHANSHAHR	Kushano-Sasanian Kingdom	66.898056	36.758056	1	1000	1927606	1959018
PlaceNames88		Gupta Empire	85.128333	25.6125	1	1000	1838120	1922127
