ja-JP	en-US	longitude	latitude	first_julian_day	last_julian_day	texture	overall_length
富雄丸山古墳		135.752133	34.666486	1852548	1859853	TomioMaruyamaKofun	119
丸墓山古墳		139.478506	36.129308	1910988	1925598	MaruhakayamaKofun	180
