ja-JP	first_year	last_year	latitude	longitude	texture	overall_length
左坂G支群南丘陵	30	86	35.58694843	135.1037309	Hofun	5
三坂神社	30	86	35.57853828	135.1006666	Hofun	5
大山	30	143	35.72283542	135.1009424	Hofun	5
大風呂南1号	86	143	35.57045534	135.1469154	Hofun	5
帯城A地区	143	200	35.58330629	135.1032701	Hofun	5
帯城B地区	143	200	35.58330629	135.1032701	Hofun	5
西谷3号・4号	143	200	35.53026092	135.0992892	Hofun	5
白米山北楕円形墳丘墓	200	240	35.49375894	135.1005771	Enpun	5
駄坂舟隠方形周溝墓	-350	-300	35.5156504	134.8491837	Hofun	5
粟鹿貼り石方形墳丘墓	-96	30	35.29653554	134.907082	HofunF	5
東山墳墓群	30	115	35.53398821	134.8226934	Hofun	5
半坂周溝墓	86	143	35.53446888	134.8253191	Hofun	5
妙楽寺	115	200	35.53203178	134.8156793	Hofun	5
立石	115	200	35.51553569	134.8612016	Hofun	5
志高1号・3号貼り石方形墳丘墓	-96	30	35.43352291	135.2518051	HofunF	5
岩谷1号	200	220	35.31740559	135.2754008	Hofun	5
新庄1～6号	220	240	35.34612113	135.2141252	Enpun	5
青野西SX49	220	240	35.30476007	135.258497	TotsuHofun	5
青野西SX59	220	260	35.30436685	135.2575879	TotsuEnpun	5
七日市遺跡	-223	30	35.16687688	135.1170067	Hofun	5
SX03・09	30	200	35.34612113	135.2141252	Enpun	5
仮2・仮5	30	200	35.34612113	135.2141252	Enpun	5
SX01・SX02・SX04・仮3・仮4	30	200	35.34612113	135.2141252	Enpun	5
狭間5号方形墳丘墓	86	143	35.12224622	135.4718041	Hofun	5
黒田前方後円形墳丘墓	227	240	35.11101916	135.4466475	Makimuku	5
太田山1号方形墳丘墓	-223	-96	36.00995111	136.2298964	Hofun	5
太田山2号	30	115	36.00995111	136.2298964	Hofun	5
安保山4号	30	115	36.00867269	136.1975828	Hofun	5
山ケ花20号	86	143	35.96673299	136.5196806	Hofun	5
西山1号・4号	115	200	35.95558246	136.183435	Hofun	5
片山鳥越3号	115	200	36.08745104	136.1797937	Hofun	5
城山1号	200	220	36.06583859	136.5009539	Hofun	5
下山4号	200	220	36.05099609	136.2260474	Hofun	5
山ケ花4号	86	143	35.96673299	136.5196806	Hofun	5
袖高林4号	143	200	36.08919979	136.3367734	Hofun	5
片山鳥越4号(推定)	143	200	36.08745104	136.1797937	Hofun	5
小羽山24号	143	200	36.03093953	136.1380183	Hofun	5
袖高林3号	200	220	36.08919979	136.3367734	Hofun	5
原目山3-1号方形周溝墓	213	227	36.07792432	136.2726538	Hofun	5
小羽山30号・33号	86	143			Yosumi	5
小羽山23号	115	200			Yosumi	5
小羽山24号	143	200			Yosumi	5
小羽山26号(6基)	143	200			Yosumi	5
小羽山22号	143	200			Yosumi	5
高柳2号	200	220			Yosumi	5
中角SX1号	227	240	36.10805054	136.2079404	TotsuHofun	5
七ツ塚墳墓群	115	220	36.56799231	136.646589	Hofun	5
一塚墳墓群	200	240	36.55686968	136.5610095	Hofun	5
七ツ塚1号	115	200	36.57063232	136.647127	Hofun	5
垣吉B22号	227	240	37.06228458	136.895877	TotsuHofun	5
マンダラ1号・2号	227	240	37.12275494	136.8436375	TotsuHofun	5
一塚SX03号	240	260	36.55691981	136.5610387	TotsuHofun	5
吉田経塚山1号	115	200	37.06279715	136.888567	Enpun	5
吉田経塚山2号	115	200	37.06279715	136.888567	Enpun	5
西山6号・12号	200	220	36.4445488	136.5465506	Enpun	5
寺井山5号	200	220	36.44199134	136.4980236	Enpun	5
鏡坂2号	200	220			Yosumi	5
市富崎3号	200	220			Yosumi	5
富崎1号	220	240			Yosumi	5
富崎2号	227	240			Yosumi	5
向野塚	220	240	36.66644267	137.1850744	MakimukuHo	5
石塚2号	220	240	36.73298488	136.9785431	MakimukuHo	5
屋鋪塚遺跡	30	115	37.64018874	138.821722	Hofun	5
土田SZ02(SD02)	200	220	35.21262526	136.8278586	TotsuHofun	5
土田SZ06	200	220	35.21262526	136.8278586	TotsuHofun	5
山中SZ03	200	220	35.2801833	136.7429415	TotsuHofun	5
山中SZ13	200	220	35.2801833	136.7429415	TotsuHofun	5
廻間SZ01	200	213	35.21719218	136.8301193	MakimukuHo	5
西上免SZ01	213	227	35.32216001	136.7797259	MakimukuHo	5
川原SZ02	30	86	35.09248092	137.1757306	TotsuHofun	5
川原SZ01	86	143	35.09248092	137.1757306	TotsuHofun	5
東町田SZ10	220	240	35.38391163	136.5686353	TotsuHofun	5
瑞龍寺山山頂墳	30	86	35.42245611	136.7693394	MakimukuHo	5
美濃観音寺山	227	240	35.54316045	136.909966	MakimukuHo	5
矢道高塚	227	240	35.37389589	136.5611658	MakimukuHo	5
女牛谷SX4	200	220	34.62477808	136.4804249	Hofun	5
篠ノ井新幹線地点	115	200	36.57754888	138.138125	Enpun	5
篠ノ井聖川堤防地点SDZ04・05・07	115	200	36.57754888	138.138125	Enpun	5
周防畑B1号・2号	115	200	36.23473202	138.4678515	Enpun	5
安源寺22・23号	115	200	36.73895809	138.3315404	Enpun	5
篠ノ井聖川堤防地点SDZ06	200	220	36.57757473	138.1381786	TotsuHofun	5
瀧ノ峯1号・2号	220	240	36.24021055	138.4741348	TotsuHofun	5
北平1号	220	240	36.62769429	138.1844182	TotsuHofun	5
滝ノ口9号	213	227	35.37948242	140.0078085	TotsuHofun	5
高部32号	213	227	35.37123263	139.9378969	MakimukuHo	5
三ノ耕地3号	213	227	36.03374635	139.4419426	MakimukuHo	5
秋葉山4号	227	240	35.47182937	139.4031543	MakimukuHo	5
高部30号	227	240	35.37123263	139.9378969	MakimukuHo	5
真田北金目7号	227	240	35.36687345	139.280942	MakimukuHo	5
神門5号	213	227	35.49441983	140.1102691	Makimuku	5
神門4号	227	240	35.49454532	140.1099844	Makimuku	5
秋葉山3号	227	240	35.47072343	139.4033938	Makimuku	5
神門3号	227	240	35.49461719	140.1099363	Makimuku	5
中野美保2号	-223	-96	35.37560172	132.7650071	HofunF	4.974937186
波来浜A区2号	-223	-96	35.04604449	132.3036715	HofunF	4.472135955
