language_ja_jp	language_en_us	longitude	latitude	min_size	max_size	first_julian_day	last_julian_day
沙伐國	Sabeol	128.1388481	36.40498025	0.1	16	1721424	1912995
上州	Sang	128.1388481	36.40498025	0.1	24	1912996	1972166
沙伐州	Sabeol	128.1388481	36.40498025	0.1	24	1972167	1997733
尙州	Sang	128.1388481	36.40498025	0.1	24	1997734	9999999
昔里火縣(靑里火縣)	Seokrihwa	128.0890925	36.29059593	0.1	2	1721424	1997930
靑驍縣	Cheonghyo	128.0890925	36.29059593	0.1	2	1997931	2064499
靑理縣	Cheongri	128.0890925	36.29059593	0.1	2	2064500	9999999
達已縣(多已縣)	Dali	128.3378705	36.43999585	0.1	2	1721424	1997930
多仁縣	Dain	128.3378705	36.43999585	0.1	2	1997931	9999999
知乃彌知縣	Jinaemiji	127.9164113	36.47734583	0.1	2	1721424	1997930
化昌縣	Hwachang	127.9164113	36.47734583	0.1	2	1997931	9999999
水酒郡	Suju	128.4256744	36.65242386	0.1	4	1721424	1997930
匡泉郡	Gwangcheon	128.4256744	36.65242386	0.1	4	1997931	2064499
甫州	Bo	128.4256744	36.65242386	0.1	4	2064500	9999999
下枝縣	Haji	128.5515268	36.57072078	0.1	2	1721424	1997930
永安縣	Yeongan	128.5515268	36.57072078	0.1	2	1997931	2064499
豐山縣	Pungsan	128.5515268	36.57072078	0.1	2	2064500	9999999
蘭山縣	Nansan	128.2295789	36.66176136	0.1	2	1721424	1997930
安仁縣	Anin	128.2295789	36.66176136	0.1	2	1997931	9999999
近品縣(巾品縣)	Geunpum	128.2237253	36.60340201	0.1	2	1721424	1997930
嘉猷縣	Gayu	128.2237253	36.60340201	0.1	2	1997931	2064499
山陽縣	Sanyang	128.2237253	36.60340201	0.1	2	2064500	9999999
赤牙縣	Jeoka	128.4198208	36.75046756	0.1	2	1721424	1997930
殷正縣	Eunjeong	128.4198208	36.75046756	0.1	2	1997931	2064499
殷豐縣	Eunpung	128.4198208	36.75046756	0.1	2	2064500	9999999
古噸耶郡	Gotonya	128.6978668	36.55671454	0.1	4	1721424	1997930
古昌郡	Gochang	128.6978668	36.55671454	0.1	4	1997931	2064499
安東府	Andong	128.6978668	36.55671454	0.1	4	2064500	9999999
一直縣	Iljik	128.6276236	36.46333959	0.1	2	1721424	1997930
直寧縣	Jiknyeong	128.6276236	36.46333959	0.1	2	1997931	2064499
一直縣	Iljik	128.6276236	36.46333959	0.1	2	2064500	9999999
熱兮縣(泥兮縣)	Yeolhye	128.7710368	36.30927092	0.1	2	1721424	1997930
日谿縣	Ilgye	128.7710368	36.30927092	0.1	2	1997931	9999999
仇火縣(高近縣)	Guhwa	128.738842	36.42365524	0.1	2	1721424	1997930
高丘縣	Gogu	128.738842	36.42365524	0.1	2	1997931	2064499
義城府	Uiseong	128.738842	36.42365524	0.1	2	2064500	9999999
召文國	Somun	128.665672	36.26258345	0.1	4	1721424	1997930
聞韶郡	Munso	128.665672	36.26258345	0.1	4	1997931	2064499
義城府	Uiseong	128.665672	36.26258345	0.1	4	2064500	9999999
漆巴火縣	Chilpahwa	129.0168879	36.55438017	0.1	2	1721424	1997930
眞寶縣	Jinbo	129.0168879	36.55438017	0.1	2	1997931	2064499
甫城	Boseong	129.0168879	36.55438017	0.1	2	2064500	9999999
阿火屋縣(并屋縣)	Ahwaok	128.4666496	36.32561154	0.1	2	1721424	1997930
比屋縣	Biok	128.4666496	36.32561154	0.1	2	1997931	9999999
阿尸兮縣(阿乙兮縣)	Asihye	128.446162	36.36062714	0.1	2	1721424	1997930
安賢縣	Anhyeon	128.446162	36.36062714	0.1	2	1997931	2064499
安定縣	Anjeong	128.446162	36.36062714	0.1	2	2064500	9999999
武冬彌知(曷多彌知)	Mudongmiji	128.3612848	36.3559584	0.1	2	1721424	1997930
單密縣	Danmil	128.3612848	36.3559584	0.1	2	1997931	9999999
一善郡	Ilseon	128.2793345	36.23690534	0.1	4	1721424	1997930
嵩善郡	Sungseon	128.2793345	36.23690534	0.1	4	1997931	2064499
善州	Seon	128.2793345	36.23690534	0.1	4	2064500	9999999
波澄縣	Pajing	128.3642116	36.20188973	0.1	2	1721424	9999999
罐林縣	Gwanrim	128.665672	36.09917728	0.1	2	1721424	9999999
(義興)縣	(Uiheung)	128.6978668	36.17854599	0.1	2	1721424	9999999
覲兮縣	Geunhye	128.5807948	36.15053351	0.1	2	1721424	1997930
孝靈縣	Hyoryeong	128.5807948	36.15053351	0.1	2	1997931	9999999
奴同債縣(如豆債縣)	Nodongchae	128.5603072	36.23457096	0.1	2	1721424	1997930
軍威縣	Gunwi	128.5603072	36.23457096	0.1	2	1997931	9999999
甘文小國	Gammunso	128.1739697	36.15286788	0.1	4	1721424	1997930
開寧郡	Gaenyeong	128.1739697	36.15286788	0.1	4	1997931	9999999
今勿縣(陰達縣)	Geummul	128.0890925	36.21122722	0.1	2	1721424	1997930
禦侮縣	Eomo	128.0890925	36.21122722	0.1	2	1997931	9999999
金山縣	Geumsan	128.0656781	36.14353039	0.1	2	1721424	1997930
金山縣	Geumsan	128.0656781	36.14353039	0.1	2	1997931	9999999
知品川縣	Jipumcheon	128.0042153	35.9824586	0.1	2	1721424	1997930
知禮縣	Jirye	128.0042153	35.9824586	0.1	2	1997931	9999999
茂山縣	Musan	127.819827	35.95911486	0.1	2	1721424	1997930
茂豐縣	Mupung	127.819827	35.95911486	0.1	2	1997931	9999999
