key	longitude	latitude
NRCT200	140.459254	36.383531
NRCT201	141.488274	40.512415
NRCT202	140.464498	36.380248
NRCT203	140.463931	36.379809
NRCT204	140.462082	36.379444
NRCT205	140.462826	36.382753
NRCT206	140.459747	36.382797
NRCT207	140.459862	36.38144
NRCT208	140.459976	36.380083
NRCT209	140.458252	36.383875
NRCT210	140.458252	36.383875
NRCT211	140.464485	36.384119
NRCT212	141.486725	40.509598
NRCT213	140.463104	36.385132
NRCT214	140.463104	36.385132
NRCT215	140.474503	36.371708
NRCT216	140.473099	36.372693
NRCT217	140.472336	36.373371
NRCT218	140.465424	36.381631
NRCT219	140.460876	36.384324
NRCT220	140.456055	36.387455
NRCT221	140.458252	36.383875
NRCT222	140.455432	36.384885
NRCT223	140.727478	41.798096
NRCT224	141.490295	40.510628
NRCT225	140.462032	36.379373
NRCT226	140.464417	36.376577
NRCT227	140.467082	36.380234
NRCT228	140.458878	36.380234
NRCT229	140.456329	36.381008
NRCT230	140.457466	36.381941
NRCT231	140.456329	36.382378
NRCT232	140.451797	36.381973
NRCT233	140.454426	36.380581
NRCT234	140.456367	36.380041
NRCT235	141.486053	40.509041
NRCT236	140.456696	36.38113
NRCT237	140.466812	36.375114
NRCT238	140.470892	36.382354
NRCT239	140.458817	36.388439
NRCT240	140.451838	36.391379
NRCT241	140.456367	36.380041
NRCT242	140.456256	36.377419
NRCT243	140.460086	36.374335
NRCT244	140.4856	36.36941
NRCT245	140.488724	36.371971
NRCT246	141.485199	40.508579
NRCT247	140.488724	36.371971
NRCT248	140.488724	36.371971
NRCT249	140.490738	36.372047
NRCT250	140.492752	36.372124
NRCT251	140.495773	36.374489
NRCT252	140.495773	36.374489
NRCT253	140.495773	36.374489
NRCT254	140.495773	36.374489
NRCT255	140.497849	36.37701
NRCT256	140.496811	36.37575
NRCT257	141.484146	40.507755
NRCT258	140.497849	36.37701
NRCT259	140.497849	36.37701
NRCT260	140.498016	36.371735
NRCT261	140.498016	36.371735
NRCT262	140.496895	36.373112
NRCT263	140.490738	36.372047
NRCT264	140.488724	36.371971
NRCT265	140.492752	36.372124
NRCT266	140.492752	36.372124
NRCT267	140.492752	36.372124
NRCT268	140.492752	36.372124
NRCT269	140.492752	36.372124
NRCT270	140.492752	36.372124
NRCT271	140.492752	36.372124
NRCT272	140.488724	36.371971
NRCT273	140.486649	36.366211
NRCT274	140.486649	36.366211
NRCT275	140.488541	36.366461
NRCT276	140.493454	36.367447
NRCT277	140.490433	36.366711
NRCT278	141.48156	40.504349
NRCT279	140.493454	36.367447
NRCT280	140.494453	36.368063
NRCT281	140.493454	36.367447
NRCT282	140.488159	36.364342
NRCT283	140.488159	36.364342
NRCT284	140.488159	36.364342
NRCT285	140.488159	36.364342
NRCT286	140.491241	36.365398
NRCT287	140.490105	36.364214
NRCT288	140.491241	36.365398
NRCT289	141.484619	40.504654
NRCT290	140.49205	36.364086
NRCT291	140.492818	36.365568
NRCT292	140.495972	36.365906
NRCT293	140.495972	36.365906
NRCT294	140.495972	36.365906
NRCT295	140.495972	36.365906
NRCT296	140.495972	36.365906
NRCT297	140.495712	36.367292
NRCT298	140.495712	36.367292
NRCT299	140.500031	36.367659
NRCT300	141.483994	40.505432
NRCT301	140.499329	36.369453
NRCT302	140.498398	36.372733
NRCT303	140.485428	36.363491
NRCT304	140.488159	36.364342
NRCT305	140.488159	36.364342
NRCT306	140.49205	36.364086
NRCT307	140.49205	36.364086
NRCT308	140.49205	36.364086
NRCT309	140.49205	36.364086
NRCT310	140.495972	36.365906
NRCT311	141.485626	40.505806
NRCT312	140.495972	36.365906
NRCT313	140.495972	36.365906
NRCT314	140.495972	36.365906
NRCT315	140.495972	36.365906
NRCT316	140.495712	36.367292
NRCT317	140.495972	36.365906
NRCT318	140.483772	36.363253
NRCT319	140.48143	36.35751
NRCT320	140.48143	36.35751
NRCT321	140.449777	36.385082
NRCT322	141.488083	40.506222
NRCT323	140.447706	36.395161
NRCT324	140.429971	36.394572
NRCT325	140.403488	36.416245
NRCT326	140.443844	36.401968
NRCT327	140.446873	36.402362
NRCT328	140.454407	36.418648
NRCT329	140.458755	36.401543
NRCT330	140.468338	36.400112
NRCT331	140.480453	36.394707
NRCT332	140.439728	36.442627
NRCT333	140.725525	41.794624
NRCT334	141.490112	40.506855
NRCT335	140.430649	36.427162
NRCT336	140.449371	36.426601
NRCT337	140.417725	36.450207
NRCT338	140.396484	36.452126
NRCT339	140.41748	36.427074
NRCT340	140.39418	36.432999
NRCT341	140.352982	36.422039
NRCT342	140.352982	36.422039
NRCT343	140.378616	36.417435
NRCT344	140.36293	36.407734
NRCT345	141.492493	40.505123
NRCT346	140.399359	36.396915
NRCT347	140.381958	36.393642
NRCT348	140.397102	36.39095
NRCT349	140.381714	36.378235
NRCT350	140.392334	36.368732
NRCT351	140.399403	36.392238
NRCT352	140.421402	36.382185
NRCT353	140.411231	36.376643
NRCT354	140.399597	36.344666
NRCT355	140.432049	36.376015
NRCT356	141.492493	40.507751
NRCT357	140.436724	36.367217
NRCT358	140.457855	36.358261
NRCT359	140.457855	36.358261
NRCT360	140.457855	36.358261
NRCT361	140.448471	36.341499
NRCT362	140.423996	36.343536
NRCT363	140.431839	36.327854
NRCT364	140.481548	36.357069
NRCT365	140.475174	36.349419
NRCT366	140.461197	36.341946
NRCT367	141.493423	40.50808
NRCT368	140.459686	36.327759
NRCT369	140.459686	36.327759
NRCT370	140.448792	36.324799
NRCT371	140.492538	36.346767
NRCT372	140.499634	36.32497
NRCT373	140.504211	36.353062
NRCT374	140.496987	36.374048
NRCT375	140.49929	36.364586
NRCT376	140.50621	36.363247
NRCT377	140.516632	36.366615
NRCT378	141.494156	40.50872
NRCT379	140.528091	36.359726
NRCT380	140.519485	36.357624
NRCT381	140.534653	36.357838
NRCT382	140.540131	36.356297
NRCT383	140.261032	36.500298
NRCT384	140.27478	36.469265
NRCT385	140.279251	36.444359
NRCT386	140.249802	36.438992
NRCT387	140.247314	36.460289
NRCT388	140.220505	36.448627
NRCT389	141.498936	40.513465
NRCT390	140.276855	36.35463
NRCT391	140.290131	36.348766
NRCT392	140.317108	36.355804
NRCT393	140.303131	36.358192
NRCT394	140.294464	36.337025
NRCT395	140.272537	36.332623
NRCT396	140.302948	36.32407
NRCT397	140.285919	36.326485
NRCT398	140.296295	36.316891
NRCT399	140.322342	36.375771
NRCT400	141.501785	40.516088
NRCT401	140.297048	36.378469
NRCT402	140.338821	36.325233
NRCT403	140.3517	36.313274
NRCT404	140.351883	36.303234
NRCT405	140.338669	36.304745
NRCT406	140.336792	36.315891
NRCT407	140.319611	36.316151
NRCT408	140.245255	36.305305
NRCT409	140.283112	36.306374
NRCT410	140.294189	36.274803
NRCT411	141.483093	40.506237
NRCT412	140.260818	36.281662
NRCT413	140.284531	36.277908
NRCT414	140.301102	36.30434
NRCT415	140.309189	36.289215
NRCT416	140.309189	36.289215
NRCT417	140.337662	36.281662
NRCT418	140.337662	36.281662
NRCT419	140.17746	36.385632
NRCT420	140.166245	36.390919
NRCT421	140.159256	36.378601
NRCT422	141.485001	40.506828
NRCT423	140.168289	36.373669
NRCT424	140.170685	36.367947
NRCT425	140.152206	36.378624
NRCT426	140.151367	36.3899
NRCT427	140.141052	36.377354
NRCT428	140.140045	36.388649
NRCT429	140.132034	36.386051
NRCT430	140.132095	36.401066
NRCT431	140.120728	36.388706
NRCT432	140.118179	36.379803
NRCT433	141.48703	40.50766
NRCT434	140.106369	36.378677
NRCT435	140.157516	36.351501
NRCT436	140.151779	36.363766
NRCT437	140.148026	36.371822
NRCT438	140.13765	36.367027
NRCT439	140.157104	36.342983
NRCT440	140.134781	36.348526
NRCT441	140.12648	36.3507
NRCT442	140.12648	36.3507
NRCT443	140.138077	36.338261
NRCT444	140.731491	41.798687
NRCT445	141.488953	40.508739
NRCT446	140.144501	36.334312
NRCT447	140.146896	36.32423
NRCT448	140.161469	36.321068
NRCT449	140.173798	36.328995
NRCT450	140.121841	36.351974
NRCT451	140.116302	36.356712
NRCT452	140.122284	36.371525
NRCT453	140.122284	36.371525
NRCT454	140.122284	36.371525
NRCT455	140.122284	36.371525
NRCT456	141.490707	40.509686
NRCT457	140.104233	36.348732
NRCT458	140.094086	36.360126
NRCT459	140.087555	36.366447
NRCT460	140.088821	36.3764
NRCT461	140.095123	36.38797
NRCT462	140.079819	36.389938
NRCT463	140.075256	36.371559
NRCT464	140.060425	36.372116
NRCT465	140.075012	36.356186
NRCT466	140.075012	36.356186
NRCT467	141.492538	40.51067
NRCT468	140.047043	36.368851
NRCT469	140.053864	36.359753
NRCT470	140.062943	36.3554
NRCT471	140.050201	36.349323
NRCT472	140.261719	36.37878
NRCT473	140.261719	36.37878
NRCT474	140.261719	36.37878
NRCT475	140.261719	36.37878
NRCT476	140.261719	36.37878
NRCT477	140.261719	36.37878
NRCT478	141.494339	40.511662
NRCT479	140.261719	36.37878
NRCT480	140.261719	36.37878
NRCT481	140.261719	36.37878
NRCT482	140.261719	36.37878
NRCT483	140.261719	36.37878
NRCT484	140.25386	36.366467
NRCT485	140.282669	36.380657
NRCT486	140.236557	36.386951
NRCT487	140.236557	36.386951
NRCT488	140.236557	36.386951
NRCT489	141.49585	40.513973
NRCT490	140.336472	36.410164
NRCT491	140.308289	36.42865
NRCT492	140.297668	36.410294
NRCT493	140.268768	36.417973
NRCT494	140.275909	36.395546
NRCT495	140.259491	36.42765
NRCT496	140.250565	36.411896
NRCT497	140.259079	36.399166
NRCT498	140.251465	36.397991
NRCT499	140.229156	36.414494
NRCT500	141.497894	40.514582
NRCT501	140.229156	36.414494
NRCT502	140.229156	36.414494
NRCT503	140.207352	36.413235
NRCT504	140.198914	36.393814
NRCT505	140.267303	36.360481
NRCT506	140.256866	36.353516
NRCT507	140.239334	36.354843
NRCT508	140.253098	36.33514
NRCT509	140.234116	36.371025
NRCT510	140.218979	36.339474
NRCT511	141.497292	40.512636
NRCT512	140.221725	36.382915
NRCT513	140.221725	36.382915
NRCT514	140.201553	36.370251
NRCT515	140.201553	36.370251
NRCT516	140.180496	36.342503
NRCT517	140.180496	36.342503
NRCT518	140.180496	36.342503
NRCT519	140.546494	36.251984
NRCT520	140.552338	36.240356
NRCT521	140.552292	36.231911
NRCT522	141.494934	40.510502
NRCT523	140.529694	36.250271
NRCT524	140.531265	36.262123
NRCT525	140.508957	36.251617
NRCT526	140.498703	36.229076
NRCT527	140.521118	36.227417
NRCT528	140.556503	36.22353
NRCT529	140.541672	36.218021
NRCT530	140.549294	36.206234
NRCT531	140.546265	36.19418
NRCT532	140.559799	36.191128
NRCT533	141.492859	40.509747
NRCT534	140.5634	36.187275
NRCT535	140.431931	36.224171
NRCT536	140.452087	36.219585
NRCT537	140.444016	36.206886
NRCT538	140.468651	36.202448
NRCT539	140.471436	36.186996
NRCT540	140.487381	36.154377
NRCT541	140.504272	36.208996
NRCT542	140.520935	36.188854
NRCT543	140.508942	36.185368
NRCT544	141.491409	40.508984
NRCT545	140.498322	36.177372
NRCT546	140.501358	36.166134
NRCT547	140.570129	36.177174
NRCT548	140.520935	36.171879
NRCT549	140.510681	36.154247
NRCT550	140.502655	36.152359
