haplo_group_region	haplo_dist
korea_jomon	D4a/2/D4b/4/M7a/1/N/1
southern_islands_jomon	M7a/6
kyushu_jomon	M7a/21/M80/1/N9a/1/N9b/4
chugoku_jomon	M7a/1
shikoku_jomon	M7a/1/N9b/1
kinki_jomon	N9b/1
chubu_jomon	A/1/A4/1/D4b/1/G2/1/M7/1/M7a/3/M9a/3/N9b/7
kanto_jomon	B4f/1/B5b/1/D4b/1/E1a/1/M7a/7/N/1/N9b/24
tohoku_jomon	D4b/1/D4h/1/M7a/13/N9b/13
hokkaido_jomon	D4h/6/M7a/3/N9b/19
toraijin	B4a/2/B4c/8/B5a/1/B5b/2/D4/5/D4a/5/D4b/19/D4c/8/D4e/3/D4g/8/D4h/3/D4i/2/D4m/1/D5a/2/M7a/41/M9a/3/N9a/6
