id	name	ja-JP	region	min_pop_placed_per_cell	max_pop_placed_per_cell	init_pop	immigrant	increased_immigration	mtdna_region	pop_ad725	directions	direction_min_distance
61	omi	近江	7	4	20	150	0	0	kinki_jomon	102100	1/1/1/1/1/1/1/1	160
62	mino	美濃	9	4	20	1360	0	0	chubu_jomon	143900	1/1/1/1/1/1/1/1	160
63	hida	飛騨	10	4	20	1360	0	0	chubu_jomon	14300	1/1/1/1/1/1/1/1	160
64	shinano	信濃	10	4	20	2910	0	0	chubu_jomon	73600	1/1/1/1/1/1/1/1	160
65	kozuke	上野	13	4	20	710	0	0	kanto_jomon	112000	1/1/1/1/1/1/1/1	160
66	shimotsuke	下野	13	4	20	1760	0	0	kanto_jomon	76900	1/1/1/1/1/1/1/1	160
67	mutsu	陸奥	15	4	20	27750	0	0	tohoku_jomon	206500	1/1/1/1/1/1/1/1	160
68	dewa	出羽	14	4	20	12190	0	0	tohoku_jomon	78000	1/1/1/1/1/1/1/1	160
69	ezo_honshu	蝦夷(本州)	15	4	20	0	0	0	tohoku_jomon	0	1/1/1/1/1/1/1/1	160
70	ezo_hokkaido	蝦夷(北海道)	16	4	20	0	0	0	hokkaido_jomon	0	1/1/1/1/1/1/1/1	160
71	ezo_chishima	蝦夷(千島列島)	16	4	20	0	0	0	hokkaido_jomon	0	1/1/1/1/1/1/1/1	160
72	ezo_karafuto	蝦夷(樺太)	16	4	20	0	0	0	hokkaido_jomon	0	1/1/1/1/1/1/1/1	160
73	toraijin_land	渡来人	0	0	0	0	0	0	toraijin	0	1/1/1/1/1/1/1/1	160
74	donan	道南	16	4	20	0	0	0	hokkaido_jomon	2960	1/1/1/1/1/1/1/1	160
75	dochu	道中	16	4	20	0	0	0	hokkaido_jomon	10240	1/1/1/1/1/1/1/1	160
76	dohoku	道北	16	4	20	0	0	0	hokkaido_jomon	8410	1/1/1/1/1/1/1/1	160
77	doto	道東	16	4	20	0	0	0	hokkaido_jomon	13620	1/1/1/1/1/1/1/1	160
78	kunashir	国後島	16	4	20	0	0	0	hokkaido_jomon	670	1/1/1/1/1/1/1/1	160
79	iturup	択捉島	16	4	20	0	0	0	hokkaido_jomon	1430	1/1/1/1/1/1/1/1	160
80	habomai	歯舞群島	16	4	20	0	0	0	hokkaido_jomon	40	1/1/1/1/1/1/1/1	160
81	shikotan	色丹島	16	4	20	0	0	0	hokkaido_jomon	110	1/1/1/1/1/1/1/1	160
82	tokara	吐噶喇列島	1	4	20	0	0	0	southern_islands_jomon	40	1/1/1/1/1/1/1/1	160
83	sakishima	先島諸島	1	4	20	0	0	0	southern_islands_jomon	340	1/1/1/1/1/1/1/1	160
84	daito	大東諸島	1	4	20	0	0	0	southern_islands_jomon	20	1/1/1/1/1/1/1/1	160
85	okinawa	沖縄諸島	1	4	20	0	0	0	southern_islands_jomon	760	1/1/1/1/1/1/1/1	160
86	amami	奄美群島	1	4	20	0	0	0	southern_islands_jomon	500	1/1/1/1/1/1/1/1	160
87	osumi	大隅諸島	1	4	20	0	0	0	southern_islands_jomon	410	1/1/1/1/1/1/1/1	160
88	ogasawara	小笠原諸島	1	4	20	0	0	0	kanto_jomon	40	1/1/1/1/1/1/1/1	160
89	izu1	伊豆諸島	1	4	20	0	0	0	kanto_jomon	120	1/1/1/1/1/1/1/1	160
90	ryukyu	琉球諸島	1	4	20	0	0	0	southern_islands_jomon	0	1/1/1/1/1/1/1/1	160
