id	name	ja-JP	region	min_pop_placed_per_cell	max_pop_placed_per_cell	init_pop	immigrant	increased_immigration	mtdna_region	ydna_region	language_region	pop_ad725	directions	direction_min_distance	language	hunter_gatherer	farming	snp	agricultural_capable	current_costs	pottery_lineage_initial
31	sanuki	讃岐	4	4	20	50	0	0	shikoku_jomon	jomon	sanuki	98800	10/10/2/4/4/4/2/10	160	0	255	0	0	1	0.8/0.9/1.2/1.2/1.4/1.2/1.2/0.9	C
32	awaji	淡路	7	4	20	70	0	0	kinki_jomon	jomon	awaji	18700	4/2/2/2/1/2/10/10	160	0	255	0	0	1	0.8/0.9/1.2/1.2/1.4/1.2/1.2/0.9	C
33	kii	紀伊	7	4	20	440	0	0	kinki_jomon	jomon	kii	61500	2/2/2/10/4/4/2/2	160	0	255	0	0	1	0.6/1.2/7/4/5/1.2/0.6/0.25	C
34	yamato	大和	8	4	20	610	0	0	kinki_jomon	jomon	yamato	171700	2/2/1/1/1/1/1/2	160	0	255	0	0	1	1/1/1/1/1/1/1/1	C
35	kawachi	河内	8	4	20	60	0	0	kinki_jomon	jomon	kawachi	87900	1/1/1/1/1/1/2/1	160	0	255	0	0	1	0.8/0.9/1.2/1.2/1.4/1.2/1.2/0.9	C
36	yamashiro	山城	8	4	20	60	0	0	kinki_jomon	jomon	yamashiro	85700	1/1/1/1/2/2/2/1	160	0	255	0	0	1	1/1/1/1/1/1/1/1	C
37	izumi	和泉	8	4	20	60	0	0	kinki_jomon	jomon	izumi	26400	2/1/1/1/1/1/2/2	160	0	255	0	0	1	0.8/0.9/1.2/1.2/1.4/1.2/1.2/0.9	C
38	settsu	摂津	8	4	20	60	0	0	kinki_jomon	jomon	settsu	85700	1/2/1/1/2/4/10/4	160	0	255	0	0	1	0.8/0.9/1.2/1.2/1.4/1.2/1.2/0.9	C
39	wakasa	若狭	11	4	20	40	0	0	chubu_jomon	jomon	wakasa	23100	2/1/2/1/1/2/4/10	160	0	255	0	0	1	0.6/1.2/3.5/4/5/1.2/0.6/0.35	A
40	echizen	越前	11	4	20	40	0	0	chubu_jomon	jomon	echizen	60400	10/2/1/2/1/1/2/10	160	0	255	0	0	1	0.6/1.2/3.5/4/5/1.2/0.6/0.35	A
41	kaga	加賀	11	4	20	270	0	0	chubu_jomon	jomon	kaga	32900	10/2/1/1/1/1/2/10	160	0	255	0	0	1	0.6/1.2/3.5/4/5/1.2/0.6/0.35	A
42	etchu	越中	11	4	20	860	0	0	chubu_jomon	jomon	etchu	46100	2/4/2/2/2/1/4/10	160	0	255	0	0	1	0.6/1.2/3.5/4/5/1.2/0.6/0.35	A
43	noto	能登	11	4	20	270	0	0	chubu_jomon	jomon	noto	28600	1/1/1/1/4/4/10/4	160	0	255	0	0	1	0.6/1.2/3.5/4/5/1.2/0.6/0.35	A
44	echigo	越後	11	4	20	0	0	0	chubu_jomon	jomon	echigo	37300	4/2/2/4/4/4/1/4	160	0	255	0	0	1	0.6/1.2/3.5/4/5/1.2/0.6/0.35	A
45	sado	佐渡	11	4	20	0	0	0	chubu_jomon	jomon	sado	24200	1/1/1/4/4/4/4/4	160	0	255	0	0	1	0.6/1.2/3.5/4/5/1.2/0.6/0.35	A
46	shima	志摩	7	4	20	150	0	0	kinki_jomon	jomon	shima	154000	4/2/2/2/1/1/1/4	160	0	255	0	0	1	0.6/1.2/7/4/5/1.2/0.6/0.25	BC
47	ise	伊勢	7	4	20	150	0	0	kinki_jomon	jomon	ise	103200	2/2/2/2/1/1/4/10	160	0	255	0	0	1	0.6/1.2/7/4/5/1.2/0.6/0.25	BC
48	iga	伊賀	7	4	20	150	0	0	kinki_jomon	jomon	iga	19800	1/1/1/1/1/1/1/4	160	0	255	0	0	1	1/1/1/1/1/1/1/1	BC
49	owari	尾張	9	4	20	2510	0	0	chubu_jomon	jomon	owari	75800	2/2/1/2/1/4/10/2	160	0	255	0	0	1	0.6/1.2/7/4/5/1.2/0.6/0.25	B
50	mikawa	参河	9	4	20	2510	0	0	chubu_jomon	jomon	mikawa	75800	2/2/2/1/1/4/10/4	160	0	255	0	0	1	0.6/1.2/7/4/5/1.2/0.6/0.25	B
51	totomi	遠江	9	4	20	0	0	0	chubu_jomon	jomon	totomi	105400	1/4/2/1/1/2/4/10	160	0	255	0	0	1	0.6/1.2/7/4/5/1.2/0.6/0.25	B
52	suruga	駿河	9	4	20	0	0	0	chubu_jomon	jomon	suruga	64800	4/1/1/4/2/4/4/10	160	0	255	0	0	1	0.6/1.2/5/4/5/1.2/0.6/0.25	B
53	izu	伊豆	9	4	20	0	0	0	chubu_jomon	jomon	izu	23100	4/2/2/1/1/1/1/10	160	0	255	0	0	1	0.6/1.2/5/4/5/1.2/0.6/0.25	B
54	kai	甲斐	10	4	20	0	0	0	chubu_jomon	jomon	kai	34000	2/4/2/2/2/2/2/2	160	0	255	0	0	1	1/1/1/1/1/1/1/1	AB
55	sagami	相模	12	4	20	0	0	0	kanto_jomon	jomon	sagami	73600	4/4/2/2/1/2/4/10	160	0	255	0	0	1	0.6/1.2/5/4/5/1.2/0.6/0.25	B
56	musashi	武蔵	12	4	20	0	0	0	kanto_jomon	jomon	musashi	130700	4/10/2/2/2/4/4/4	160	0	255	0	0	1	0.6/1.2/5/4/5/1.2/0.6/0.25	B
57	shimosa	下総	12	4	20	0	0	0	kanto_jomon	jomon	shimosa	99900	4/4/4/2/2/1/1/2	160	0	255	0	0	1	0.35/0.6/5/4/5/1.2/0.6/0.35	B
58	kazusa	上総	12	4	20	0	0	0	kanto_jomon	jomon	kazusa	83500	2/4/4/2/2/1/1/1	160	0	255	0	0	1	0.35/0.6/5/4/5/1.2/0.6/0.35	B
59	awa1	安房	12	4	20	0	0	0	kanto_jomon	jomon	awa1	35100	4/10/2/1/1/1/1/2	160	0	255	0	0	1	0.25/0.6/5/4/5/1.2/0.6/0.35	B
