mtdna
N9b
A
A4
B4f
E1a
G2
M80
N
M7
M9a
B5b
D4h
N9a
D4b
M7a
D4
B5a
B4c
B4a
D5a
D4m
D4i
D4g
D4e
D4c
D4a
