en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Valerio of Bierzo	-6.063333	42.458889	-6.063333	42.458889	1951528	1960657
Valerio of Bierzo	-6.063333	42.458889	-6.465556	42.475833	1960657	1960659
Valerio of Bierzo	-6.465556	42.475833	-6.465556	42.475833	1960659	1960748
Valerio of Bierzo	-6.465556	42.475833	-6.063333	42.458889	1960748	1960750
Valerio of Bierzo	-6.063333	42.458889	-6.063333	42.458889	1960750	1966135
Valerio of Bierzo	-6.063333	42.458889	-6.570725	42.446292	1966135	1966137
Valerio of Bierzo	-6.570725	42.446292	-6.570725	42.446292	1966137	1975268
Valerio of Bierzo	-6.570725	42.446292	-6.570725	42.446292	1975268	1975269
Valerio of Bierzo	-6.570725	42.446292	-6.570725	42.446292	1975269	1975299
