ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
小野妹子	Ono no Imoko	135.820178	34.47865	135.820178	34.47865	1930749	1942976
小野妹子	Ono no Imoko	135.820178	34.47865	135.493778	34.612389	1942976	1942977
小野妹子	Ono no Imoko	135.493778	34.612389	135.045282	34.623315	1942977	1942979
小野妹子	Ono no Imoko	135.045282	34.623315	134.665682	34.763012	1942979	1942980
小野妹子	Ono no Imoko	134.665682	34.763012	133.888478	34.42577	1942980	1942982
小野妹子	Ono no Imoko	133.888478	34.42577	133.01633	34.101623	1942982	1942985
小野妹子	Ono no Imoko	133.01633	34.101623	131.99233	33.760457	1942985	1942988
小野妹子	Ono no Imoko	131.99233	33.760457	130.906071	33.905815	1942988	1942991
小野妹子	Ono no Imoko	130.906071	33.905815	130.28363	33.683849	1942991	1942993
小野妹子	Ono no Imoko	130.28363	33.683849	129.71681	33.862418	1942993	1942995
小野妹子	Ono no Imoko	129.71681	33.862418	129.332687	34.30003	1942995	1942997
小野妹子	Ono no Imoko	129.332687	34.30003	128.611793	34.700559	1942997	1942999
小野妹子	Ono no Imoko	128.611793	34.700559	125.930963	34.0786	1942999	1943006
小野妹子	Ono no Imoko	125.930963	34.0786	126.171272	37.6786	1943006	1943015
小野妹子	Ono no Imoko	126.171272	37.6786	120.790971	37.85103	1943015	1943028
小野妹子	Ono no Imoko	120.790971	37.85103	108.930082	34.172956	1943028	1943057
小野妹子	Ono no Imoko	108.930082	34.172956	108.930082	34.172956	1943057	1943067
小野妹子	Ono no Imoko	108.930082	34.172956	120.790971	37.85103	1943067	1943096
小野妹子	Ono no Imoko	120.790971	37.85103	126.171272	37.6786	1943096	1943109
小野妹子	Ono no Imoko	126.171272	37.6786	125.930963	34.0786	1943109	1943118
小野妹子	Ono no Imoko	125.930963	34.0786	128.611793	34.700559	1943118	1943125
小野妹子	Ono no Imoko	128.611793	34.700559	129.332687	34.30003	1943125	1943127
小野妹子	Ono no Imoko	129.332687	34.30003	130.28363	33.683849	1943127	1943130
小野妹子	Ono no Imoko	130.28363	33.683849	130.906071	33.905815	1943130	1943132
小野妹子	Ono no Imoko	130.906071	33.905815	131.99233	33.760457	1943132	1943135
小野妹子	Ono no Imoko	131.99233	33.760457	133.01633	34.101623	1943135	1943138
小野妹子	Ono no Imoko	133.01633	34.101623	133.888478	34.42577	1943138	1943141
小野妹子	Ono no Imoko	133.888478	34.42577	134.665682	34.763012	1943141	1943143
小野妹子	Ono no Imoko	134.665682	34.763012	135.045282	34.623315	1943143	1943144
小野妹子	Ono no Imoko	135.045282	34.623315	135.493778	34.612389	1943144	1943146
小野妹子	Ono no Imoko	135.493778	34.612389	135.820178	34.47865	1943146	1943147
小野妹子	Ono no Imoko	135.820178	34.47865	135.820178	34.47865	1943147	1948341
