ja-JP	latitude	longitude	first_julian_day	last_julian_day	texture	overall_length
伊豆石	34.750657	138.766744	0	99999999	BlueRipples	200
竜山石	34.780833	134.794722	0	99999999	BrownRipples	200
笏谷石	36.051389	136.200556	0	99999999	LightBlueRipples	200
阿蘇石	32.69093447	130.5908057	0	99999999	RedRipples	200
荒島石	35.43043391	133.1994506	0	99999999	RedPurpleRipples	200
来待石	35.41371731	132.9477559	0	99999999	YellowRipples	200
二上山	34.5268454	135.6771214	0	99999999	YellowGreenRipples	200
