ja-JP	latitude	longitude	first_julian_day	last_julian_day	texture	overall_length
金鳥山遺跡	34.739361	135.277306	1684901	1794473	BlueCircle	20
伯母野山遺跡	34.72922	135.229175	1684901	1794473	BlueCircle	20
伯母野山勝岡山	34.726345	135.229899	1684901	1794473	BlueCircle	20
伯母野山牛小屋山	34.725895	135.227598	1684901	1794473	BlueCircle	20
頭高山(ずこうざん)	34.685889	135.050389	1684901	1794473	BlueCircle	20
桑野遺跡	33.57258	131.166072	1648012	1721060	BlueCircle	20
井上山遺跡	34.050472	131.561444	1648012	1721060	BlueCircle	20
西神ニュータウン内	34.7026	135.001019	1684901	1794473	BlueCircle	20
奈カリ与遺跡	34.901278	135.195944	1684901	1794473	BlueCircle	20
金鑵城(かなつるべ	34.878868	134.906758	1684901	1794473	BlueCircle	20
男鹿島大山神社	34.667911	134.572574	1684901	1794473	BlueCircle	20
久木ノ城遺跡	32.959722	132.859722	1648012	1721060	BlueCircle	20
舟木遺跡	34.543061	134.953553	1684901	1794473	BlueCircle	20
積善山遺跡	34.256684	133.148074	1648012	1721060	BlueCircle	20
大三島鷲ケ頭山	34.239772	133.016828	1648012	1721060	BlueCircle	20
開山遺跡	34.22872	133.065194	1648012	1721060	BlueCircle	20
安神山遺跡	34.241865	133.008009	1648012	1794109	BlueCircle	20
宝股山遺跡	34.197898	133.083004	1648012	1794109	BlueCircle	20
八幡山遺跡	34.140427	133.047521	1648012	1794109	BlueCircle	20
紫雲出山	34.243666	133.595767	1684901	1794473	BlueCircle	20
北原遺跡	34.211611	133.764028	1684901	1794473	BlueCircle	20
心経山遺跡	34.376059	133.708713	1684901	1794473	BlueCircle	20
壇山遺跡	34.481652	134.077969	1684901	1794473	BlueCircle	20
女木島鷲が峰	34.396983	134.050684	1684901	1794473	BlueCircle	20
石清尾山集落	34.338205	134.022737	1684901	1794473	BlueCircle	20
北山遺跡	34.319692	134.261341	1684901	1794473	BlueCircle	20
津田遺跡			1684901	1794473	BlueCircle	20
烏帽子山遺跡	34.3124	133.921	1684901	1794473	BlueCircle	20
城山遺跡	34.013284	133.567621	1684901	1794473	BlueCircle	20
瓢箪山遺跡	34.00601	133.570479	1684901	1794473	BlueCircle	20
丸山遺跡	33.969346	133.549193	1684901	1794473	BlueCircle	20
半田山遺跡	33.912932	133.237955	1684901	1794473	BlueCircle	20
池ノ内遺跡	33.920287	133.229077	1684901	1794473	BlueCircle	20
蛇越池遺跡	33.9802	133.054433	1696589	1721060	BlueCircle	20
高峠城跡	33.888769	133.17551	1684901	1794473	BlueCircle	20
大谷山遺跡	33.884975	133.160377	1684901	1794473	BlueCircle	20
尾土居遺跡	33.88595	133.128891	1684901	1794473	BlueCircle	20
明穂遺跡	33.859618	133.053317	1684901	1794473	BlueCircle	20
女夫池遺跡	33.991036	132.804569	1696589	1721060	BlueCircle	20
椋ノ原山遺跡	33.960569	132.798364	1684901	1794473	BlueCircle	20
柳ケ内遺跡	33.990253	132.803754	1696589	1721060	BlueCircle	20
湊中野遺跡	33.511916	129.93084	1648012	1830633	BlueCircle	20
八倉山遺跡	33.778768	132.772168	1684901	1794473	BlueCircle	20
田ノ浦遺跡	33.772352	132.766085	1684901	1794473	BlueCircle	20
名護池Ⅱ遺跡	33.769444	132.751667	1684901	1794473	BlueCircle	20
長尾遺跡	33.766944	132.748333	1684901	1794473	BlueCircle	20
大人塚古墳	33.766101	132.747108	1684901	1794473	BlueCircle	20
行道山遺跡	33.76282	132.758478	1684901	1794473	BlueCircle	20
古津賀遺跡	32.980444	132.954032	1713755	1721060	BlueCircle	20
愛宕山遺跡	33.462254	132.429599	1684901	1794473	BlueCircle	20
入寺Ⅰ遺跡	33.469254	132.4508945	1684901	1794473	BlueCircle	20
入寺Ⅱ遺跡	33.469254	132.4508945	1684901	1794473	BlueCircle	20
竜王城跡	33.544431	132.65676	1684901	1794473	BlueCircle	20
都谷遺跡	33.54025	132.576742	1684901	1794473	BlueCircle	20
拝鷹山貝塚	33.228583	132.574736	1684901	1794473	BlueCircle	20
浄安寺遺跡	34.417248	132.372422	1721060	1794109	BlueCircle	20
東山遺跡	34.508475	135.636145	1684901	1794473	BlueCircle	20
吹越山遺跡	32.996167	132.925806	1684901	1794473	BlueCircle	20
久山遺跡	32.993973	132.928095	1684901	1794473	BlueCircle	20
岩崎山遺跡	32.989196	132.932128	1684901	1794473	BlueCircle	20
塩壷西遺跡	34.579639	135.018056	1684901	1794473	BlueCircle	20
鷹ノ巣遺跡 **	33.746056	133.234806	1684901	1794473	BlueCircle	20
鎌田遺跡	33.544489	133.418044	1684901	1794473	BlueCircle	20
貢山城跡	33.539338	133.420705	1684901	1794473	BlueCircle	20
城ヶ谷山遺跡	33.539561	133.422706	1684901	1794473	BlueCircle	20
バーガ森北斜面	33.543531	133.438759	1776212	1794109	BlueCircle	20
用石甫木山遺跡	33.52964	133.43387	1684901	1794473	BlueCircle	20
朝倉城山遺跡	33.545884	133.475765	1684901	1794473	BlueCircle	20
奥谷南遺跡	33.601036	133.609695	1684901	1794473	BlueCircle	20
狭間遺跡	33.601028	133.624028	1684901	1794473	BlueCircle	20
笹ヶ峰遺跡	33.582417	133.720806	1684901	1794473	BlueCircle	20
鬼ヶ岩屋洞窟	33.586778	133.719824	1684901	1794473	BlueCircle	20
本村遺跡	33.5878	133.7324	1684901	1794473	BlueCircle	20
龍河洞洞窟	33.6006	133.745399	1684901	1794473	BlueCircle	20
