ja-JP	latitude	longitude	first_julian_day	last_julian_day	overall_length	texture
鹿島台	35.30711502	139.932304	1651664	1794109	20	Kango1
萱野	34.99345236	139.8718816	1702798	1794109	20	Kango1
屋代Ｂ	35.91742791	140.2124491	1702798	1735670	20	Kango1
吉野ヶ里	33.35216601	130.3994121	1611487	1794109	353.5	Kango4
南鶴	32.82177473	131.0650449	1702798	1794109	250	Kango4
唐古・鍵	34.56905914	135.799176	1633402	1794109	250	Kango2
原の辻	33.76056027	129.7516427	1611487	1816023	237	Kango4
二本木	32.96954941	131.5623291	1702798	1794109	200	Kango2
池上・曽根	34.50262765	135.4274273	1633402	1794109	200	Kango2
二ノ畔・横枕	35.06773191	135.9915631	1702798	1794109	200	Kango2
服部	35.10419165	135.9965623	1684536	1794109	200	Kango2
下鉤	35.02810205	135.9834935	1702798	1794109	200	Kango2
伊場遺跡群（梶子・梶子北・中村）	34.69510827	137.7120487	1684536	1794109	200	Kango2
阿弥陀寺	35.20461032	136.820438	1684536	1794109	192.5	Kango2
多	34.53334224	135.788833	1611487	1702798	175	Kango2
観音寺山	34.47135567	135.4458455	1702798	1794109	167.5	Kango4
朝日	35.21845964	136.8513357	1651664	1816023	162	Kango2
西方A	35.36347072	139.3993244	1695493	1702798	161	Kango4
綾羅木郷	34.01242281	130.9246669	1611487	1702798	160	Kango2
方保田東原	32.99724566	130.7173632	1702798	1794109	157.5	Kango1
二子塚	32.75331688	130.777812	1702798	1794109	150	Kango2
熊内	34.70744592	135.2006379	1702798	1794109	150	Kango2
加茂	34.81387368	135.4083934	1669926	1794109	150	Kango2
坪井・大福	34.51842398	135.8263776	1611487	1794109	150	Kango2
村竹コノ	34.57446545	136.5216083	1702798	1794109	150	Kango2
折本西原	35.52537499	139.5908462	1651664	1702798	150	Kango2
北袋新掘	35.89339944	139.6414077	1702798	1794109	150	Kango1
鴨都波	34.46016074	135.7324841	1633402	1794109	148	Kango2
古曽部・芝谷	34.86947275	135.6081177	1702798	1794109	141.5	Kango4
板付	33.56560016	130.4528967	1593225	1651664	134.5	Kango2
下之郷	35.06671045	135.9877825	1684536	1735670	128.5	Kango2
平等坊・岩室	34.59705306	135.8129749	1611487	1794109	125	Kango2
伊勢	35.04208492	135.985439	1702798	1794109	125	Kango2
有田遺跡群	33.57091526	130.4356715	1501915	1611487	122.5	Kango2
北通	35.83255291	139.552143	1702798	1794109	122.5	Kango2
京免	35.061124	134.004769	1702798	1794109	120	Kango2
今宿五郎江	33.57569895	130.2736005	1702798	1794109	116	Kango2
見晴台	35.09936336	136.940286	1702798	1794109	115	Kango2
八反畑	32.90598812	130.7663434	1702798	1794109	100	Kango2
カネガ谷	34.15967004	134.5163601	1702798	1794109	100	Kango4
東大寺山	34.62166424	135.8378266	1702798	1794109	100	Kango4
太田・黒田	34.23317063	135.1929996	1633402	1684536	100	Kango2
猫島	35.28118622	136.8537084	1651664	1702798	100	Kango2
吹上	35.791024	139.6332018	1702798	1794109	100	Kango2
花ノ木	35.79193137	139.6185135	1677231	1794109	100	Kango2
飛鳥山	35.75097597	139.7386666	1695493	1702798	98.5	Kango2
道庭	35.58129189	140.3843223	1651664	1794109	96	Kango2
蒲生上原	33.02299396	130.7284904	1702798	1794109	95	Kango2
権田原	35.54906613	139.6013126	1651664	1702798	95	Kango3
山の神	34.79423756	137.7502738	1702798	1794109	92	Kango2
鳳凰台			1757219	1721060	91.5	Kango2
朝光寺原	35.54855647	139.5438877	1695493	1702798	86	Kango2
西弥護免	32.8894723	130.8746051	1702798	1794109	85.5	Kango2
惣座	33.32121478	130.2726864	1702798	1794109	85	Kango3
根田代	35.50398368	140.1051401	1651664	1702798	83	Kango2
雀居	33.58094933	130.4474712	1702798	1794109	80.5	Kango2
大塚	35.55508391	139.5808973	1695493	1710103	80.5	Kango2
道倉	33.30639046	130.5190104	1702798	1808718	80	Kango2
白岩	33.27614151	131.1533846	1757584	1808718	80	Kango4
安満	34.85580739	135.6308746	1633402	1651664	80	Kango2
太田	35.02387411	135.5447892	1633402	1684536	80	Kango2
午王山	35.7961648	139.6263627	1677231	1794109	78	Kango2
小楠	33.19860724	130.0260329	1611487	1633402	77	Kango2
平塚川添	33.39585611	130.6501692	1702798	1794109	76	Kango2
三国の鼻	33.43789112	130.5662262	1702798	1794109	76	Kango2
赤羽台	35.77841033	139.715009	1702798	1794109	76	Kango2
台	35.49748748	140.1105614	1651664	1702798	76	Kango2
那珂遺跡群	33.57091526	130.4356715	1501915	1611487	75	Kango2
三輪教田	33.34830107	130.9411257	1702798	1794109	75	Kango2
佐寺原	33.33147037	130.9519081	1702798	1808718	75	Kango3
祝谷畑中	33.86084344	132.7769223	1644359	1658969	75	Kango2
須代	35.5154636	135.1103952	1702798	1794109	75	Kango2
永井	34.98096463	136.5927749	1633402	1651664	75	Kango2
梅坪	35.10242514	137.1593803	1702798	1808718	75	Kango2
篠ノ井	36.57844124	138.1376232	1702798	1794109	75	Kango2
網崎山	35.53904768	139.6350477	1651664	1794109	75	Kango2
臼久保A	35.34654433	139.4086047	1702798	1794109	75	Kango3
草刈	35.5303424	140.1648052	1651664	1702798	75	Kango2
潤井戸西山	35.51698697	140.1720675	1651664	1702798	74.5	Kango2
国府台	35.74941824	139.9023652	1651664	1702798	74	Kango2
西原	36.42803943	139.0374571	1794109	1816023	72.5	Kango2
大崎台	35.70604378	140.2217448	1651664	1702798	72.5	Kango2
針江北・川北	35.36578845	136.0466341	1702798	1794109	71.5	Kango2
南総中	35.39597161	140.15421	1695493	1710103	70.5	Kango2
海老名本郷	35.40815927	139.3967306	1702798	1794109	69.5	Kango2
砂田台	35.37165012	139.267937	1651664	1702798	69.5	Kango2
伊場	34.70047632	137.7042959	1702798	1794109	67	Kango2
宮ヶ久保	34.41119749	131.7257823	1684536	1702798	65	Kango2
大谷	35.00018564	136.6134828	1626097	1648012	65	Kango2
釜蓋	38.22041172	139.5772106	1702798	1816023	65	Kango2
清里・庚申塚	36.4186012	139.0132199	1677231	1702798	62.5	Kango2
田原窪	35.70181158	140.0970018	1651664	1702798	62.5	Kango2
小迫辻原	33.33936513	130.9239006	1702798	1808718	61	Kango4
四条シナノ	34.5023014	135.7896626	1611487	1684536	61	Kango2
カラカミ	33.7916385	129.6967429	1677231	1794109	60.5	Kango1
東奈良	34.80364471	135.5685577	1633402	1651664	60	Kango2
高崎城三ノ丸	36.324274	139.0042855	1702798	1794109	60	Kango1
日高	36.36131311	139.0340124	1702798	1794109	60	Kango2
古津八幡山	37.76309972	139.1122262	1702798	1794109	57	Kango4
大原	35.45359119	139.5819522	1702798	1794109	57	Kango2
扇谷	35.62318377	135.0692595	1633402	1684536	56	Kango4
野方中原	33.55191453	130.3112371	1702798	1794109	55	Kango2
田井中	34.60163712	135.6041938	1611487	1794109	55	Kango2
堅田	33.88027548	135.163693	1611487	1794109	55	Kango2
雲宮	34.92296188	135.7093866	1611487	1794109	55	Kango2
山王	35.58919499	139.723657	1702798	1794109	54	Kango2
今津岸の上	35.46547968	133.4307191	1640707	1651664	51	Kango2
岡浦	33.26809775	130.3009173	1702798	1794109	50	Kango2
吉永	34.13186993	130.920235	1633402	1651664	50	Kango2
突抜	34.15193301	131.4803269	1651664	1702798	50	Kango2
後中尾	35.44272398	133.7960375	1651664	1702798	50	Kango2
岩崎	33.84535709	132.7850361	1633402	1702798	50	Kango2
上久世	34.96552513	135.7150312	1702798	1794109	50	Kango2
日吉ヶ丘	35.50857167	135.1050547	1684536	1735670	50	Kango2
途中ヶ丘	35.60702365	135.0591947	1611487	1794109	50	Kango1
三王山	35.09115406	136.9506309	1702798	1816023	50	Kango2
中村B	35.82842598	137.9606231	1702798	1794109	50	Kango2
千年伊勢山台	35.57898015	139.6236955	1757584	1808718	50	Kango2
中里前原	35.87503739	139.6375829	1702798	1794109	50	Kango2
大厩	35.52787437	140.1536298	1651664	1702798	50	Kango2
大碇	33.33668257	130.7799679	1633402	1658969	49	Kango2
松河戸	35.22135562	136.9660723	1626097	1648012	49	Kango2
日影平	36.62300471	139.1852471	1757584	1808718	48.5	Kango2
町田小沢Ⅱ	36.66197036	139.0476272	1794109	1808718	48	Kango1
亀山	34.56908533	133.3652	1633402	1675405	47.5	Kango2
四葉地区	35.78050666	139.6517085	1702798	1794109	47.5	Kango2
大城	34.76715958	136.4696565	1702798	1816023	45	Kango4
四枚畑	35.45359119	139.5819522	1702798	1757584	45	Kango3
矢留堂ノ前	33.69624119	130.9665591	1611487	1651664	44.5	Kango2
尾高浅山	35.41716948	133.4118543	1702798	1794109	44	Kango2
百間川沢田	34.66945554	133.9644884	1633402	1651664	43.5	Kango2
三沢北中尾	33.42943674	130.5599725	1626097	1651664	42.5	Kango2
裏山	37.15282582	138.2021675	1702798	1794109	42.5	Kango4
千塔山	33.42965372	130.4959047	1651664	1794109	42	Kango3
神埼	35.43754073	139.4295943	1702798	1794109	41	Kango2
堀町	34.58372636	136.5304163	1702798	1794109	40.5	Kango2
下郷	31.9441543	131.4164968	1695493	1794109	40	Kango2
高田	31.73356893	131.0669521	1651664	1684536	40	Kango2
宮原	34.03502789	131.8545422	1633402	1651664	40	Kango2
大宮	34.5571865	133.3861614	1633402	1675405	40	Kango2
古八幡付近	35.00561471	132.2381436	1651664	1794109	40	Kango2
松東	34.72945548	137.7137448	1702798	1794109	40	Kango2
伊佐島	35.86837716	139.5491079	1702798	1794109	40	Kango2
辻垣畠田・長通	33.7046526	131.0004154	1611487	1808718	39.5	Kango4
西念・南新保	36.59706642	136.6353153	1702798	1794109	39.5	Kango2
そとごう	35.45359119	139.5819522	1702798	1794109	39.5	Kango3
下山	35.62296334	139.623774	1702798	1794109	39.5	Kango2
馬場北	35.88837116	139.6850859	1702798	1794109	39.5	Kango2
岡山	34.07440077	131.7893222	1677231	1735670	38.5	Kango2
殿屋敷C区	35.41322039	139.5616678	1702798	1794109	38.5	Kango2
大保横枕	33.41006056	130.5653254	1633402	1651664	38	Kango2
池内	34.58988517	135.5343078	1626097	1640707	37.5	Kango2
彼坪	33.36882218	130.5869889	1633402	1651664	36.5	Kango2
原口	35.34149346	139.2814283	1702798	1794109	36	Kango2
有田遺跡群	33.57091526	130.4356715	1611487	1633402	35	Kango2
大井三倉	33.80289915	130.5291727	1626097	1640707	35	Kango2
松木	32.96954941	131.5623291	1702798	1794109	35	Kango3
今川	33.77445381	130.4739854	1611487	1651664	34.5	Kango2
榎木	33.24888681	130.3102465	1648012	1816023	34.5	Kango2
鬼無藤井	34.32949914	133.9978207	1633402	1651664	34.5	Kango2
中里前原北	35.87503739	139.6375829	1702798	1794109	34.5	Kango2
野々井	34.4957719	135.4778426	1794109	1808718	33.5	Kango2
下郡	33.22035195	131.6442669	1702798	1794109	32.5	Kango2
妻木晩田	35.4635651	133.4547385	1702798	1728365	32.5	Kango2
横隈山	33.43360822	130.5649289	1633402	1651664	32	Kango2
杉谷チャノバタケ	36.95592165	136.8492202	1702798	1794109	31.5	Kango2
津古内畑	33.44227913	130.5604415	1633402	1651664	30	Kango2
上岩田	33.39911548	130.578931	1611487	1651664	30	Kango2
下東	34.16230677	131.4414411	1644359	1658969	30	Kango2
東山	34.50159472	135.6414115	1702798	1794109	30	Kango2
宮塚	35.42359347	136.8521533	1651664	1702798	30	Kango2
中村	36.48109902	139.0148144	1651664	1702798	30	Kango2
北宿	35.87862308	139.6581414	1702798	1794109	30	Kango2
那珂遺跡群	33.57091526	130.4356715	1640707	1658969	29.5	Kango2
木曽良	36.16412277	139.5446809	1702798	1794109	29.5	Kango2
清水谷	34.61358493	133.5912624	1626097	1658969	27.5	Kango2
大盛山	35.32680259	134.8552127	1702798	1794109	27.5	Kango2
横隈北田	33.42897997	130.5695549	1626097	1808718	27	Kango2
大開	34.67235834	135.1633415	1611487	1633402	27	Kango2
中原船久手	33.0122616	131.5128724	1702798	1794109	26	Kango4
原古賀三本谷	33.35353141	130.435639	1702798	1794109	25.5	Kango2
三沢南沢	33.42254258	130.5570625	1633402	1651664	25	Kango4
立野・大坪	33.20767895	130.5403699	1633402	1651664	25	Kango2
葛川	33.7491314	130.9468203	1626097	1640707	25	Kango2
経塚鼻	35.36746631	133.2752042	1644359	1702798	25	Kango2
要害	35.29683401	132.8965003	1611487	1702798	25	Kango2
斐太	37.05438966	138.2341924	1702798	1816023	25	Kango4
山元	38.20432573	139.4702825	1695493	1794109	25	Kango4
深作東部遺跡群	35.95357105	139.6737365	1702798	1808718	25	Kango2
高岡大山	35.70979157	140.2420968	1794109	1816023	25	Kango2
石川阿ら地	35.70076248	140.2322013	1794109	1816023	25	Kango2
朝田墳墓群	34.15475554	131.4317837	1651664	1735670	22.5	Kango2
光岡長尾	33.79018884	130.5565041	1633402	1658969	22	Kango2
東家の上	35.39949309	134.7618922	1633402	1702798	21	Kango1
宮尾	35.3661549	133.3673693	1651664	1666274	20.5	Kango2
神手	33.66210387	130.9292654	1640707	1677231	20	Kango2
前立山	34.34603773	131.950084	1651664	1702798	20	Kango2
河田山	36.4181979	136.5121638	1702798	1794109	19.5	Kango2
清水谷	35.36244993	133.3418259	1640707	1651664	19	Kango2
西ノ迫	33.41853199	130.6664457	1702798	1794109	17.5	Kango2
伝法寺野田	35.26319243	136.8426093	1702798	1735670	17.5	Kango2
比恵	33.58535682	130.4293684	1702798	1794109	15.5	Kango3
助平２号	34.41794894	132.7317525	1684536	1702798	15.5	Kango2
石走山	33.96171205	132.0230267	1702798	1794109	12.5	Kango2
八ツ並金丸	33.40940397	130.5207111	1611487	1684536	10	Kango2
