ja-JP	latitude	longitude	first_julian_day	last_julian_day	texture	overall_length
五條野丸山古墳	34.47598728	135.7984186	1922309	1940206	MisemaruyamaKofun	830
五ヶ庄二子塚古墳	34.91813971	135.797676	1904046	1910986	ZKoenFun	224
大日山35号墳	34.22464826	135.2208122	1910986	1921578	ZKoenFun	166
阿武山古墳	34.86344941	135.5695834	1954815	1965407	Enpun	164
大谷22号墳	34.22734193	135.2198762	1910986	1921578	ZKoenFun	160
金山古墳	34.46955922	135.6304556	1936553	1947145		156
蛇塚古墳	35.01207584	135.7001301	1940571	1947510	ZKoenFun	150
天塚古墳	35.00719684	135.7120332	1904046	1915734	ZKoenFun	142
市尾墓山古墳	34.44394718	135.7745694	1903681	1910621	ZKoenFun	130
烏土塚古墳	34.61783353	135.7024635	1925596	1936188	ZKoenFun	122
郡川西塚古墳	34.62323929	135.6336537	1892724	1903316	ZKoenFun	120
二塚古墳後円部石室	34.48698363	135.7006329	1925596	1936188	ZKoenFun	120
二塚古墳造出部石室	34.48698363	135.7006329	1925596	1936188	ZKoenFun	120
二塚古墳前方部石室	34.48698363	135.7006329	1925596	1936188	ZKoenFun	120
珠城山第3号墳(後円部)	34.54666671	135.8474662	1922309	1940206	ZKoenFun	116
珠城山第3号墳(前方部)	34.54666671	135.8474662	1922309	1940206	ZKoenFun	116
勝福寺古墳1号石室	34.83788465	135.4142727	1914639	1925231	ZKoenFun	114
勝福寺古墳2号石室	34.83788465	135.4142727	1914639	1925231	ZKoenFun	114
平林古墳	34.49867677	135.6981261	1925596	1936188	ZKoenFun	110
珠城山第1号墳(珠城山古墳)	34.54656911	135.848613	1916099	1927787	ZKoenFun	106
狩口台きつね塚古墳	34.64362071	135.0237563	1925596	1936188	Enpun	100
郡川東塚古墳	34.623425	135.635744	1903681	1910621	ZKoenFun	100
山畑古墳群52号墳	34.66075858	135.6422362	1903681	1921578		100
南塚古墳	34.84283504	135.5464731	1903681	1910621	ZKoenFun	100
不動塚1号墳	34.465769	135.975181	1922309	1940206	ZKoenFun	100
石舞台古墳	34.46697121	135.8261324	1940571	1976730	Hofun	100
天王山古墳	35.07387063	136.0401623	1892724	1903316	ZKoenFun	100
大覚寺1号墳	35.02562171	135.6800689	1940571	1976730	Enpun	100
越前塚古墳	35.064056	136.032167	1892724	1903316	ZKoenFun	98
花山6号墳	34.22570228	135.2279718	1903681	1910621	ZKoenFun	98
井辺前山6号墳	34.22322533	135.2207435	1903681	1910621	ZKoenFun	98
藤ノ木古墳	34.61198389	135.7295413	1925596	1936188	Enpun	96
物集女車塚古墳	34.95814147	135.6993375	1910986	1921578	ZKoenFun	96
ハミ塚古墳	34.61574285	135.8538342	1936553	1947145	Hofun	94
山津照神社古墳	35.33023584	136.3221386	1910986	1921578	ZKoenFun	92
井ノ内稲荷塚古墳	34.9412769	135.6851766	1910986	1921578	ZKoenFun	92
陵山古墳	34.32075939	135.613114	1881767	1888706	Enpun	92
鉢塚古墳	34.81779637	135.437074	1910986	1921578	Enpun	90
二子塚古墳	34.81325947	135.4441461	1936553	1947145	ZKoenFun	90
富木車塚古墳	34.522722	135.447853	1914639	1925231	ZKoenFun	90
塚穴古墳	34.55081802	135.5919048	1936553	1958102	Hofun	90
塔塚古墳	34.53907736	135.4547373	1885784	1903681	Hofun	90
岩屋山古墳	34.46581531	135.7975966	1940571	1976730	Hofun	90
牧野古墳	34.55444444	135.7239751	1936553	1947145	Enpun	90
鴨稲荷山古墳	35.31720657	136.0142397	1910986	1921578	ZKoenFun	90
今里大塚古墳	34.93002604	135.68655	1940571	1952259	ZKoenFun	90
鹿高神社1号墳(前方部)	34.5952275	136.0594479	1925596	1936188	ZKoenFun	90
市尾宮塚古墳	34.44267608	135.772188	1910986	1921578	ZKoenFun	88
前山B53号墳 将軍塚後円部	34.223444	135.227592	1925596	1936188	ZKoenFun	86
池尻16号墳	34.79384105	134.8485731	1936553	1947145	Hofun	84
香具山古墳	34.48034511	135.9237829	1925596	1936188	ZKoenFun	84
牛石古墳群7号墳	34.57333	135.483	1914639	1925231	ZKoenFun	80
植山古墳西石室	34.47627243	135.8034678	1936553	1947145	Hofun	80
植山古墳東石室	34.47627243	135.8034678	1936553	1947145	Hofun	80
塚本古墳	34.46100493	135.8193488	1940571	1976730	Hofun	80
木部天神前古墳	35.10302491	136.0258397	1910986	1921578	Enpun	80
高倉山古墳	34.48203645	136.6990771	1925596	1947145	Enpun	80
上ミ山古墳	33.5495927	135.484755	1903681	1910621	Enpun	80
寺内57号墳	34.21470783	135.23198	1925596	1936188	Enpun	76
鳴塚古墳	34.76829263	136.2344748	1910986	1921578	ZKoenFun	74
北神ニュータウン内遺跡3地点古墳	34.69017	135.19544	1910986	1921578	ZKoenFun	72
見手山1号	35.5445	134.82019	1925596	1936188	ZKoenFun	70
西宮山古墳	34.857847	134.545397	1903681	1910621	ZKoenFun	70
向代古墳群1号墳第2主体部	34.48358	135.42358	1914639	1925231	ZKoenFun	70
上城古墳	34.51972477	135.6392637	1936553	1958102	Enpun	70
