mtdna
A
A*
A14
A15
A17
A18
A22
A4
A5a
A5b
B4*
B4a
B4b
B4c
B4d
B4e
B4f
B5*
B5a
B5b
B6a
C
C1a
C3
C4
C4a
C5
C5a
C5b
C5d
C7a
C7b
D4
D4*
D4a
D4b
D4c
D4d
D4e
D4g
D4h
D4i
D4j
D4l
D4m
D5a
D5b
D5c
E1*
E1a
F1a
F1b
F1d
F1g
F2g
F2h
F3a
F4a
G1a
G1b
G1c
G2
G2a
G2b
G3a
G3b
H11
H15
H2b
H5b
H6a
HV1
I1b
I4a
M
M*
M10
M11
M7
M7*
M71
M7a
M7b
M7c
M8*
M80
M8a
M9a
N
N9
N9a
N9b
R
R1b
R9
T1a
T2a
T2d
U1a
U2e
U4
U4a
U4c
U5a
U5b
Y
Y1a
Y1b
Z2
Z3
Z3a
Z4a
