key	ja-JP
Valentinus	ヴァレンティヌス
Tiberius(sonofMaurice)	テオドシウス
TheodoreofTarsus	タルソスのテオドロス
SuhaybibnSinan	スハイブ・イブン・シナーン・アル＝ルーミー
TheodoreRshtuni	テオドロス・ルシュトゥニ
Nicetas(cousinofHeraclius)	ニケタス
Mauros	マウロス
GregorythePatrician	グレゴリウス・ザ・パトリキウス
David(sonofHeraclius)	ダビデ
Heraclius	ヘラクレイオス
Khalidibnal-Walid	ハーリド・イブン・アル＝ワリード
AbdAllahibnal-Zubayr	アブド・アッラー・イブン・アル＝ズバイル
Abdal-RahmanibnAbiBakr	アブド・アル＝ラフマーン・イブン・アビ・バクル
Adaloald	Adaloald
Agilulf	Agilulf
Grimoald	Grimoald
Rodoald	Rodoald
Rothari	Rothari
Theodelinda	Theodelinda
Ansprand	Ansprand
GisulfIIofFriuli	Gisulf II of Friuli
Gundeberga	Gundeberga
SigebertIII	Sigebert III
AsparuhofBulgaria	Asparuh of Bulgaria
KhosrowII	Khosrow II
PopeAdrianI	Pope Adrian I
SaintBaudolino	Saint Baudolino
Dokyo	道鏡
Gaubald	Gaubald
KimDaeseong	Kim Daeseong
PopePaulI	Pope Paul I
ShitouXiqian	Shitou Xiqian
WangJin	Wang Jin
WasilibnAta	Wasil ibn Ata
EmpressKomyo	光明皇后
ItzamKanAhkII	Itzam Kan Ahk II
LiBai	Li Bai
EmperorShomu	聖武天皇
YazidIII	Yazid III
Dao-xuan	Dao-xuan
Jafaral-Sadiq	Jafar al-Sadiq
OnakatominoKiyomaro	大中臣清麻呂
Kusaila	クサイラ
ShimaofKalingga	カリンガのシーマ
Kahina	カヒナ
IsidoreofSeville	イシドールス
JustinianII	ユスティニアノス2世
ConstansII	コンスタンス2世
Samo	Samo
Bori_Shad	步利設
Ashina_Jiesheshuai	聖徳太子
Qibi_Heli	契苾何力
Tonyukuk	暾欲谷
Jayadevi	ジャヤデヴィ
Sri_Jayanasa	シュリー・ジャヤナサ
Wukong	梧空
Amoghavajra	不空金剛
Subhakarasimha	善無畏
Vajrabodhi	金剛智
Yijing	義浄
Brahmagupta	ブラフマグプタ
Abe_no_Nakamaro	阿倍仲麻呂
OnoNoImoko	小野妹子
SuikoTenno	推古天皇
ShotokuTaishi	聖徳太子
Wonhyo	元暁
Hyecho	慧超
Uisang	義湘
Jang_Bogo	張保皐
Kim_Yu-sin	金庾信
Kukai	空海
Gyoki	行基
Saicho	最澄
Jianzhen	鑑真
Xuanzang	玄奘
BjarniHerjolfsson	ビャルニ・ヘルヨールフソン
GunnbjornUlfsson	グンビョルン・ウルヴソン
Snaebjorngalti	スネーブヨルン・ガルティ
ThorfinnKarlsefni	ソルフィン・カルルセフニ
ThorvaldEiriksson	ソーヴァル・エイリークソン
LeifErikson	レイフ・エリクソン
EriktheRed	赤毛のエイリーク
