1	薩摩	3562484921.216584
2	大隅	3776967479.578999
3	日向	8270368016.216237
4	肥後	7263242165.850216
5	豊後	5402519212.302886
6	筑後	1238964777.350712
7	肥前	5731699045.896264
8	筑前	2435519312.130444
9	豊前	2082120021.495937
10	壱岐	145818050.621200
11	対馬	757145248.766706
12	長門	3055669302.577020
13	周防	2956659289.544892
14	安芸	4531115059.935493
15	備後	3849514548.798913
16	備中	2534381054.306220
17	美作	2756219950.640065
18	備前	1566074848.916808
19	播磨	3712420503.818251
20	石見	3638620469.520504
21	出雲	2752316707.851648
22	伯耆	1999763461.092908
23	隠岐	360374434.229397
24	因幡	1531808834.126252
25	但馬	1904777273.125028
26	丹後	1326631656.957504
27	丹波	3066695478.740878
28	伊予	5746833258.472765
29	土佐	7070562870.343769
30	阿波	4091711232.503553
31	讃岐	1874216930.858520
32	淡路	592746140.805902
33	紀伊	5735418911.931028
34	大和	3677547760.969470
35	河内	653246757.788400
36	山城	1137210120.573807
37	和泉	517721401.219306
38	摂津	1579527986.147373
39	若狭	862507781.682724
40	越前	3444624647.777984
41	加賀	2201959196.480697
42	越中	4273271553.933296
43	能登	2067299277.762293
44	越後	11816327401.942083
45	佐渡	866837500.474487
46	志摩	303910216.932802
47	伊勢	3735434895.645167
48	伊賀	683981921.750394
49	尾張	1482958773.344092
50	三河	3380797017.646498
51	遠江	3107249319.584700
52	駿河	3186037136.165811
53	伊豆	1539209781.372404
54	甲斐	4471016688.489509
55	相模	1924443449.946256
56	武蔵	5860936175.122395
57	下総	3053521430.767216
58	上総	2229253655.577148
59	安房	576397029.481803
60	常陸	5269353560.631007
61	近江	4015795997.663967
62	美濃	6294926655.130898
63	飛騨	4187995588.183590
64	信濃	13603630166.366266
65	上野	6298021565.572614
66	下野	6426311537.781080
67	陸奥	36284300717.052505
68	出羽	21034719294.885132
69	蝦夷(本州)	9772735481.657454
70	蝦夷(北海道)	78504406240.670685
71	蝦夷(千島列島)	5085024464.299233
72	蝦夷(樺太)	0.000000
73	null1	0.000000
74	null2	0.000000
75	null3	0.000000
76	null4	0.000000
77	null5	0.000000
78	null6	0.000000
79	null7	0.000000
80	null8	0.000000
81	null9	0.000000
82	null10	0.000000
83	null11	0.000000
84	null12	0.000000
85	null13	0.000000
86	null14	0.000000
87	null15	0.000000
88	小笠原諸島	0.000000
89	伊豆諸島	220612914.081700
90	琉球諸島	89233638.641300

