longitude	latitude
130.1243	34.2595
130.6043	34.5292
130.9563	34.8528
131.2443	35.1224
131.5323	35.2842
131.9803	35.3651
132.3962	35.4191
132.6202	35.5539
132.7802	35.9314
132.9402	36.2011
133.3242	36.4438
133.5802	36.4977
133.8682	36.3629
134.2202	36.228
134.4761	36.255
134.8281	36.4438
135.1481	36.4977
135.5321	36.5516
135.7241	36.7134
135.7561	36.9022
135.5641	37.064
135.4361	37.2258
135.4361	37.4685
135.5961	37.7112
135.8521	37.873
136.0441	38.0887
136.1081	38.4392
136.1721	38.8437
136.3001	39.1673
136.62	39.3291
137.004	39.2752
137.388	39.1134
137.644	38.9516
137.868	38.9246
138.028	39.1134
138.028	39.3831
137.74	39.5718
137.324	39.7606
137.196	39.9763
137.292	40.246
137.516	40.5426
137.964	40.7314
138.6359	40.7853
139.1799	40.8392
139.4359	41.0549
139.7239	41.3246
140.0759	41.5403
