language_ja_jp	language_en_us	longitude	latitude	min_size	max_size	first_julian_day	last_julian_day	texture
ヨナイ	Yonai	140.4613889	39.14138889	1	4	1721424	9999999	None
オボナイ	Obonai	140.735	39.70138889	1	4	1721424	9999999	None
タマナイ/タンナイ	Tamanai/Tannai	140.7902778	40.1725	1	4	1721424	9999999	None
シバナイ	Shibanai	140.8094444	40.22027778	1	4	1721424	9999999	None
ホリナイ	Horinai	140.8405556	40.31666667	1	4	1721424	9999999	None
サイナイ	Sainai	140.6102778	39.53166667	1	4	1721424	9999999	None
ホンナイ	Honnai	139.9247222	39.98722222	1	4	1721424	9999999	None
ムシナイ	Mushinai	140.6113889	39.28083333	1	4	1721424	9999999	None
タドコナイ	Tadokonai	140.1138889	40.18722222	1	16	1721424	9999999	None
ヒナイ	Hinai	140.5911111	39.81666667	1	4	1721424	9999999	None
ホイナイ	Hoinai	140.5777778	39.80222222	1	4	1721424	9999999	None
オサナイ	Osanai	140.7741667	40.13416667	1	4	1721424	9999999	None
ヤクナイ	Yakunai	140.4508333	39.25166667	1	4	1721424	9999999	None
トトリナイ	Totorinai	140.5113889	39.88972222	1	4	1721424	9999999	None
イタミナイ	Itaminai	140.5527778	39.48222222	1	4	1721424	9999999	None
ホリミナイ	Horiminai	140.5211111	39.47666667	1	4	1721424	9999999	None
シカナイ	Shikanai	140.39	39.16	1	4	1721424	9999999	None
ソウナイ	Sōnai	141.1691667	38.57944444	1	4	1721424	9999999	None
シナイ	Shinai	140.9383333	38.5	1	4	1721424	9999999	None
ウナイ	Unai	141.1141667	38.33916667	1	4	1721424	9999999	None
シナイ	Shinai	141.0808333	38.46222222	1	4	1721424	9999999	None
イナイ	Inai	141.3027778	38.43444444	1	4	1721424	9999999	None
ウナイ	Unai	141.1302778	38.84555556	1	4	1721424	9999999	None
オサツ	Osatsu	141.1530556	38.58388889	1	4	1721424	9999999	None
コンナイ	Konnai	140.9305556	38.51638889	1	4	1721424	9999999	None
ホロナイ	Horonai	140.7083333	38.86972222	1	4	1721424	9999999	None
リンナイ	Rinnai	141.0963889	38.61861111	1	4	1721424	9999999	None
トウナイ	Tōnai	140.3175	38.35972222	1	4	1721424	9999999	None
ザツコナイ	Zatsukonai	140.3155556	37.45944444	1	4	1721424	9999999	None
