薩摩國	Satsuma	130.306333	31.832	1	10	1721424	9999999	None
大隅國	Ōsumi	130.771333	31.741125	1	16	1721424	9999999	None
日向國	Hyūga	131.396908	32.102417	1	16	1721424	9999999	None
肥後國	Higo	130.722961	32.787292	1	24	1721424	9999999	None
豐後國	Bungo	131.554139	33.194636	1	16	1721424	9999999	None
筑後國	Chikugo	130.537908	33.295294	1	8	1721424	9999999	None
肥前國	Hizen	130.287458	33.313881	1	6	1721424	9999999	None
筑前國	Chikuzen	130.506656	33.520689	1	16	1721424	9999999	None
豐前國	Buzen	130.92022	33.69919	1	9	1721424	9999999	None
壹岐國	Iki	129.731722	33.769806	1	16	1721424	9999999	None
對馬國	Tsushima	129.28753	34.20264	1	24	1721424	9999999	None
長門國	Nagato	130.990833	33.998889	1	14	1721424	9999999	None
周防國	Suō	131.586361	34.057639	1	16	1721424	9999999	None
安藝國	Aki	132.50453	34.39258	1	16	1721424	9999999	None
備後國	Bingo	133.393861	34.563133	1	16	1721424	9999999	None
備中國	Bitchū	133.774994	34.682914	1	5	1721424	9999999	None
美作國	Mimasaka	133.996656	35.07525	1	13	1721424	9999999	None
備前國	Bizen	133.956428	34.6921	1	16	1721424	9999999	None
播磨國	Harima	134.695822	34.834681	1	22	1721424	9999999	None
石見國	Iwami	132.07983	34.89922	1	16	1721424	9999999	None
出雲國	Izumo	133.04853	35.46811	1	16	1721424	9999999	None
伯耆國	Hōki	133.82553	35.43011	1	12	1721424	9999999	None
隱岐國	Oki	133.307367	36.224347	1	24	1721424	9999999	None
因幡國	Inaba	134.261903	35.470208	1	16	1721424	9999999	None
但馬國	Tajima	134.770772	35.469728	1	11	1981631	9999999	None
但遲麻國	Tajima	134.770772	35.469728	1	11	1721424	1981630	None
丹後國	Tango	135.179767	35.579025	1	16	1721424	9999999	None
丹波國	Tanba	135.578519	35.042242	1	7	1721424	9999999	None
伊豫國	Iyo	133.025444	34.026167	1	24	1721424	9999999	None
土佐國	Tosa	133.648686	33.599883	1	16	1721424	9999999	None
阿波國	Awa	134.473611	34.055611	1	16	1981631	9999999	None
粟國	Awa	134.473611	34.055611	1	16	1721424	1981630	None
讃岐國	Sanuki	133.918403	34.293603	1	13	1721424	9999999	None
淡路國	Awaji	134.782653	34.298536	1	10	1721424	9999999	None
紀伊國	Kii	135.233694	34.267986	1	16	1981631	9999999	None
木國	Ki	135.233694	34.267986	1	16	1721424	1981630	None
大和國	Yamato	135.839939	34.688994	1	24	1997801	9999999	None
大倭國	Yamato	135.839939	34.688994	1	24	1981631	1997800	None
倭國	Yamato	135.839939	34.688994	1	24	1721424	1981630	None
河內國	Kawachi	135.620931	34.575811	1	5	1721424	9999999	None
山城國	Yamashiro	135.862847	34.765614	1	3	1721424	9999999	None
和泉國	Izumi	135.429211	34.485547	1	8	1981631	9999999	None
泉國	Izumi	135.429211	34.485547	1	8	1721424	1981630	None
攝津國	Settsu	135.519361	34.657778	1	3	1981631	9999999	None
津國	Tsu	135.519361	34.657778	1	3	1721424	1981630	None
若狹國	Wakasa	135.788361	35.480239	1	15	1721424	9999999	None
越前國	Echizen	136.164539	35.903881	1	24	1721424	9999999	None
加賀國	Kaga	136.44553	36.40833	1	16	1721424	9999999	None
越中國	Etchū	137.052713	36.792348	1	16	1721424	9999999	None
能登國	Noto	136.9575	37.025	1	9	1721424	9999999	None
越後國	Echigo	138.224928	37.168547	1	16	1721424	9999999	None
佐渡國	Sado	138.368667	37.967056	1	16	1721424	9999999	None
志摩國	Shima	136.880008	34.348467	1	12	1721424	9999999	None
伊勢國	Ise	136.497353	34.884403	1	16	1721424	9999999	None
伊賀國	Iga	136.157906	34.802514	1	6	1721424	9999999	None
尾張國	Owari	136.799947	35.254794	1	16	1721424	9999999	None
三河國	Mikawa	137.334133	34.8363	1	16	1721424	9999999	None
遠江國	Tōtōmi	137.85138	34.719485	1	12	1721424	9999999	None
駿河國	Suruga	138.426622	34.964231	1	20	1721424	9999999	None
伊豆國	Izu	138.909739	35.120083	1	12	1721424	9999999	None
甲斐國	Kai	138.683564	35.638178	1	16	1721424	9999999	None
相模國	Sagami	139.39081	35.44642	1	8	1721424	9999999	None
武藏國	Musashi	139.479911	35.668975	1	24	1981631	9999999	None
无邪志國	Muzashi	139.479911	35.668975	1	24	1721424	1981630	None
下總國	Shimōsa	139.916519	35.744142	1	9	1721424	9999999	None
上總國	Kazusa	140.11544	35.49806	1	16	1721424	9999999	None
安房國	Awa	139.88955	34.993531	1	16	1721424	9999999	None
常陸國	Hitachi	140.268831	36.1897	1	24	1721424	9999999	None
近江國	Ōmi	135.855	35.028306	1	10	1721424	9999999	None
美濃國	Mino	136.523889	35.3775	1	7	1981631	9999999	None
三野國	Mino	136.523889	35.3775	1	7	1721424	1981630	None
飛騨國	Hida	137.253694	36.14335	1	16	1721424	9999999	None
信濃國	Shinano	138.270836	36.380075	1	16	1721424	9999999	None
上野國	Kōzuke	139.022422	36.395075	1	24	1721424	9999999	None
下野國	Shimotsuke	139.785178	36.379906	1	11	1721424	9999999	None
陸奧國	Mutsu	140.892883	38.222328	1	24	1721424	9999999	None
出羽國	Dewa	139.908697	38.963655	1	16	1721424	9999999	None
