key	texture	longitude	latitude	overall_length	first_year	last_year
ChinaDoken54	YamaDoken	99.378	30.8888	123	-770	-221
ChinaDoken55	TomoeDoken	103.1265	30.8174	123	-770	-221
ChinaDoken56	TomoeDoken	110.6235	30.6984	123	-770	-221
ChinaDoken57	TomoeDoken	112.2615	30.6746	123	-770	-221
ChinaDoken58	TomoeDoken	109.584	30.6746	123	-770	-221
ChinaDoken59	TomoeDoken	103.725	30.6032	123	-770	-221
ChinaDoken60	TomoeDoken	103.3785	30.5794	123	-770	-221
ChinaDoken61	TomoeDoken	103.5675	30.4366	123	-770	-221
ChinaDoken62	TomoeDoken	103.2525	30.4366	123	-770	-221
ChinaDoken63	TomoeDoken	111.3165	30.4128	123	-770	-221
ChinaDoken64	TomoeDoken	103.0005	30.3652	123	-770	-221
ChinaDoken65	TomoeDoken	103.4415	30.3176	123	-770	-221
ChinaDoken66	YamaDoken	102.15	30.1748	123	-770	-221
ChinaDoken67	TomoeDoken	112.23	30.1272	123	-770	-221
ChinaDoken68	TomoeDoken	104.04	30.0796	123	-770	-221
ChinaDoken69	TomoeDoken	102.9375	30.0082	123	-770	-221
ChinaDoken70	TomoeDoken	102.339	30.0082	123	-770	-221
ChinaDoken71	TomoeDoken	107.4105	29.6036	123	-770	-221
ChinaDoken72	MuDoken	102.591	29.4132	123	-770	-221
ChinaDoken73	TomoeDoken	107.0325	29.3894	123	-770	-221
ChinaDoken74	TomoeDoken	102.8745	29.3894	123	-770	-221
ChinaDoken75	TomoeDoken	106.245	29.2466	123	-770	-221
ChinaDoken76	YamaDoken	101.5515	29.08	123	-770	-221
ChinaDoken77	TomoeDoken	106.0245	29.0562	123	-770	-221
ChinaDoken78	HenDoken	101.772	29.0562	123	-770	-221
ChinaDoken79	TomoeDoken	102.5595	29.0324	123	-770	-221
ChinaDoken80	TomoeDoken	103.284	28.9848	123	-770	-221
ChinaDoken81	YamaDoken	97.6455	28.5326	123	-770	-221
ChinaDoken82	HenDoken	109.521	28.3898	123	-770	-221
ChinaDoken83	HenDoken	112.5135	28.366	123	-770	-221
ChinaDoken84	HenDoken	113.5845	28.3184	123	-770	-221
ChinaDoken85	HenDoken	109.8675	28.2946	123	-770	-221
ChinaDoken86	TomoeDoken	103.914	28.1994	123	-770	-221
ChinaDoken87	HenDoken	113.3325	27.9852	123	-770	-221
ChinaDoken88	MuDoken	102.024	27.9138	123	-770	-221
ChinaDoken89	HenDoken	112.2615	27.9138	123	-770	-221
ChinaDoken90	YamaDoken	100.2915	27.8186	123	-770	-221
ChinaDoken91	YamaDoken	101.394	27.7234	123	-770	-221
ChinaDoken92	HenDoken	112.7655	27.4616	123	-770	-221
ChinaDoken93	YamaDoken	100.449	27.3902	123	-770	-221
ChinaDoken94	YamaDoken	99.9765	27.3188	123	-770	-221
ChinaDoken95	YamaDoken	99.6615	27.2474	123	-770	-221
ChinaDoken96	YamaDoken	102.9375	27.176	123	-770	-221
ChinaDoken97	IchiDoken	104.04	26.9142	123	-770	-221
ChinaDoken98	MuDoken	103.0635	26.9142	123	-770	-221
ChinaDoken99	TomoeDoken	103.347	26.8904	123	-770	-221
ChinaDoken100	MuDoken	101.142	26.7952	123	-770	-221
ChinaDoken101	YamaDoken	99.504	26.7238	123	-770	-221
ChinaDoken102	YamaDoken	98.559	26.6286	123	-770	-221
ChinaDoken103	HenDoken	112.3245	26.6286	123	-770	-221
ChinaDoken104	MuDoken	98.811	26.6048	123	-770	-221
ChinaDoken105	IchiDoken	105.9615	26.3192	123	-770	-221
ChinaDoken106	HenDoken	113.112	26.2954	123	-770	-221
ChinaDoken107	YamaDoken	98.685	25.867	123	-770	-221
ChinaDoken108	HenDoken	113.805	25.7956	123	-770	-221
ChinaDoken109	YamaDoken	99.9765	25.5576	123	-770	-221
ChinaDoken110	YamaDoken	99.2205	25.51	123	-770	-221
ChinaDoken111	IchiDoken	104.2605	25.3672	123	-770	-221
ChinaDoken112	YamaDoken	100.2915	25.3196	123	-770	-221
ChinaDoken113	YamaDoken	100.8585	25.1292	123	-770	-221
ChinaDoken114	YamaDoken	98.055	25.0578	123	-770	-221
ChinaDoken115	YamaDoken	100.0395	25.0578	123	-770	-221
ChinaDoken116	MuDoken	101.646	25.0578	123	-770	-221
ChinaDoken117	IchiDoken	100.26	25.034	123	-770	-221
ChinaDoken118	MuDoken	100.449	25.0102	123	-770	-221
ChinaDoken119	YamaDoken	101.142	24.8912	123	-770	-221
ChinaDoken120	IchiDoken	101.3625	24.8912	123	-770	-221
ChinaDoken121	YamaDoken	101.5515	24.8436	123	-770	-221
ChinaDoken122	IchiDoken	101.709	24.8436	123	-770	-221
ChinaDoken123	HenDoken	110.8755	24.677	123	-770	-221
ChinaDoken124	YamaDoken	101.3625	24.6532	123	-770	-221
ChinaDoken125	YamaDoken	101.898	24.6294	123	-770	-221
ChinaDoken126	HenDoken	114.12	24.6056	123	-770	-221
ChinaDoken127	IchiDoken	101.331	24.4866	123	-770	-221
ChinaDoken128	HenDoken	110.718	24.4866	123	-770	-221
ChinaDoken129	HenDoken	111.726	24.2962	123	-770	-221
ChinaDoken130	YamaDoken	101.4255	24.2724	123	-770	-221
ChinaDoken131	IchiDoken	101.6145	24.2486	123	-770	-221
ChinaDoken132	HenDoken	113.49	23.606	123	-770	-221
ChinaDoken133	IchiDoken	106.434	23.5584	123	-770	-221
ChinaDoken134	HenDoken	112.797	23.5584	123	-770	-221
ChinaDoken135	HenDoken	106.749	23.5584	123	-770	-221
ChinaDoken136	HenDoken	113.8365	23.0824	123	-770	-221
ChinaDoken137	HenDoken	108.5445	23.0824	123	-770	-221
ChinaDoken138	HenDoken	105.804	23.0824	123	-770	-221
ChinaDoken139	IchiDoken	104.04	22.773	123	-770	-221
ChinaDoken140	HenDoken	111.8205	22.7016	123	-770	-221
ChinaDoken141	IchiDoken	103.2525	22.3446	123	-770	-221
ChinaDoken142	HenDoken	110.3085	21.6068	123	-770	-221
ChinaDoken143	IchiDoken	105.0165	21.5592	123	-770	-221
ChinaDoken144	IchiDoken	104.229	21.5354	123	-770	-221
ChinaDoken145	IchiDoken	104.6385	21.1784	123	-770	-221
ChinaDoken146	IchiDoken	104.8905	19.8932	123	-770	-221
