en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Sky Witness	-88.759722	18.638611	-88.759722	18.638611	1916830	1926325
Sky Witness	-88.759722	18.638611	-88.759722	18.638611	1926325	1926326
Sky Witness	-88.759722	18.638611	-88.759722	18.638611	1926326	1926686
Sky Witness	-88.759722	18.638611	-89.622778	17.221944	1926686	1926691
Sky Witness	-89.622778	17.221944	-89.622778	17.221944	1926691	1930339
Sky Witness	-89.622778	17.221944	-88.759722	18.638611	1930339	1930344
Sky Witness	-88.759722	18.638611	-88.759722	18.638611	1930344	1930374
