en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
B'utz Aj Sak Chiik	-92.046389	17.484167	-92.046389	17.484167	1889421	1899538
B'utz Aj Sak Chiik	-92.046389	17.484167	-92.046389	17.484167	1899538	1899539
B'utz Aj Sak Chiik	-92.046389	17.484167	-92.046389	17.484167	1899539	1900393
B'utz Aj Sak Chiik	-92.046389	17.484167	-92.046389	17.484167	1900393	1900394
B'utz Aj Sak Chiik	-92.046389	17.484167	-92.046389	17.484167	1900394	1904410
B'utz Aj Sak Chiik	-92.046389	17.484167	-92.046389	17.484167	1904410	1904411
B'utz Aj Sak Chiik	-92.046389	17.484167	-92.046389	17.484167	1904411	1904441
