ja-JP	latitude	longitude	first_year	last_year	overall_length	texture
鬼無藤井	34.32949914	133.9978207	-490	-350	34.5	Kango2
中里前原北	35.87503739	139.6375829	80	240	34.5	Kango2
野々井	34.4957719	135.4778426	200	240	33.5	Kango2
下郡	33.22035195	131.6442669	80	240	32.5	Kango2
妻木晩田	35.4635651	133.4547385	80	140	32.5	Kango2
横隈山	33.43360822	130.5649289	-490	-350	32	Kango2
杉谷チャノバタケ	36.95592165	136.8492202	-200	30	31.5	Kango2
津古内畑	33.44227913	130.5604415	-750	-350	30	Kango2
上岩田	33.39911548	130.578931	-780	-750	30	Kango2
下東	34.16230677	131.4414411	-490	-320	30	Kango2
東山	34.50159472	135.6414115	80	240	30	Kango2
宮塚	35.42359347	136.8521533	-350	30	30	Kango2
中村	36.48109902	139.0148144	-350	30	30	Kango2
北宿	35.87862308	139.6581414	80	240	30	Kango2
那珂遺跡群	33.57091526	130.4356715	-780	-380	29.5	Kango2
木曽良	36.16412277	139.5446809	130	200	29.5	Kango2
清水谷	34.61358493	133.5912624	-640	-320	27.5	Kango2
大盛山	35.32680259	134.8552127	80	240	27.5	Kango2
横隈北田	33.42897997	130.5695549	-640	-350	27	Kango2
大開	34.67235834	135.1633415	-780	-560	27	Kango2
中原船久手	33.0122616	131.5128724	80	240	26	Kango4
原古賀三本谷	33.35353141	130.435639	80	240	25.5	Kango2
三沢南沢	33.42254258	130.5570625	-750	-350	25	Kango4
立野・大坪	33.20767895	130.5403699	-560	-320	25	Kango2
葛川	33.7491314	130.9468203	-750	-600	25	Kango2
経塚鼻	35.36746631	133.2752042	-490	30	25	Kango2
要害	35.29683401	132.8965003	-780	30	25	Kango2
斐太	37.05438966	138.2341924	80	260	25	Kango4
山元	38.20432573	139.4702825	-200	200	25	Kango4
深作東部遺跡群	35.95357105	139.6737365	200	240	25	Kango2
高岡大山	35.70979157	140.2420968	200	260	25	Kango2
石川阿ら地	35.70076248	140.2322013	200	260	25	Kango2
朝田墳墓群	34.15475554	131.4317837	-200	30	22.5	Kango2
光岡長尾	33.79018884	130.5565041	-750	-320	22	Kango2
東家の上	35.39949309	134.7618922	-560	-200	21	Kango1
