key	ja-JP	en-US	longitude	latitude	min_size	max_size	first_year	last_year	texture	所在地	種別	時代	立地	標高	出土遺物
HokkaidoSite766	キスケA遺跡		143.2521353	41.99829343	0	0.5	-3500	-2000	BlueCircle	えりも町字庶野102-4,104-2･13･29,903,909	遺物包含地	縄文(中期)	台地		石鏃、グレイバー状石器
HokkaidoSite767	東歌別2遺跡		143.1664827	41.98354008	0	0.5	-5000	-3500	BlueCircle	えりも町字歌別241-25～30	遺物包含地	縄文(前期)	海岸段丘(中位)	30 m	土器、石器
HokkaidoSite768	菊水遺跡		143.1723007	41.97814756	0	0.5	-300	200	BlueCircle	えりも町字歌別220-1	遺物包含地	続縄文(前半期)			土器
HokkaidoSite769	エリモF遺跡		143.2418776	41.97331643	0	0.5	-5000	-3500	BlueCircle	えりも町字えりも岬国有林219林班	遺物包含地	縄文(前期)	海岸段丘		土器、石鏃・石槍・石小刀・掻器・石錘・石冠
HokkaidoSite770	エリモG遺跡		143.2407658	41.97181109	0	0.5	-2000	-1000	PitHouse	えりも町字えりも岬国有林	集落跡	縄文(後期)			土器、石錘・くぼみ石・フレイク
HokkaidoSite771	坂岸遺跡		143.1807271	41.97189327	0	0.5	-5000	-3500	BlueCircle	えりも町字東洋22,71-31～33,508	遺物包含地	縄文(前期)	舌状台地	15 m	土器、石皿
HokkaidoSite772	エリモE遺跡		143.2402169	41.97034533	0	0.5	-5000	-3500	BlueCircle	えりも町字えりも岬国有林219林班,411-1	遺物包含地	縄文(前期)	海岸段丘、エリモC、D遺跡と同一台地		土器、石鏃・石槍・石錐・石小刀・掻器・石冠
HokkaidoSite773	東洋C遺跡		143.2252499	41.95584623	0	0.5	-3500	-2000	BlueCircle	えりも町字東洋251-4,字えりも岬406-2･5	遺物包含地	縄文(中期)	舌状台地		土器
HokkaidoSite774	更別B遺跡		143.2570063	42.65043854	0	0.5	-2000	-1000	BlueCircle	更別村字勢雄433-3,441-1	遺物包含地	縄文(後期)	イタラタラキ川河岸段丘	160 m	土器片、石鏃、石槍、ナイフ、石皿
HokkaidoSite775	更別C遺跡		143.2569281	42.648464	0	0.5	-5000	-3500	BlueCircle	更別村字勢雄435,436	遺物包含地	縄文(前期)	イタラタラキ川河岸段丘	155 m	土器片
HokkaidoSite776	更南遺跡		143.1716173	42.58586446	0	0.5	-2000	-1000	BlueCircle	更別村字更南南9線31-1･3,33-1･3,35-1･2,字上更別南10線34-1・2,36-1･2	遺物包含地	縄文(後期)		235 m	土器片、石鏃
HokkaidoSite777	元忠類遺跡		143.3102401	42.57726177	0	0.5	-300	700	BlueCircle	幕別町忠類元忠類95,96,98-1	遺物包含地	続縄文	丸山南の東向き台地先端部	100 m	土器
HokkaidoSite778	公親6遺跡		143.2929463	42.56563343	0	0.5	-3500	-2000	BlueCircle	幕別町忠類公親67,71～73	遺物包含地	縄文(中期)	当縁川支流沿いの台地	100 m	土器
HokkaidoSite779	中当3遺跡		143.3723838	42.54368302	0	0.5	-1000	-300	BlueCircle	幕別町忠類中当103	遺物包含地	縄文(晩期)	当縁川及びその支流に挟まれた舌状台地	50 m	土器
HokkaidoSite780	共栄遺跡		143.3028345	42.53859221	0	0.5	-3500	-2000	BlueCircle	幕別町忠類共栄105,106,108,109	遺物包含地	縄文(中期)	湧水点(2ヶ所)周囲	80 m	土器、石鏃、石斧
HokkaidoSite781	晩成1遺跡		143.4686585	42.53175637	0	0.5	650	1300	PitHouse	大樹町字晩成5	集落跡	擦文	ホロカヤントウ沼北岸台地上	10～15 m	
HokkaidoSite782	晩成3遺跡		143.4648239	42.52794782	0	0.5	650	1300	PitHouse	大樹町字晩成4-1～7	集落跡	擦文	ホロカヤントー沼南岸台地上	5～10 m	
HokkaidoSite783	上萠和2遺跡		143.321211	42.52860601	0	0.5	-8000	-5000	BlueCircle	大樹町字萠和384,385,428	遺物包含地	縄文(早期)	メム川右岸 段丘上	75 m	土器片、剥片
HokkaidoSite784	十勝ホロカヤントー竪穴群遺跡		143.4776261	42.52593749	0	0.5	650	1300	PitHouse	大樹町字晩成2	集落跡	擦文	ホロカヤントー沼北岸 台地上	10～15m	土器、骨角器、金属器、石器
HokkaidoSite785	晩成2遺跡		143.4703626	42.52254657	0	0.5	650	1300	PitHouse	大樹町字晩成4-1～7	集落跡	擦文	ホロカヤントー沼南岸台地上	10～20 m	
