key	ja-JP	latitude	longitude	first_julian_day	last_julian_day	texture	overall_length
YokoSekishitsu1869	寺口忍海H-11号墳	34.47595108	135.7022074	1910986	1921578	Enpun	16
YokoSekishitsu1870	寺口忍海H-28号墳	34.47595108	135.7022074	1925596	1936188	Enpun	16
YokoSekishitsu1871	寺口忍海H-30号墳	34.47595108	135.7022074	1936553	1947145	Enpun	16
YokoSekishitsu1872	寺口忍海H-38号墳	34.47595108	135.7022074	1910986	1921578	Enpun	16
YokoSekishitsu1873	太鼓塚26号墳	35.04151431	135.85124	1925596	1936188	Enpun	16
YokoSekishitsu1874	太鼓塚27号墳	35.04151431	135.85124	1910986	1921578	Enpun	16
YokoSekishitsu1875	太鼓塚29号墳	35.04151431	135.85124	1914639	1936188	Enpun	16
YokoSekishitsu1876	大通寺39号墳	35.04506792	135.8571949	1916099	1927787	Enpun	16
YokoSekishitsu1877	東野館5号墳	35.4344731	136.3364379	1947510	1965407	Enpun	16
YokoSekishitsu1878	祇園西塚古墳	35.15116376	136.2715028	1922309	1940206	Enpun	16
YokoSekishitsu1879	八之塚8号墳	35.1191328	136.2554462	1940571	1958468	Enpun	16
YokoSekishitsu1880	金剛寺野23号墳	35.15671881	136.2756444	1940571	1964312	Enpun	16
YokoSekishitsu1881	和田4号墳	35.00353387	136.0003691	1910986	1921578	Enpun	16
YokoSekishitsu1882	車谷36号墳	34.7877768	135.8223719	1947510	1965407	Enpun	16
YokoSekishitsu1883	畑ノ前3号墳	34.75094552	135.789814	1925596	1936188	Enpun	16
YokoSekishitsu1884	畑ノ前4号墳	34.75094552	135.789814	1936553	1947145	Enpun	16
YokoSekishitsu1885	尼塚5号墳	34.85871132	135.7864119	1940571	1958468	Enpun	16
YokoSekishitsu1886	中臣遺跡70-2次	34.97177228	135.8033782	1933266	1940206	Enpun	16
YokoSekishitsu1887	小山2号墳	35.11034539	135.468048	1910986	1921578	Enpun	16
YokoSekishitsu1888	細谷3号墳	35.32284781	135.239882	1940571	1958468	Enpun	16
YokoSekishitsu1889	鴨野3号墳	35.30652468	135.1341799	1936553	1947145	Enpun	16
YokoSekishitsu1890	向野西14号墳	35.28863154	135.1061107	1914639	1925231	Enpun	16
YokoSekishitsu1891	小森山2号墳	35.51872324	135.092419	1936553	1958102	Enpun	16
YokoSekishitsu1892	高山7号墳	35.70803582	135.0901418	1925596	1936188	Enpun	16
YokoSekishitsu1893	小谷2号墳	34.62758	136.10839	1963946	1969060	Enpun	16
YokoSekishitsu1894	小谷4号墳	34.62758	136.10839	1914639	1925231	Enpun	16
YokoSekishitsu1895	公事出1号墳	34.96503	136.62442	1954815	1965407	Enpun	16
YokoSekishitsu1896	御池13号墳	34.96503	136.62442	1936553	1958102	Enpun	16
YokoSekishitsu1897	谷口古墳	34.96503	136.62442	1936553	1965407	Enpun	16
YokoSekishitsu1898	平田45号墳	34.75956	136.44697	1963946	1969060	Enpun	16
YokoSekishitsu1899	平田61号墳	34.75956	136.44697	1963946	1969060	Enpun	16
YokoSekishitsu1900	薬師谷1号墳	34.65622	136.43478	1925596	1936188	Enpun	16
YokoSekishitsu1901	平林7号墳	34.57794	136.52758	1936553	1947145	Hofun	16
YokoSekishitsu1902	百合山1号墳	34.24527086	135.3705162	1910986	1921578	Enpun	16
YokoSekishitsu1903	具束壺3号墳	34.22739074	135.2875955	1947510	1965407	Enpun	16
YokoSekishitsu1904	寺内28号墳	34.21137642	135.2259651	1947510	1965407	Enpun	16
YokoSekishitsu1905	寺内32号墳	34.21137642	135.2259651	1936553	1947145	Enpun	16
