key	ja-JP	latitude	longitude	first_julian_day	last_julian_day	texture	overall_length
KochiseiSite1	天神山城跡	36.825153	137.450364	1794109	1812371	BlueCircle	20
KochiseiSite2	口之津貝塚	32.620194	130.188722	1684901	1794473	BlueCircle	20
KochiseiSite3	赤坂・離山砦	36.639569	137.113989	1794109	1812371	BlueCircle	20
KochiseiSite4	鏡山山頂遺跡	33.429436	130.024567	1684901	1794473	BlueCircle	20
KochiseiSite5	黒ケ畑遺跡	33.853046	130.769176	1684901	1794473	BlueCircle	20
KochiseiSite6	扇谷遺跡	35.619768	135.066347	1739687	1764889	BlueCircle	20
KochiseiSite7	ムクリ山遺跡	32.8573	132.6704	1713755	1728365	BlueCircle	20
KochiseiSite8	湯山千人塚遺跡	32.317889	131.068417	1684901	1794473	BlueCircle	20
KochiseiSite9	釜窪丈六堂	34.355722	135.682869	1721060	1794109	BlueCircle	20
KochiseiSite10	城山山頂遺跡	31.596585	130.549936	1867522	1903681	BlueCircle	20
KochiseiSite11	駒ヶ谷遺跡	34.535427	135.628522	1721060	1794109	BlueCircle	20
KochiseiSite12	青葉丘遺跡	34.809861	135.550222	1721060	1794109	BlueCircle	20
KochiseiSite13	上峠遺跡	33.926581	132.114268	1721060	1794109	BlueCircle	20
KochiseiSite14	金怡城山遺跡	34.147694	130.946222	1684901	1794473	BlueCircle	20
KochiseiSite15	石走山遺跡	33.962292	132.022764	1721060	1794109	BlueCircle	20
KochiseiSite16	高尾山遺跡	34.372177	132.314782	1721060	1794109	BlueCircle	20
KochiseiSite17	西山貝塚	34.422965	132.485864	1757949	1830633	BlueCircle	20
KochiseiSite18	天王遺跡	34.036611	131.98225	1684901	1794473	BlueCircle	20
KochiseiSite19	岡山遺跡	34.035222	131.976694	1684901	1794473	BlueCircle	20
KochiseiSite20	岡原遺跡	33.989408	131.949572	1684901	1794473	BlueCircle	20
KochiseiSite21	柳井田遺跡	34.085222	132.091972	1684901	1794473	BlueCircle	20
