key	latitude	longitude	first_year	last_year	時代	種別	所在地
mtDNA67	43.98	26.4	-5733	-5631	5733-5631 calBCE (6796±36 BP, OxA-32540)	Balkans_N	Malak Preslavets
mtDNA68	41.8964977	12.4718662	978	1120	978-1120 calCE (1025±25 BP, UCIAMS-213634)	Italy_MA	Cancelleria
mtDNA69	47.7467	22.395	-3765	-3640	3765-3640 calBCE (4915±25 BP, PSUAMS-1746)	Balkans_CA	Urziceni
mtDNA70	43.589	16.648	-5986	-5786	5986-5786 calBCE (7000±40 BP, PSUAMS-2223)	Balkans_N	Zemunica Cave
mtDNA71	49.39	8.57	-5298	-5041	5298-5041 calBCE (6202±36 BP, OxA-23206)	LBK	Baden-Württemberg, Germany
mtDNA72	52.62	18.96	-3633	-3377	3633-3377 calBCE (4735±35 BP, Poz-71315)	CEU_MN	Pikutkowo
mtDNA73	48.595	10.5379	-5285	-5048	7235-6998 calBP	LBK	Dillingen-Steinheim
mtDNA74	44.552924	22.027563	-6062	-5917	8012-7867 calBP	Iron_Gates_HG_EN	Lepenski Vir
mtDNA75	37.666667	32.828056	-7035	-6680	7035-6680 (93%), 6670-6650 (2%) calBC	Anatolia_N	Çatalhöyük
mtDNA76	48.46	7.48	-5209	-4954	5209-4954 calBCE (6124±25 BP, LTL-18527A)	France_MN	Bas-Rhin, France
mtDNA77	37.666667	32.828056	-6905	-6590	-	Anatolia_N	Çatalhöyük
mtDNA78	45.338767	18.698861	-4584	-4458	4584-4458 calBCE (5690±25 BP, PSUAMS-4444)	Croatia_MN	Beli Manastir-Popova zemlja, Osijek
mtDNA79	40.3	29.56666667	-6500	-6200	6500-6200 BCE	Anatolia_N	Barcın Höyük
mtDNA80	43.16089	25.88341	-6025	-5847	6025-5847 calBCE (7075±37 BP, OxA-32777)	Balkans_N	Dzhulyunitsa
mtDNA81	45.338767	18.698861	-5834	-5656	5834-5656 calBCE (6850±40 BP, Poz-90129)	Starcevo	Beli Manastir-Popova zemlja
