ja-JP	en-US	longitude	latitude	first_julian_day	last_julian_day	texture	overall_length
楯築墳丘墓		133.825486	34.663056	1787169	1801779	TatetsukiIseki	72
赤坂今井墳墓		135.050556	35.643333	1787169	1801779	Hofun	39
