language_ja_jp	language_en_us	longitude	latitude	first_julian_day	texture	overall_length
富雄丸山古墳		135.752133	34.666486	1852548	TomioMaruyamaKofun	119
丸墓山古墳		139.478506	36.129308	1910988	MaruhakayamaKofun	180
