Individual ID	Run accession	Y haplogroup	MT haplogroup	Coverage nuclear	Coverage MT	Date 14C or by context	Period/Culture	Age at death	Location	Cemetery/grave	Archaeological ID	Coordinates	Reference
Kivutkalns194		R1a-Z645	T1a1b	0.147018		405-230 calBCE	Late Bronze Age		Kivutkalns, Latvia	grave 194		56.852, 24.272	Mitnik_2017
Kivutkalns25		R1a-CTS1211	H28a	1.504922		800-545 calBCE	Late Bronze Age		Kivutkalns, Latvia	grave 25		56.852, 24.272	Mitnik_2017
Kivutkalns19		R1a-CTS1211>YP1034>Y13467	H10a	5.547381		730-400 calBCE	Late Bronze Age		Kivutkalns, Latvia	grave 19		56.852, 24.272	Mitnik_2017
Turlojiske5		R1a-Z283	H5	0.055352		2100–600 BCE	Late Bronze Age		Turlojiškė II, Lithuania			54.362, 23.333	Mitnik_2017
Kivutkalns153		R1a-M417	U5a1a1	0.319192		800-545 calBCE	Late Bronze Age		Kivutkalns, Latvia	grave 153		56.852, 24.272	Mitnik_2017
V12		N-L550	I1a1c	0.245	27	360–40 calBCE	Iron Age	25–35?	Kurevere, Saare, Estonia	Kurevere, tarand VII		58.4049, 22.0066	Saag_2019
VII4		N-L1025>Y4706	T1a1b	0.342	44.6	760–400 calBCE	Iron Age	30–35	Võhma, Lääne-Viru, Estonia	Tandemägi IV at Võhma, tarand 2		59.5313, 25.8661	Saag_2019
0LS10		N-L1026	H13a1a1a	0.319	74.6	800–530 calBCE	Iron Age	17–25	Kunda, Lääne-Viru, Estonia	Hiiemägi at Kunda, tarand III, burial 9		59.4967, 26.5479	Saag_2019
VIII8		R1a-M417	H3h	0.0517	6.89	75–200 AD	Iron Age	Adult	Kerstovo, Ingria, Russia	Kerstovo I, tarand 2, square 116/234 (horizon above bedrock)		59.4638, 28.7781	Saag_2019
VII15		R1a-CTS3402	U5a2a1	0.244	76.3	45 calBCE–77 calAD	Iron Age	Adult	Kerstovo, Ingria, Russia	Kerstovo I, tarand 3, square 118/230 (horizon 3)		59.4638, 28.7779	Saag_2019
V7		R1a-M417	T2a1b1a1	0.0151	3.48	790–430 calBCE	Iron Age	35–45	Ilmandu, Harju, Estonia	Ilmandu III, tarand IV, burial 1		59.4489, 24.4831	Saag_2019
V10		R1a-Z283 (Z92?)	H1a	0.403	96.5	790–430 calBCE	Iron Age	25–35	Kunda, Lääne-Viru, Estonia	Hiiemägi at Kunda, tarand XI, burial 24		59.4967, 26.5479	Saag_2019
X04		R1a-Z645	H1c	0.256	29.2	480–360 calBCE	Iron Age	Adult	Loona, Saare, Estonia	Loona 1, outside the cist, square d/107		58.3335, 22.0196	Saag_2019
IVLS09KT		J2b-L283>Z622	H2a1	0.332	8.97	1570–1600 AD	Middle Ages	30–40	Mäletjärve, Tartu, Estonia	Mäletjärve, burial 18		58.3036, 26.9478	Saag_2019
IIf		N1a-L550	T2b	0.206	25.7	1360–1390 AD	Middle Ages	25–35	Otepää, Valga, Estonia	Otepää Piiri St., 1938, burial 1		58.0594, 26.4961	Saag_2019
IIa		N-L550*	H3h1	0.734	40.7	1230–1300 AD	Middle Ages	45+	Karja, Saare, Estonia	Karja, burial 16		58.5033, 22.7425	Saag_2019
IIg		N1a-L550	U4a2b	0.102	46.6	1210–1230/1240 AD	Middle Ages	25–35	Pada, Lääne-Viru, Estonia	Pada, burial 151		59.4494, 26.7139	Saag_2019
ILS01		R1a-M417	H11a1	0.0827	49.6	1500–1625 AD	Middle Ages	25–35	Vana-Kuuste, Tartu, Estonia	Vana-Kuuste, burial 73		58.2475, 26.7628	Saag_2019
0LS03		R1a-Z92	U4d1	0.0696	15.1	1180–1220/1240 AD	Middle Ages	25–30	Kukruse, Ida-Viru, Estonia	Kukruse, burial 9		59.3828, 27.3639	Saag_2019
