key	latitude	longitude	en-US	first_julian_day	last_julian_day	min_size	max_size
mtDNA_Siberia51	41.5013889	75.7947222	H13a2a	1811384	1988307	0	1000
mtDNA_Siberia52	42.9019444	68.2488889	HV13b	1713645	1923148	0	1000
mtDNA_Siberia53	42.156667	77.405556	C4b1	1739942	1940680	0	1000
mtDNA_Siberia54	49.0777778	20.3172222	U4	1754844	1950614	0	1000
mtDNA_Siberia55	52.5047222	76.6147222	D4j8	1959088	2086777	0	1000
mtDNA_Siberia56	52.6430556	76.7105556	A	1892906	2042655	0	1000
mtDNA_Siberia57	52.1738889	77.0397222	J1b1a1	1611085	1854775	0	1000
mtDNA_Siberia58	47.282396	39.541034	J1c5a1	1903863	2049960	0	1000
mtDNA_Siberia59	42.8291667	68.325	HV21	1782895	1969315	0	1000
mtDNA_Siberia60	47.293449	39.54598	I1	1605825	1851268	0	1000
mtDNA_Siberia61	42.159444	77.406389	U5a1b1e	1708385	1919642	0	1000
mtDNA_Siberia62	49.060646	75.5032	A	1324443	1663680	0	1000
mtDNA_Siberia63	41.4280556	75.3297222	HV6	1555860	1817958	0	1000
mtDNA_Siberia64	48.48834	74.42547	U2e1'2'3	1330140	1667478	0	1000
mtDNA_Siberia65	46.9972222	66.2858333	I1b	2149306	2213589	0	1000
mtDNA_Siberia66	43.14	76.2252778	W3b	1427441	1732345	0	1000
mtDNA_Siberia67	54.6758333	90.8536111	N1a1a1a1	1219253	1593553	0	1000
mtDNA_Siberia68	54.6758333	90.8536111	A8a1	1219253	1593553	0	1000
mtDNA_Siberia69	52.836944	62.893611	C4b1	1778074	1966101	0	1000
mtDNA_Siberia70	43.2222222	77.8472222	J1c5a	1457245	1752215	0	1000
mtDNA_Siberia71	41.4280556	75.3297222	H2a1	1476530	1765071	0	1000
mtDNA_Siberia72	54.6758333	90.8536111	W1c	1219253	1593553	0	1000
mtDNA_Siberia73	42.5930556	68.0505556	U2e2a1	1692169	1908831	0	1000
mtDNA_Siberia74	53.929821	55.74255	J1c3a	820846	1327949	0	1000
mtDNA_Siberia75	53.929821	55.74255	H101	851965	1348695	0	1000
mtDNA_Siberia76	53.929821	55.74255	HV0a	814053	1323420	0	1000
mtDNA_Siberia77	53.929821	55.74255	U5a1a1	827859	1332624	0	1000
mtDNA_Siberia78	53.929821	55.74255	HV0a	811642	1321813	0	1000
mtDNA_Siberia79	53.946393	55.52351	T2a1b1a	815148	1324150	0	1000
mtDNA_Siberia80	46.661735	29.828356	C5c	1206981	1585372	0	1000
mtDNA_Siberia81	46.661735	29.828356	H9a	1220348	1594284	0	1000
mtDNA_Siberia82	49.40063	31.593724	J2b1a6	1334304	1670254	0	1000
mtDNA_Siberia83	46.668812	29.799966	U5b2a3	1466668	1758497	0	1000
mtDNA_Siberia84	46.668812	29.799966	U4a2a	1480255	1767555	0	1000
mtDNA_Siberia85	46.668812	29.799966	U5a2b	1463819	1756597	0	1000
mtDNA_Siberia86	51.075425	55.067183	T1a	1659516	1887062	0	1000
mtDNA_Siberia87	52.985029	58.124284	D4q	1667186	1892175	0	1000
mtDNA_Siberia88	52.985029	58.124284	U5b2b	1695894	1911314	0	1000
mtDNA_Siberia89	37.455728	60.74589	J1	999888	1447310	0	1000
mtDNA_Siberia90	53.188889	103.368056	D4j	1114939	1524011	0	1000
mtDNA_Siberia91	53.305983	67.648166	R1b1	1044594	1477114	0	1000
mtDNA_Siberia92	53.547806	91.02565	A8a1	1429413	1733660	0	1000
mtDNA_Siberia93	53.547806	91.02565	H6a	1522769	1795898	0	1000
mtDNA_Siberia94	54.371767	91.506856	C5c	1373312	1696259	0	1000
mtDNA_Siberia95	53.156486	90.207811	A+152	1518825	1793268	0	1000
