key	value
SAinu1	Not-oro
SAinu2	Kotomari
SAinu3	Not-oro
SAinu4	Ohakotan
SAinu5	Siranusi
SAinu6	Siranusi
SAinu7	Kus-un-enrum
SAinu8	Horey
SAinu9	Siranusi
SAinu10	Temo
SAinu11	Cimotonay
SAinu12	Pesitomanay
SAinu13	Bisiyasan
SAinu14	Cisiya
SAinu15	Cis-ya
SAinu16	Akaranay
SAinu17	Sir-etok
SAinu18	Akara
SAinu19	Nobori
SAinu20	Kamuy-tomari
SAinu21	Sirar
SAinu22	Itohune
SAinu23	Inahonupuri
SAinu24	Tanne-pira
SAinu25	Mogotuy
SAinu26	Soni
SAinu27	Wen-not
SAinu28	Raytomari
SAinu29	Cikap-tomari
SAinu30	Mogoci
SAinu31	Nosu
SAinu32	Uruy
SAinu33	Motunay
SAinu34	Nosu
SAinu35	Wen-cis
SAinu36	Wen-cis
SAinu37	Cisahukenay
SAinu38	Hucie
SAinu39	Osokomanay
SAinu40	Cipotupe
SAinu41	Naysiya
SAinu42	Toksunay
SAinu43	Ohuerunhe
SAinu44	Otukeykari
SAinu45	Atturitanay
SAinu46	Atturitanay
SAinu47	Riya-tomari
SAinu48	Ar-utor
SAinu49	Otukotosi
SAinu50	Buci
SAinu51	Ohoy
SAinu52	Riyausinay
SAinu53	Riya-usi-nay
SAinu54	Usinekoro
SAinu55	Tukar
SAinu56	Teyas
SAinu57	Wen-nupuri
SAinu58	Umnay
SAinu59	Eseenka
SAinu60	Umnay
SAinu61	Toykusi
SAinu62	Kapar-sirar
SAinu63	Horopotanay
SAinu64	Onnenusinay
SAinu65	Onnenusioy
SAinu66	Tomariunnay
SAinu67	Kaetecisiho
SAinu68	Kapetecisiho
SAinu69	Cikap-tomari
SAinu70	Ociyasnay
SAinu71	Sir-utur
SAinu72	Todomosiri
SAinu73	Satutoho
SAinu74	Munusinay
SAinu75	Us
SAinu76	Oman-pet
SAinu77	Honhotanay
SAinu78	Tomarizara
SAinu79	Haciko-nay-po
SAinu80	Omanpetmaruy
SAinu81	Haciko-nay-po
SAinu82	Atowatannay
SAinu83	Cisinay
SAinu84	Cisine
SAinu85	Manpet
SAinu86	Tomari
SAinu87	Yaromanay
SAinu88	Otarbe
SAinu89	Kus-un-not-po
SAinu90	Okosomanay
SAinu91	Siseekka
SAinu92	Yamanpet
SAinu93	Pesitor
SAinu94	En-rum
SAinu95	Kito-usi-nay
SAinu96	Hure
SAinu97	Kinusi
SAinu98	Minapet
SAinu99	Ciyukos
SAinu100	Minapet
SAinu101	Hure-suma
SAinu102	Yosinay
SAinu103	Moyre-tomari
SAinu104	Yosinay
SAinu105	Yosinay
SAinu106	Wenpet
SAinu107	O-hure-suma
SAinu108	Toyoksi
SAinu109	Poro-to
SAinu110	Hure-suma
SAinu111	Poroto
SAinu112	Monzenay
SAinu113	Nayasi
SAinu114	Munsiyausinay
SAinu115	Uriyu
SAinu116	Ponnayasi
SAinu117	Mosir
SAinu118	Nayonnay
SAinu119	Soya-oma-pet
SAinu120	Uriu
SAinu121	Mo-sirar-usi-nay
SAinu122	Kociyopet
SAinu123	Aynupet
SAinu124	Rep-un-soya
SAinu125	Ninausi
SAinu126	Sirar-usi-nay
SAinu127	Nina-usi
SAinu128	To-put
SAinu129	Pon-nupuri
SAinu130	Sipsinaypo
SAinu131	Nuccikey
SAinu132	Ninausi
SAinu133	Tomari-kes
SAinu134	Otowa
SAinu135	Sibunay
SAinu136	Penkecirayunnay
SAinu137	Cirayunnay
SAinu138	Ninausi
SAinu139	Sibunay
SAinu140	Uini
SAinu141	Yoyoksi
SAinu142	Ikatukinay
SAinu143	Ni-o-tomari
SAinu144	Arkuri
SAinu145	Nay-po-oro
SAinu146	Si-nay
SAinu147	Nay-po
SAinu148	Nay-po-oro
SAinu149	Way
SAinu150	Poro-nay-po
SAinu151	Naytomo
SAinu152	Horhuni
SAinu153	Kamatomari
SAinu154	Okobaci
SAinu155	Kinausientomo
SAinu156	Kenusinaybo
SAinu157	Repun
SAinu158	Hehurenay
SAinu159	Artotannay
SAinu160	Usinekoro
SAinu161	Repunkepet
SAinu162	Toykusi
SAinu163	Nay-po-oro
SAinu164	So-ya
SAinu165	Soya
SAinu166	Pe-hure-nay
SAinu167	Esonkoomanay
SAinu168	Haciko-pet
SAinu169	Okosinaybo
SAinu170	Ohoetomari
SAinu171	Entomoka
SAinu172	Ota-sam
SAinu173	Otayrenko
SAinu174	Tesiyanaybo
SAinu175	Pon-to
SAinu176	Hennay
SAinu177	Abi
SAinu178	Yutotannay
SAinu179	Kito-usi-not
SAinu180	Tarannay
SAinu181	Senobori
SAinu182	Merey
SAinu183	Akkepsinaypo
SAinu184	Poro-an-tomari
SAinu185	Yangenay
SAinu186	Yanke-nay
SAinu187	Kus-un-kotan
SAinu188	Akkepsinaypo
SAinu189	Rira
SAinu190	Poro-to
SAinu191	Bokkotomari
SAinu192	Tokonbo
SAinu193	Hahako
SAinu194	Mo-iwa
SAinu195	To-pa
SAinu196	Toromay
SAinu197	To-pa
SAinu198	Husko-kotan
SAinu199	Pon-to-kes
SAinu200	Abi
SAinu201	Oyakuci
SAinu202	Yoriuta
SAinu203	Sausi
SAinu204	Usipet
SAinu205	Topusi
SAinu206	To-kitay
SAinu207	To-kitay
SAinu208	Harsi
SAinu209	Tenetomari
SAinu210	Tenkon
SAinu211	Ranetoy
SAinu212	Rutaka
SAinu213	Rutaka
SAinu214	Wenuannay
SAinu215	Honuyci
SAinu216	Turaomoy
SAinu217	Kimnadaenrum
SAinu218	Koaynu
SAinu219	Susuya
SAinu220	Oko
SAinu221	Tonnayca
SAinu222	Kamoykusi
SAinu223	Ican
SAinu224	Tuy
SAinu225	Ican
SAinu226	Koaynu
SAinu227	Ican
SAinu228	Icankitan
SAinu229	Ciray
SAinu230	Oaynu
SAinu231	Perono
SAinu232	Suytomtomari
SAinu233	Hiroro
SAinu234	Aberasani
SAinu235	Asannay
SAinu236	To-poro
SAinu237	Nouni
SAinu238	Pisiyunataenrum
SAinu239	Poropesipo
SAinu240	Yarihik
SAinu241	Toy-oma-nay
SAinu242	Toyomanay
SAinu243	Isanikur
