key	value
HAinu229	O-sar-us-nay
HAinu230	Cip-ranke-us-i
HAinu231	Samo-oma-i
HAinu232	Poro-nay
HAinu233	Riyam-nay
HAinu234	Mosa
HAinu235	Pet-po
HAinu236	To-kotan
HAinu237	Si-mukap
HAinu238	Peker-pet
HAinu239	Otop-ke?
HAinu240	Ota-noski
HAinu241	Wen-horka-pet
HAinu242	Teyne-ru
HAinu243	O-poro-pet
HAinu244	Kuma-us-i
HAinu245	Kamuy-hattar
HAinu246	Ar-rur
HAinu247	Nup-utur
HAinu248	Aykap
HAinu249	Ciwrup
HAinu250	Ci-kisa-p
HAinu251	Tuy-pira
HAinu252	Nitu-oma-p
HAinu253	Pira-kes
HAinu254	Caro
HAinu255	Pipa-us-i
HAinu256	Toma-ta-oro
HAinu257	Sinpuy
HAinu258	To-ya
HAinu259	Tomam
HAinu260	Kene-pok
HAinu261	Si-kari-pet
HAinu262	Pipa-sey
HAinu263	Turi-tuye-us-i
HAinu264	Moy-sut
HAinu265	Moyre-tomari
HAinu266	Terke-us-i
HAinu267	Naypo
HAinu268	Ki-ta-p
HAinu269	Kot-ne-i
HAinu270	Kapar-hup
HAinu271	Sittok
HAinu272	Husko-satporo
HAinu273	Kiroru
HAinu274	Nup-or-o-pet
HAinu275	E-san-pitar
HAinu276	Sa-or-o-pet
HAinu277	(Hasyamu)
HAinu278	Ciray-kari-pet
HAinu279	Tapkop
HAinu280	Mo-iwa
HAinu281	Okkay-tam-carpa
HAinu282	Sita-kara?
HAinu283	O-suwop
HAinu284	Teyne-nitat
HAinu285	To-isikara
HAinu286	Mose-us-i
HAinu287	Si-kari-pet
HAinu288	Ican-nay
HAinu289	Sir-sut
HAinu290	Pes-poki
HAinu291	Ni-un-nay
HAinu292	Kamuy-nay
HAinu293	Poro-to
HAinu294	To-or
HAinu295	Pon-poroto
HAinu296	Haru-us
HAinu297	Hure-suma
HAinu298	Poro-moy
HAinu299	Kuttar-us-i
HAinu300	Supun-pet
HAinu301	Suporo
HAinu302	Yuk-turasi-pet
HAinu303	Para-to
HAinu304	Sino-or-o
HAinu305	Uri-mak
HAinu306	Pira-un-pet
HAinu307	Pana-un-kuru-ya-sotke
HAinu308	At-us-nay
HAinu309	Hup-us-nay
HAinu310	At-nay
HAinu311	Oya-hur
HAinu312	Nupka
HAinu313	Ane-pet
HAinu314	Inaw
HAinu315	San-nay
HAinu316	Ran-osma-nay
HAinu317	Erum-nay
HAinu318	Tes-pet
HAinu319	Ninum-us-pet
HAinu320	Us-or
HAinu321	Num-oma-nay
HAinu322	Su-ya
HAinu323	Pekanpe-us-i
HAinu324	Temmun-ya
HAinu325	Tukar-iso
HAinu326	To-pet
HAinu327	Pirka-an-pe
HAinu328	Kapar-sirar
HAinu329	Pet-utka
HAinu330	Ota-moy
HAinu331	Senpir
HAinu332	Kompu-moy
HAinu333	Sir-not
HAinu334	Set-cir
HAinu335	Poro-nay
HAinu336	At-tuk-to
HAinu337	Sikutur
HAinu338	Retar-pira
HAinu339	Yam-pe
HAinu340	Tapkop
HAinu341	Ci-o-pus-i
HAinu342	Inaw-us-i
HAinu343	(Siyutup)?
HAinu344	Pon-pet
HAinu345	To-paye
HAinu346	Onne-to
HAinu347	Ak-pet
HAinu348	Kuci-or
HAinu349	Sunku-nitay
HAinu350	Nona-oma-i
HAinu351	Aykap
HAinu352	Num-ot-pe
HAinu353	Ka-us-nay
HAinu354	Onne-ya-us-pet
HAinu355	(Biiuni)
HAinu356	Poro-mosir
HAinu357	Mo-ray
HAinu358	Pon-i-o-i
HAinu359	Metot
HAinu360	Tum-sir-us-i
HAinu361	Ciray-ot
HAinu362	Asir-kotan
HAinu363	Rani
HAinu364	Kuca-nay
HAinu365	Hure-pet
HAinu366	Poro-not
HAinu367	Kito-us
HAinu368	Ukoyki-us-i
HAinu369	Not-ka
HAinu370	At-kar-us-i
HAinu371	Kotan-pet
HAinu372	Poro-moy
HAinu373	Osor-kot
HAinu374	Koy-oma-i
HAinu375	Noka-pira
HAinu376	Mosir-kes-oma-nay
HAinu377	Sat-pi-nay
HAinu378	Nu-us-pet
HAinu379	Kotan-nay
HAinu380	Pe-pe-ruy
HAinu381	Cas-nay
HAinu382	Isopo-un-nay
HAinu383	Oyoci
HAinu384	Not-sam
HAinu385	Pet-kay
HAinu386	Kuma-us-i
HAinu387	Asoro
HAinu388	Pet-tukari
HAinu389	At-ta
HAinu390	O-soki?-nay
HAinu391	Ya-soske
HAinu392	Naey
HAinu393	Kina-us-nay
HAinu394	Akam
HAinu395	Sattek-nay
HAinu396	Sum-pet
HAinu397	Pon-pet
HAinu398	Si-pet-ca
HAinu399	Tomam
HAinu400	O-sat-nay
HAinu401	Ri-kun-pet
HAinu402	Tu-kotan
HAinu403	Kunne-pet
HAinu404	Notka-an
HAinu405	Nu-us-pet
HAinu406	Nitat-or-oma-p
HAinu407	Pokin-pir
HAinu408	Horka-nay
HAinu409	Keneu-oika
HAinu410	?
HAinu411	To-horo
HAinu412	Yam-wakka-nay
HAinu413	Tes-ka-ka
HAinu414	Sar-tom-oma-nay
HAinu415	Mosir-kes-oma-nay
HAinu416	Pira-kes
HAinu417	Iwor-us-i
HAinu418	So-rapci
HAinu419	Hure-pira
HAinu420	Pe-rua?
HAinu421	Ota-etu
HAinu422	Mata-ot-i
HAinu423	Kutcar
HAinu424	Pipa-us-i
HAinu425	Pi-san-pet
HAinu426	O-sikina-us-i
HAinu427	Oya-kot
HAinu428	Notkew
HAinu429	U-pak-pet
HAinu430	Amam-suke
HAinu431	Susu-un-nay
HAinu432	Yupe-ot
HAinu433	Mosa
HAinu434	Rawne-nay
HAinu435	Pon-kun-pet?
HAinu436	Anci
HAinu437	Onne-kikin
HAinu438	Sipe-nay
HAinu439	Casi-kot
HAinu440	O-sirar-ika
HAinu441	Poro-kunpet
HAinu442	Pon-kikin
HAinu443	Si-pet
HAinu444	Tokko(Ni)-kotan
HAinu445	O-ketu-un-nay
HAinu446	Mem
HAinu447	O-tuye-pok
HAinu448	Cise-so-us-pet
HAinu449	Ican-i
HAinu450	Mose-us-i
HAinu451	Etaye-pet
HAinu452	Ooho-nay
HAinu453	Ciw-ruy
HAinu454	Kamuy-kotan
HAinu455	O-sa-nanke-p
HAinu456	Uhuy
HAinu457	Ican
HAinu458	Upun
HAinu459	Kotanu-ka
HAinu460	Haru-us-nay
HAinu461	Onne-yu
HAinu462	－
HAinu463	Hetce-us-i
HAinu464	Ci-kus-pet
HAinu465	Iwaw-o-i
HAinu466	Sat-ru
HAinu467	Ru-pes-pe
HAinu468	Kunne-pet
HAinu469	Cikap-un-i
HAinu470	Aynu-o-nay
HAinu471	Pipa-us-i
HAinu472	Tat-us-nay
HAinu473	Sakipe-moy
HAinu474	Pes-tukari
HAinu475	Panke-sir-utur-oma-p
HAinu476	E-pis-oma-p
HAinu477	Nup-kes
HAinu478	Poro-nay
HAinu479	Rucis-pok
HAinu480	Si-yupet
HAinu481	Poro-nupka-pet
HAinu482	Ota-noski
HAinu483	Nup-sam-pet
HAinu484	Pas-pet
HAinu485	Sat-kuma
HAinu486	Sar
HAinu487	I-ika-us-i
HAinu488	Susu-us-nay
HAinu489	Uray-us-pet
HAinu490	Ay-pet
HAinu491	Ahun-i
HAinu492	Ni-kor
HAinu493	Suma-tukari-pet
HAinu494	Rewke-p
