key	file_name_type	data_type	file_path	z	min_x	min_y	max_x	max_y	file_name_extension	file_format
elevation	z_original	s16	Data/Map/XYZTile/Elevation/Data/ElevationData20231030/2010/8/	8	0	0	255	255	.bin	binary
slope	z_original	u8	Data/XYZTiles/Slope_GMTED2010_8bit/2010/8/	8	0	0	255	255	.bin	binary
district	z_original	u8	Data/XYZTiles/Ryoseikoku_20230626_TSV/1868/10/	10	861	366	950	441	.tsv	numeric_tsv
