ja-JP	ko-KR	en-US	longitude	latitude	min_size	max_size
ビイウニ	(비이우니)	(Biiuni)	140.5994444	43.29666667	1	4
ピウカ	(비우가)	(Biuka)	142.3380556	42.50722222	1	4
ハシャム	(하샤무)	(Hasyamu)	141.2775	43.09916667	1	4
カチロコイ	(가지로괴)?	(Kacirokoi)?	144.4541667	42.94527778	1	4
ニナ	(니나)	(Nina)	142.1069444	42.57555556	1	4
オクリキナ	(오구리기나)?	(Okurikina)?	141.3683333	43.50861111	1	4
リコナイ	(리고)?내	(Riko)?-Nay	140.4286111	41.67722222	1	4
サンチプ	(산)?집	(San)?-Cip	141.6466667	43.96833333	1	4
シヨロロ	(시요로로)?	(Siyororo)?	144.1502778	42.9825	1	4
シユツプ	(시유둡)?	(Siyutup)?	141.4127778	43.26083333	1	4
トピウ	(도비우)?	(Topiu)?	141.2383333	42.47694444	1	4
トプヨカオロ	(도부요가오로)?	(Topuyokaoro)?	143.5505556	42.81305556	1	4
ウシヤ	(우시야)	(Usiya)	141.6544444	43.99777778	1	4
アフンイ	아훈이	Ahun-I	141.605	43.895	1	4
アクペッ	악벧	Ak-Pet	144.1083333	43.27861111	1	4
アカム	아감	Akam	144.0933333	43.43277778	1	4
アマムスケ	아맘수게	Amam-Suke	141.3836111	43.60194444	1	4
アンチ	안지	Anci	143.5077778	43.64138889	1	4
アネペッ	아네벧	Ane-Pet	145.1941667	43.19416667	1	4
アネサラ	아네사라	Ane-Sara	142.7216667	42.22833333	1	4
アプナイ	압내	Ap-Nay	143.8180556	42.80833333	1	4
アラルル	알룰	Ar-Rur	141.8197222	43.01638889	1	4
アシリコタン	아실고단	Asir-Kotan	145.3325	43.32305556	1	4
モアソロ	아소로	Asoro	143.9836111	43.395	1	4
アッカラシウイ	앋갈웃이	At-Kar-Us-I	141.7238889	43.35666667	1	4
アッナイ	앋내	At-Nay	141.0155556	43.18222222	1	4
アッタ	앋다	At-Ta	141.4322222	43.39888889	1	4
アットウクト	앋둑도	At-Tuk-To	145.2522222	43.22972222	1	4
アッウシナイ	앋웃내	At-Us-Nay	141.0613889	43.17611111	1	4
アトウイカ	아듸가	Atuy-Ka	144.6316667	42.9525	1	4
アイペッ	애벧	Ay-Pet	142.5827778	43.89472222	1	4
アイカプ	애갑	Aykap	144.8416667	43.02527778	1	4
アイカプ	애갑	Aykap	143.5622222	43.29027778	1	4
アイヌオナイ	애누오내	Aynu-O-Nay	143.7583333	43.79777778	1	4
アイウシニウシイ	애웃니웃이	Ayusni-Us-I	143.6080556	42.74722222	1	4
チャロ	자로	Caro	143.9861111	43.0375	1	4
チャナイシ	잣내	Cas-Nay	141.8708333	43.37777778	1	4
チャシ	자시	Casi	140.9933333	42.32611111	1	4
チャシコッ	자시곧	Casi-Kot	143.5430556	42.77305556	1	4
チャシコッ	자시곧	Casi-Kot	145.1441667	43.64555556	1	4
チェププシポウイ	젭봅웃이	Cep-Pop-Us-I	144.7202778	42.98277778	1	4
プチェウント	젭운도	Cep-Un-To	142.405	44.43777778	1	4
チェッポオチ	제뽀오지	Ceppo-Oci	141.2175	45.10972222	1	4
チェウレ	즈레?	Ceure?	141.3275	44.425	1	4
チエオタ	지에오다	Ci-E-Ota	143.3586111	42.94722222	1	4
チキサプ	지기삽	Ci-Kisa-P	142.7994444	42.15166667	1	4
チキサプ	지기삽	Ci-Kisa-P	141.3952778	43.03138889	1	4
チクペッシ	지굿벧	Ci-Kus-Pet	141.9638889	43.76666667	1	4
チオプシイ	지오붓이	Ci-O-Pus-I	143.5844444	42.66	1	4
チオプシイ	지오붓이	Ci-O-Pus-I	145.5547222	43.255	1	4
チカウンイプ	지갑운이	Cikap-Un-I	142.3186111	43.79388889	1	4
チカイェプ	지개엡	Cikayep	143.0727778	42.06027778	1	4
チプオマナイ	집오마내	Cip-Oma-Nay	144.7344444	42.93888889	1	4
チプシランケウイ	집란게웃이	Cip-Ranke-Us-I	144.7194444	42.98361111	1	4
チリプオ	질옵	Cir-O-P	140.2486111	41.46527778	1	4
