key	longitude	latitude	max_size
WamyoKori1	141.1175	39.03944444	1.8
WamyoKori2	141.1905556	39.09138889	16
WamyoKori3	141.1194444	38.92138889	6
WamyoKori4	140.9766667	38.61694445	2
WamyoKori5	140.9755556	38.30736111	3
WamyoKori6	140.8455556	38.55481482	10
WamyoKori7	141.3575	38.56513889	4
WamyoKori8	140.8731111	37.99544444	6
WamyoKori9	140.9552778	38.73888889	3
WamyoKori10	140.8873148	38.16138889	2
WamyoKori11	140.7555556	38.61111111	2
WamyoKori12	140.8041667	38.085	2
WamyoKori13	140.8948611	38.43333334	4
WamyoKori14	140.8245834	38.68791667	2
WamyoKori15	141.0222222	38.59972222	1
WamyoKori16	140.7597222	37.97388889	2
WamyoKori17	140.9463889	38.55518519	1.4
WamyoKori18	141.1341667	38.66472222	3
WamyoKori19	141.1193056	38.56472223	1.5
WamyoKori20	140.1565278	39.69430556	16
WamyoKori21	140.5643518	39.49861111	5
WamyoKori22	140.53	38.96222222	10
WamyoKori23	140.4269444	39.34555556	9
WamyoKori24	140.1484259	39.47129629	5
WamyoKori25	140.0625	38.08009259	6
WamyoKori26	140.3488889	38.32527778	2
WamyoKori27	139.893	38.81533334	3
WamyoKori28	140.2225	38.27444445	10
WamyoKori29	139.7765972	38.67270833	9
WamyoKori30	139.9086111	38.99722222	1.1
WamyoKori31	140.3866667	37.41402778	7
WamyoKori32	140.9760185	37.61185185	6
WamyoKori33	140.9852778	37.49763889	3
WamyoKori34	140.4985185	37.72407407	8
WamyoKori35	140.3516667	37.24444444	4
WamyoKori36	140.7655556	36.94180556	4
WamyoKori37	140.338373	37.03781746	5
WamyoKori38	140.9110185	37.06986111	16
WamyoKori39	139.9177778	37.44511111	16
WamyoKori40	139.8811111	36.11125	2.4
WamyoKori41	140.4881667	36.03387037	4.6
WamyoKori42	140.2503333	36.19961111	2.6
WamyoKori43	140.0891667	36.01805556	2
WamyoKori44	140.5801496	36.07388889	4.2
WamyoKori45	140.0586111	36.32173611	2.4
WamyoKori46	140.1154167	36.31375	2
WamyoKori47	140.529132	36.55510417	3.2
WamyoKori48	140.4490385	36.4092094	4.2
WamyoKori49	139.9644444	36.16125	2
WamyoKori50	139.8595834	36.24125	2
WamyoKori51	140.2783838	35.98840909	3.8
WamyoKori52	140.685754	36.73206349	3
WamyoKori53	140.1733333	35.86972222	1.8
WamyoKori54	140.7022222	36.71027778	1.8
WamyoKori55	140.3844444	36.63305556	1.8
WamyoKori56	140.0975926	36.03555555	2.2
WamyoKori57	140.4791667	36.15916667	1.8
WamyoKori58	139.965	36.30805556	1.8
WamyoKori59	140.4222222	36.57361111	1.8
WamyoKori60	140.2816667	36.58972222	2.2
WamyoKori61	140.4117222	36.5905	2.6
WamyoKori62	140.325	36.5775	1.8
WamyoKori63	139.4718056	36.30458334	2
WamyoKori64	140.1053333	36.49105556	2.6
WamyoKori65	139.7459028	36.48423611	2.4
WamyoKori66	140.1335185	36.79032407	2.8
WamyoKori67	139.9507871	36.77101852	2.8
WamyoKori68	139.7481945	36.26847222	2
WamyoKori69	139.7501667	36.40433333	2.6
WamyoKori70	139.5934723	36.38361111	2
WamyoKori71	139.4497222	36.33481482	2.2
WamyoKori72	139.5847222	36.30833333	1.8
WamyoKori73	139.8858333	36.5625	1.8
WamyoKori74	139.4247222	36.34305556	1.8
WamyoKori75	139.0939583	36.69604167	2.4
WamyoKori76	138.8581746	36.32666667	3
WamyoKori77	139.1303333	36.33133333	2.6
WamyoKori78	139.3252778	36.29925926	2.2
WamyoKori79	138.8458333	36.58861111	2
WamyoKori80	139.2378704	36.34481482	2.2
WamyoKori81	139.0786806	36.23159723	2.4
WamyoKori82	139.4416667	36.21555556	1.8
WamyoKori83	138.9949306	36.25861111	2.4
WamyoKori84	138.8704445	36.25569444	3.6
WamyoKori85	139.0762037	36.44851852	2.2
WamyoKori86	139.0104514	36.41458333	3.2
WamyoKori87	138.9903472	36.40548611	2.4
WamyoKori88	139.3102778	35.88666667	1.8
WamyoKori89	139.3991667	36.13	1.8
WamyoKori90	139.5463889	36.10597222	2
WamyoKori91	139.2115278	36.055	2
WamyoKori92	139.0558334	35.97819445	2
WamyoKori93	139.4325	36.04138889	1.8
WamyoKori94	139.3493519	35.92222222	2.2
WamyoKori95	139.2702778	36.22972222	1.8
WamyoKori96	139.3325	36.03888889	1.8
WamyoKori97	139.6947222	36.10388889	1.8
WamyoKori98	139.595	35.89083333	1.8
WamyoKori99	139.0780556	36.13277778	1.8
WamyoKori100	139.1666667	36.24777778	1.8
WamyoKori101	139.5569444	35.81555556	1.8
WamyoKori102	139.1705556	36.17319445	2
WamyoKori103	139.3348148	36.20481481	2.2
WamyoKori104	140.1387222	35.49966667	2.6
WamyoKori105	140.4811574	35.67076389	4
WamyoKori106	140.4284259	35.68407408	2.8
WamyoKori107	139.9667592	35.02027778	2.2
WamyoKori108	140.3578333	35.55411111	2.6
WamyoKori109	140.2529167	35.44611111	2.4
WamyoKori110	140.4562963	35.86324074	2.2
WamyoKori111	140.3438889	35.21833333	1.8
WamyoKori112	139.8705556	34.95506945	2.4
WamyoKori113	139.9444444	35.71555556	1.8
WamyoKori114	140.0536806	35.10506945	2.4
WamyoKori115	139.9316667	35.30726852	2.8
WamyoKori116	139.9501389	35.42486111	2
WamyoKori117	140.1909722	35.68166667	2
WamyoKori118	140.3014445	35.64927778	2.6
WamyoKori119	139.8577778	35.08893519	2.8
WamyoKori120	140.5167593	35.71833333	2.8
WamyoKori121	140.2003086	35.76419753	3.4
WamyoKori122	139.8850926	35.23546296	2.2
WamyoKori123	140.1372222	35.84888889	1.8
WamyoKori124	139.7432778	35.71577778	2.6
WamyoKori125	139.4459722	35.67916667	2
WamyoKori126	139.6312037	35.23092593	2.2
WamyoKori127	139.5386112	35.32472223	2
WamyoKori128	139.4375	35.37952381	3
WamyoKori129	139.1423148	35.26657407	2.2
WamyoKori130	139.6233333	35.56055556	1.8
WamyoKori131	139.6142592	35.43287037	2.2
WamyoKori132	139.5372222	35.5275	1.8
WamyoKori133	139.3342778	35.365	3.6
WamyoKori134	139.2764815	35.32222222	2.2
WamyoKori135	139.1377778	35.31333334	2
WamyoKori136	139.3272222	35.44777778	1.8
WamyoKori137	139.3302778	35.55527778	1.8
WamyoKori138	138.9756481	37.71444444	10
WamyoKori139	138.4686111	38.04472222	1.8
WamyoKori140	138.3631945	37.89423611	2.4
WamyoKori141	138.9944445	37.40666667	2
WamyoKori142	139.4695834	38.22152778	16
WamyoKori143	138.3706945	37.97138889	2.4
WamyoKori144	138.4162037	38.03324074	2.2
WamyoKori145	138.2836667	37.08494444	2.6
WamyoKori146	137.1625	36.67277778	2
WamyoKori147	137.3739815	36.8175	2.2
WamyoKori148	136.9139445	36.60922222	2.6
WamyoKori149	137.0211111	36.76483333	2.6
WamyoKori150	136.9159444	36.99605556	2.6
WamyoKori151	137.2256481	37.44574074	2.2
WamyoKori152	136.5899444	36.50788889	2.6
WamyoKori153	136.7708333	36.90361111	1.8
WamyoKori154	136.6472222	36.55583333	1.8
WamyoKori155	136.3430556	36.319375	2.4
WamyoKori156	136.6592593	36.56833333	2.2
WamyoKori157	136.5026389	36.41847222	2
WamyoKori158	136.7272222	36.69333333	1.8
WamyoKori159	136.2144445	36.082	2.6
WamyoKori160	135.8089445	35.47961111	2.6
WamyoKori161	135.9216667	35.55958334	2
WamyoKori162	136.1482639	35.95284722	2.4
WamyoKori163	136.2324537	36.15384259	2.8
WamyoKori164	136.2004861	35.90743056	2.4
WamyoKori165	135.5611111	35.48138889	2
WamyoKori166	136.5083333	36.04555556	1.8
WamyoKori167	136.0755555	35.75740741	2.2
WamyoKori168	138.6452778	35.65972223	2
WamyoKori169	138.6289815	35.6112037	2.2
WamyoKori170	138.642037	35.67259259	2.2
WamyoKori171	138.9314815	35.56685185	2.2
WamyoKori172	138.4380093	36.2900463	2.8
WamyoKori173	138.0842222	35.97705556	2.6
WamyoKori174	137.9769445	36.21138889	2
WamyoKori175	138.3170371	36.71212963	2.2
WamyoKori176	137.9124074	35.62777778	2.2
WamyoKori177	138.2271111	36.39211111	2.6
WamyoKori178	138.1080556	36.54388889	3.2
WamyoKori179	137.9627778	36.36618056	2.4
WamyoKori180	138.2378241	36.67273148	2.8
WamyoKori181	138.1581349	36.51698413	3
WamyoKori182	136.7530555	35.45398148	2.2
WamyoKori183	137.0635556	35.40411111	2.6
WamyoKori184	136.9226389	35.58236112	2
WamyoKori185	136.5602083	35.29694444	3.2
WamyoKori186	137.1911111	36.2325	2
WamyoKori187	136.6886111	35.45342593	2.2
WamyoKori188	136.8204167	35.49854167	2.4
WamyoKori189	136.5983796	35.48319445	2.8
WamyoKori190	136.8675926	35.39787037	2.2
WamyoKori191	136.6365972	35.38090278	2.4
WamyoKori192	136.6775	35.46481482	2.2
WamyoKori193	136.5684259	35.44212963	2.2
WamyoKori194	136.5311508	35.3675	3
WamyoKori195	137.4103703	35.55472222	2.2
WamyoKori196	136.75375	35.39569445	2
WamyoKori197	137.0358889	35.47461111	2.6
WamyoKori198	136.6208333	35.19333333	1.8
WamyoKori199	137.2030556	35.36138889	1.8
WamyoKori200	136.9168056	35.51652778	2.4
WamyoKori201	137.1877778	35.37	2
WamyoKori202	136.9930556	35.51416667	1.8
WamyoKori203	137.7867361	34.68805556	2.4
WamyoKori204	137.8638889	34.81388889	1.8
WamyoKori205	137.9883333	34.77291667	2
WamyoKori206	138.9509568	35.04601852	3.4
WamyoKori207	138.6957639	35.14763889	2.4
WamyoKori208	138.2758333	34.87800926	2.8
WamyoKori209	138.5002778	35.04694445	2
WamyoKori210	137.7738889	34.81101852	2.2
WamyoKori211	137.9117593	34.78685185	2.2
WamyoKori212	138.2055159	34.77361111	3
WamyoKori213	137.6318518	34.715	2.2
WamyoKori214	138.8634722	35.15060185	2.8
WamyoKori215	138.1997222	34.8375	1.8
WamyoKori216	138.0751667	34.70888889	2.6
WamyoKori217	137.8891667	34.95638889	1.8
WamyoKori218	137.5493056	34.77555556	2.4
WamyoKori219	138.9487037	34.69787037	2.2
WamyoKori220	137.8473611	34.74902778	3.2
WamyoKori221	138.1509722	34.87152778	2
WamyoKori222	138.3753704	34.95277778	2.2
WamyoKori223	138.7799074	34.82796296	2.2
WamyoKori224	137.6811111	34.81402778	2
WamyoKori225	138.3769445	34.99569445	2
WamyoKori226	137.6736111	34.81833334	2
WamyoKori227	137.5447222	34.79944444	1.8
WamyoKori228	137.7906019	34.75837963	2.8
WamyoKori229	137.047963	34.81324074	2.2
WamyoKori230	137.4659444	34.83172222	2.6
WamyoKori231	137.1640741	35.09879629	2.2
WamyoKori232	137.0736111	35.14763889	2.4
WamyoKori233	137.1062963	34.95117284	3.4
WamyoKori234	136.9027084	35.22986111	2.4
WamyoKori235	137.2941049	34.81441358	3.4
WamyoKori236	136.8810185	34.84083333	2.2
WamyoKori237	136.7531944	35.15555556	2
WamyoKori238	137.187	34.94672222	2.6
WamyoKori239	137.5580556	34.98194444	1.8
WamyoKori240	136.9173889	35.12761111	2.6
WamyoKori241	136.8739444	35.32938889	2.6
WamyoKori242	137.259537	34.66148148	2.2
WamyoKori243	136.9872223	35.26819445	2
WamyoKori244	136.5976111	34.5395	2.6
WamyoKori245	136.2180556	34.73555556	1.8
WamyoKori246	136.0944444	34.61472222	1.8
WamyoKori247	136.116875	34.77444444	2.4
WamyoKori248	136.6008334	35.02935185	2.8
WamyoKori249	136.4703472	34.86326389	2.4
WamyoKori250	136.5287222	34.80433333	2.6
WamyoKori251	136.8858334	34.42958334	2
WamyoKori252	136.6988272	34.48654321	3.4
WamyoKori253	136.5119841	34.55166666	3
WamyoKori254	136.5491667	34.30944444	1.8
WamyoKori255	136.6519445	35.09811111	2.6
WamyoKori256	136.5908333	34.88101852	2.2
WamyoKori257	136.1371759	34.71222222	2.8
WamyoKori258	136.5895834	35.07486112	2
WamyoKori259	136.5593889	34.54083333	2.6
WamyoKori260	136.5701667	34.95811111	2.6
WamyoKori261	136.463	34.74933333	2.6
WamyoKori262	136.4790278	34.64569445	2.8
WamyoKori263	136.4544445	34.72236111	2
WamyoKori264	136.1761111	34.81916667	1.8
WamyoKori265	136.1941667	34.77416667	1.8
WamyoKori266	136.1088889	34.61861111	1.8
WamyoKori267	136.4863889	34.58583333	1.8
WamyoKori268	136.9097222	34.48833333	2
WamyoKori269	136.6889444	34.29122222	2.6
WamyoKori270	136.6013889	34.90111111	1.8
WamyoKori271	136.6186111	34.53722222	1.8
WamyoKori272	136.7230556	34.50555556	1.8
WamyoKori273	136.4969444	34.25694444	1.8
WamyoKori274	136.5011111	35.11444444	1.8
WamyoKori275	136.2441667	34.84027778	1.8
WamyoKori276	136.6670834	34.49708334	2
WamyoKori277	136.1752778	35.18513889	2
WamyoKori278	136.3116666	35.38546297	2.2
WamyoKori279	136.226875	35.440625	3.2
WamyoKori280	135.8712037	35.0262963	2.2
WamyoKori281	136.0185648	35.09060185	2.8
WamyoKori282	135.9538194	35.00875	2.4
WamyoKori283	136.2625	35.23531746	3
WamyoKori284	136.0180556	35.39622222	2.6
WamyoKori285	136.1283333	35.13094444	2.6
WamyoKori286	136.09	34.99361111	1.8
WamyoKori287	136.2363889	35.16638889	2.2
WamyoKori288	134.9322222	35.59722222	1.8
WamyoKori289	135.7670139	34.86868056	2.4
WamyoKori290	135.8083333	34.92083333	1.8
WamyoKori291	135.7575	34.97944444	1.8
WamyoKori292	135.4634259	35.09768518	2.2
WamyoKori293	135.1522222	35.56555556	1.8
WamyoKori294	135.3433333	35.47604167	2.4
WamyoKori295	135.2358333	35.33180555	3.2
WamyoKori296	135.0861111	35.56638889	1.8
WamyoKori297	135.7051389	35.00319445	2
WamyoKori298	135.6965555	34.93388889	2.6
WamyoKori299	135.5340278	35.03083333	2
WamyoKori300	135.1144445	35.30798611	2.4
WamyoKori301	135.0518056	35.70291667	2.4
WamyoKori302	135.9288889	34.85166667	1.8
WamyoKori303	135.7706945	35.01875	2
WamyoKori304	135.6956945	34.94291667	2
WamyoKori305	135.4166667	34.96842592	2.2
WamyoKori306	135.6492361	34.590625	2.4
WamyoKori307	135.6412963	34.62592592	2.2
WamyoKori308	135.6083333	34.8662037	2.2
WamyoKori309	135.5604321	34.55478395	3.4
WamyoKori310	135.5708334	34.83958334	2
WamyoKori311	135.6175694	34.49895833	2.4
WamyoKori312	135.6400555	34.66933333	2.6
WamyoKori313	135.4240432	34.48080247	3.4
WamyoKori314	135.6048148	34.76550926	2.8
WamyoKori315	135.4506482	34.8075	2.2
WamyoKori316	135.6361111	34.53472222	1.8
WamyoKori317	135.5305556	34.61388889	1.8
WamyoKori318	135.4859876	34.52666667	3.4
WamyoKori319	135.5541667	34.45916667	1.8
WamyoKori320	135.5429167	34.69138889	2
WamyoKori321	135.4924167	34.69975	3.6
WamyoKori322	135.6458333	34.7362963	2.2
WamyoKori323	135.3409722	34.41069444	2
WamyoKori324	135.6028889	34.5815	2.6
WamyoKori325	135.6014352	34.63856482	2.8
WamyoKori326	135.5847222	34.6175	1.8
WamyoKori327	135.6650926	34.78629629	2.2
WamyoKori328	135.5133333	34.61344444	2.6
WamyoKori329	135.6073611	34.551875	2.4
WamyoKori330	135.3819444	34.41138889	1.8
WamyoKori331	134.3482778	34.97705555	2.6
WamyoKori332	135.0564259	35.17916667	4.6
WamyoKori333	134.7520139	34.93291667	2.4
WamyoKori334	134.7675	34.29138889	2.2
WamyoKori335	134.8434568	35.29064815	3.4
WamyoKori336	134.8709723	34.76888889	2
WamyoKori337	134.8797223	34.34458334	2
WamyoKori338	134.6516111	35.64166667	2.6
WamyoKori339	135.1736667	34.68005556	2.6
WamyoKori340	134.6727315	34.84740741	4
WamyoKori341	134.3913333	34.82994444	2.6
WamyoKori342	134.8244444	35.55755556	2.6
WamyoKori343	135.3044444	34.72666667	1.8
WamyoKori344	134.5646825	34.84777778	3
