key	ja-JP	ko-KR	en-US	latitude	longitude
SAinu397	モイレトマリ	뫼레토마리	Moyre-tomari	47.2525	143.0135
SAinu398	ハボマイ	하보매	Habomay	47.2586	142.0234
SAinu399	オタトマリ	오타토마리	Ota-tomari	47.2607	143.0055
SAinu400	ルホントマリ	루혼토마리	Ruhontomari	47.2607	143.0055
SAinu401	オタトモ	오타토모	Otatomo	47.2678	142.006
SAinu402	キナウシ	키나우시	Kinausi	47.2699	142.9928
SAinu403	ニイナウシ	니나우시	Ninausi	47.2714	142.5875
SAinu404	ワッコエ	와꾀	Wakkoe	47.2785	141.9893
SAinu405	ノトロ	노토로	Not-oro	47.2885	142.9753
SAinu406	ノトロ	노토로	Not-oro	47.3003	141.9661
SAinu407	ソーウンナイ	소운내	Sounnay	47.3006	142.9661
SAinu408	ノトロ	노토로	Not-oro	47.3103	142.0223
SAinu409	レツタンナイ	레투탄내	Retutannay	47.3171	141.9745
SAinu410	シアンチャ	시안차	Si-an-ca	47.325	142.7917
SAinu411	ヌタカナイ	누타카내	Nutakanay	47.3266	142.9503
SAinu412	タコエ	타쾨	Takoe	47.3387	142.7714
SAinu413	エンルンコマナイ	엔룸코마내	Enrumkomanay	47.3404	142.9418
SAinu414	オチップナイ	오칲내	Ocipnay	47.3404	142.9418
SAinu415	エンルンコマナイ	엔룸코마내	Enrumkomanay	47.3405	142.9421
SAinu416	ミホ	미호	Miho	47.341	142.5493
SAinu417	ミホ	미호	Miho	47.3437	142.5588
SAinu418	モアックシ	모와까우시	Mo-wakka-usi	47.3482	141.9942
SAinu419	ミホ	미호	Miho	47.3538	142.5383
SAinu420	シアン	시안	Si-an	47.3547	142.7863
SAinu421	オソイコニ	오쇠코니	Osoykoni	47.3561	142.934
SAinu422	サンタン	산탄	Santan	47.3608	142.5209
SAinu423	キナウシ	키나우시	Kinausi	47.3614	142.9223
SAinu424	ミホ	미호	Miho	47.3674	142.5201
SAinu425	ニタッス	우탓	Utas	47.3703	142.0004
SAinu426	ロレイ	로레	Rorey	47.3721	142.8993
SAinu427	アタカラコタン	아타카라코탄	Atakarakotan	47.3754	142.8031
SAinu428	サツサジ	사투사지	Satusaji	47.3765	142.8888
SAinu429	オブサキ	오부사키	Obusaki	47.3897	142.8654
SAinu430	トブケシ	토풑켓	To-put-kes	47.3933	141.9857
SAinu431	イタウシバナ	이타우시바나	Itausibana	47.3943	141.9846
SAinu432	トーブツ	토풑	To-put	47.3967	141.9907
SAinu433	キカラス	키카랏	Kikaras	47.4019	141.9894
SAinu434	チシユシ	치시유시	Cisiyusi	47.4041	142.851
SAinu435	フンベトマリ	훈페토마리	Hunpe-tomari	47.409	142.8437
SAinu436	シュシュシナイ	수수우시내	Susu-usi-nay	47.4125	142.8269
SAinu437	シユマヤ	시유마야	Siyumaya	47.4165	142.8052
SAinu438	ピセチャロ	피세차로	Pisecaro	47.4194	142.5076
SAinu439	チシクシナイ	치싴시내	Cisiksinay	47.4226	142.7043
SAinu440	ホロナ	호로나	Horona	47.4283	142.7821
SAinu441	キコシ	키코시	Kikosi	47.4306	142.7413
SAinu442	ナイブチ	내풑	Nay-put	47.4342	142.7692
SAinu443	オンネナイ	온네내	Onne-nay	47.4351	141.9768
SAinu444	ナイプツトー	내푸또	Nay-put-to	47.4357	142.7197
SAinu445	ヘモヨフナイ	헤모요후내	Hemoyohunay	47.4362	142.7054
SAinu446	ノダサン	노다산	Nodasan	47.4386	141.9743
SAinu447	ハチコナイ	하치코내	Haciko-nay	47.4394	141.9714
SAinu448	ヤラケフシナイ	야라케후시내	Yarakehusinay	47.4406	142.7058
SAinu449	フシコナイブチ	훗코내풑	Husko-nay-put	47.4453	142.7476
SAinu450	ピセチャロマナイ	피세차로마내	Pisecaromanay	47.4501	142.5302
SAinu451	バイカサブシ	배카사부시	Baykasabusi	47.4506	141.9679
SAinu452	セツセナイ	세투세내	Setusenay	47.4568	142.6993
SAinu453	チエトウシナイボ	치에토시내보	Cietosinaybo	47.4633	141.9673
SAinu454	クラッシノナイボ	쿠라씨노내보	Kurassinonaybo	47.4719	141.9658
SAinu455	ピセチャロマナイ	피세차로마내	Pisecaromanay	47.4757	142.5551
SAinu456	チライフシュナイ	치래후시유내	Cirayhusiyunay	47.4792	142.63
SAinu457	リヤルイサン	리야뢔산	Riya-ru-e-san	47.4806	142.7054
SAinu458	オシモナイボ	오시모내보	Osimonaybo	47.4849	141.9633
SAinu459	ポンムアン	폰모안	Pon-mo-an	47.4896	142.5295
SAinu460	ポンムアン	폰모안	Pon-mo-an	47.4904	142.5293
SAinu461	オシモナイボ	오시모내보	Osimonaybo	47.4934	141.9627
SAinu462	アイ	애	Ai	47.502	142.6728
SAinu463	アイ	애	Ai	47.5071	143.6763
SAinu464	アウシニエカンナイボ	아우시니에칸내보	Ausiniekannaybo	47.5114	141.9626
SAinu465	キオプフコロ	키옾후코로	Kiophukoro	47.5157	142.5127
SAinu466	アイトマリ	애토마리	Aytomari	47.5204	141.9599
SAinu467	ムアン	모안	Mo-an	47.5231	142.5147
SAinu468	オサンルケナイ	오산루케내	Osanrkenay	47.524	142.6653
SAinu469	アラコイ	아라쾨우시내	Arakoy-usi-nay	47.5245	141.9659
SAinu470	シヤンテルリー	시얀텔리	Siyanterri	47.5258	142.5126
SAinu471	アラコエウシナイ	아라쾨우시내	Arakoy-usi-nay	47.5262	141.9552
SAinu472	ハツパスウシナイボ	하투파수시내보	Hatupasusinaybo	47.5354	141.9591
SAinu473	ポロナイポロ	포로내포로	Poro-nay-poro	47.5361	142.6551
SAinu474	クアマナイボ	쿠아마내보	Kuamanaybo	47.5424	141.9613
SAinu475	ナイポロ	내포로	Nay-poro	47.5458	142.6459
SAinu476	シルトル	시루툴	Sir-utur	47.5638	142.6319
SAinu477	モエンルンナイボ	모엔룸내포	Mo-enrum-nay-po	47.5649	141.9622
SAinu478	ノタサンヌプリ	노타산누푸리	Notasannupuri	47.5723	142.1979
SAinu479	チーカイナイボ	치캐내보	Cikaynaybo	47.5804	141.9613
SAinu480	チシタウシナイ	치시타우시내	Cisitausinay	47.5869	142.6142
SAinu481	サキーカルー	사키칼	Sakikar	47.5908	141.9654
SAinu482	ポンチシタウシナイ	폰치시타우시내	Poncisitausinay	47.5929	142.6117
SAinu483	レプンナイ	레푼내	Rep-un-nay	47.5984	142.607
SAinu484	カモイナイボ	카믜내포	Kamuy-nay-po	47.6048	141.9665
SAinu485	オピコマナイ	오피코마내	Opikomanay	47.612	142.4871
SAinu486	イタダクスナイ	이타탘수내	Itadaksunay	47.6142	142.5964
SAinu487	ペウケテシカ	페우케테시카	Peuketesika	47.6153	141.9636
SAinu488	ツルナイ	툴내	Turnay	47.6224	142.528
SAinu489	パンケナイ	판케내	Panke-nay	47.6234	142.5129
SAinu490	シンノシコマナイ	신놋키오마내	Sin-noski-oma-nay	47.6237	142.5089
SAinu491	ペンケナイ	펜케내	Penke-nay	47.6243	142.4967
SAinu492	ウッス	웃	Us	47.6301	141.9781
SAinu493	ゼイポ	세포	Zeypo	47.6389	142.5178
SAinu494	エンカラウシ	인카루시	Inkar-usi	47.6402	142.5804
SAinu495	カマウシペツ	카마우시펱	Kamausipet	47.6431	141.985
SAinu496	アルトルモルトル	알톨몰톨	Artormortor	47.6531	141.9906
SAinu497	オタサン	오타삼	Ota-sam	47.6535	142.5693
SAinu498	オフテフコロ	오후테후코로	Ohutehukoro	47.6601	141.9973
SAinu499	チエポフナイ	치에포후내	Ciepohunay	47.6662	142.5663
SAinu500	ソツソウシ	수수우시	Susu-usi	47.6726	142.5634
SAinu501	チヘカベシホ	치헤카베시호	Cihekabesiho	47.681	142.0018
SAinu502	チイカペシポナイポ	치이카페시포내포	Ciikapesipo-nay-po	47.6815	142.0043
SAinu503	ヤンケソー	얀케이소	Yanke-iso	47.6867	142.0035
SAinu504	ヒレウス	히릇	Hireus	47.6879	142.1226
SAinu505	マトマナイ	마토마내	Matomanay	47.6944	142.5499
SAinu506	イシャンペナイボ	이산페내포	Isanpe-nay-po	47.697	142.0052
SAinu507	オルンベウントマリ	오룬픈토마리	Orunpeun-tomari	47.7101	142.0129
SAinu508	トモウンナイ	토모운내	Tomoun-nay	47.7146	142.0182
SAinu509	トメウンナイ	토믄내	Tomeun-nay	47.7165	142.0182
SAinu510	ペシポウニ	페시포우니	Pesipouni	47.7268	142.0306
SAinu511	ピスポナイポ	빗포내포	Bispo-nay-po	47.739	142.0381
SAinu512	シヤテカ	시야테카	Siyateka	47.7426	142.3789
SAinu513	ピスポナイポ	빗포내포	Bispo-nay-po	47.748	142.044
SAinu514	ポロナイ	포로내	Poro-nay	47.7539	142.5295
SAinu515	レイチルシカ	레칠시카	Reycirsika	47.7632	142.0495
SAinu516	ワッカフレナイ	와까후레내	Wakka-hure-nay	47.7633	142.5282
SAinu517	トマリオロ	토마리오로	tomari-oro	47.7671	142.0658
SAinu518	トマリオロ	토마리오로	Tomari-oro	47.7703	142.0632
SAinu519	ピラポフ	피라포후	Pirapohu	47.7767	142.0638
SAinu520	プイトセ	픠토세	Puytose	47.7769	142.5241
SAinu521	トマリポ	토마리포	Tomari-po	47.7809	142.0651
SAinu522	トマリホ	토마리포	tomari-po	47.7822	142.0658
SAinu523	トマリ	토마리	Tomari	47.7854	142.0637
SAinu524	ペケレ	페케레	Pekere	47.789	142.5112
SAinu525	オソイコントマリ	오쇠콘토마리	Osoykon-tomari	47.7911	142.0757
SAinu526	エペケレンルン	에페케렌룬	Epekerenrun	47.7993	142.0806
SAinu527	チホマナ井ボ	치호마내포	Cihoma-nay-po	47.8067	142.0774
SAinu528	モペケレ	모페케레	Mo-pekere	47.8081	142.5125
SAinu529	チヨホマナイボ	치요마내포	Ciyoma-nay-po	47.809	142.0802
SAinu530	カラオワナイボ	카라오와내포	Karaowa-nay-po	47.8174	142.0831
SAinu531	トマムシプイ	토마뭇픠	Tomamuspuy	47.8304	142.0876
SAinu532	トマムシシユモナイ	토마무시시유모내	Tomamusisiyumo-nay	47.8304	142.0862
SAinu533	シララオロ	시랄오로	Sirar-oro	47.8444	142.0886
SAinu534	シララオロ	시랄오로	Sirar-oro	47.8446	142.0876
SAinu535	チラフナイ	치라후내	Cirahunay	47.8532	142.0882
SAinu536	シララカ	시라로로	Sirar-oro	47.8539	142.5208
SAinu537	チライフナイボ	치래내포	Ciray-nay-po	47.8552	142.0889
SAinu538	ヲホマナイボ	오호마내포	Ohoma-nay-po	47.8634	142.0895
SAinu539	タクタシナイボ	타쿠타시내포	Takutasi-nay-po	47.864	142.091
SAinu540	クトニウシナイ	쿠토니우시내	Kutoniusi-nay	47.8704	142.0971
SAinu541	コトトシナイボ	코토토시내포	Kototosi-nay-po	47.8713	142.0989
SAinu542	シンノシコマナイ	신놋키오마내	Sin-noski-oma-nay	47.8737	142.5122
SAinu543	ナヨロ	내오로	Nay-oro	47.9018	142.1415
SAinu544	ナヨロ	나욜	Nayor	47.9052	142.1459
SAinu545	マヌエ	마누에	Manue	47.9091	142.4854
SAinu546	オハコタン	오하코탄	Ohakotan	47.9196	142.5178
SAinu547	シンノシケオマナイ	신노시커마내	Sinnosikeoma-nay	47.9296	142.1716
SAinu548	シンオシコマナイ	신놋키오마내	Sin-noski-oma-nay	47.9298	142.1723
SAinu549	ワーレ	와레	Ware	47.9307	142.521
SAinu550	ワラカロ	와라카로	Warakaro	47.9386	142.1819
SAinu551	チトカンヌシ	치토칸누시	Citokannusi	47.9535	142.3596
SAinu552	エタレネトイヒラ	에타레네퇴히라	Etarenetoyhira	47.9659	142.1991
SAinu553	クスンナイ	쿠순내	Kusun-nay	47.9759	142.2033
SAinu554	クスンナイ	쿠순내	Kusun-nay	47.9896	142.2029
SAinu555	オチヤスナイ	오치야수내	Ociyasunay	47.99	142.5276
SAinu556	ニホナイボ	니호내포	Niho-nay-po	47.9955	142.195
SAinu557	ウシトル	우시톨	Usitor	47.997	142.3232
SAinu558	コモシララ	코모시랄	Komosirar	48.0047	142.1899
SAinu559	マクベツ	맠펱	Makpet	48.0094	142.3597
SAinu560	フンヘヲマナイホ	훈허마내포	Hunheoma-nay-po	48.015	142.188
SAinu561	ポロナイボ	포로내포	Poro-nay-po	48.0193	142.1869
SAinu562	フンペオマナイボ	훔페오마내	Humpe-oma-nay	48.0301	142.183
SAinu563	ウランナオイナイボ	우란나외내포	Urannaoi-nay-po	48.0494	142.182
SAinu564	モインルンボ	모엔룬포	Mo-enrun-po	48.0575	142.1829
SAinu565	オコナイボ	오코내포	Oko-nay-po	48.0718	142.1812
SAinu566	エトネナイ	에토네내	Etone-nay	48.0719	142.1828
SAinu567	オコナイボ	오코내포	Oko-nay-po	48.0859	142.1739
SAinu568	ヲーコナイ	오코내	Oko-nay	48.0928	142.174
SAinu569	ウシノスケ	우시노수케	Usinosuke	48.0947	142.1746
SAinu570	ノシャップオマナイ	놑삼오마내	Not-sam-oma-nay	48.1281	142.1712
SAinu571	ノツサン	놑삼	Not-sam	48.1317	142.1747
SAinu572	ノツ	놑	Not	48.1359	142.1666
SAinu573	レプンソーヤ	렢운소야	Rep-un-soya	48.1415	142.1733
SAinu574	コツオナイ	코투오내	Kotuo-nay	48.152	142.173
SAinu575	エビシ	에빗	Ebis	48.1662	142.1716
SAinu576	モエビシ	뫼빗	Moebis	48.1887	142.1688
SAinu577	レブンソー	렢운소	Rep-un-so	48.2007	142.1701
SAinu578	アンキネエンルン	안키네엔룸	Ankine-enrum	48.2409	142.1552
SAinu579	ルクシナイ	루쿠시내	rukusi-nay	48.2582	142.1555
SAinu580	ルクシナイ	루쿠시내	Rukusi-nay	48.2639	142.1566
SAinu581	オタクルマナイ	오타쿨마내	Otakurma-nay	48.2796	142.1551
SAinu582	オタクルマナイ	오타쿨마내	Otakurma-nay	48.2801	142.1565
SAinu583	ルクシナイ	루쿠시내	Rukusi-nay	48.284	142.4072
SAinu584	オタシュ	오타숱	Ota-sut	48.3242	142.1468
SAinu585	ワッカフレナイ	왘카후레내	Wakka-hure-nay	48.334	142.1396
SAinu586	ワッカフレナイ	왘카후레내	Wakka-hure-nay	48.3371	142.1377
SAinu587	サハオマイ	사하오매	Sahaomay	48.3623	142.1221
SAinu588	パンケコタン	판케코탄	Panke-kotan	48.4057	142.0913
SAinu589	チンナイ	친내	Cin-nay	48.4086	142.0937
SAinu590	ライチシカ	래치시카	Raycisika	48.4502	142.0614
SAinu591	チンナイ	친내	Cin-nay	48.4649	142.4147
SAinu592	ヲタシウシ	오타시웃	Otasius	48.4861	142.0261
SAinu593	バツコ	바투코	Batuko	48.5269	141.986
SAinu594	ノシケオマトー	놋케오마토	Noske-oma-to	48.5433	141.9925
SAinu595	ガンビ	간비	Ganbi	48.5456	142.0322
SAinu596	エートエトー	에에퇴토오	Eetoetoo	48.5699	141.9656
SAinu597	チシニナイ	치시니내	Cisini-nay	48.6031	141.925
SAinu598	チシニナイ	치시니내	Cisini-nay	48.6102	141.9183
SAinu599	ワッカフレナイ	와까후레내	Wakka-hure-nay	48.6336	141.9029
SAinu600	ワスクレナイ	와수쿠레내	Wasukure-nay	48.6336	141.9015
SAinu601	コタンウトル	코탄우톨	Kotan-utor	48.6373	141.8985
SAinu602	コタントル	코탄우투루	Kotan-uturu	48.6397	141.9013
SAinu603	バイカルクシナイボ	패칼루쿳내포	Paykar-ru-kus-nay-po	48.6599	141.8872
SAinu604	ヘモヨフナイ	헤모요후내	Hemoyohu-nay	48.6612	141.8848
SAinu605	トッカリ	톸카리	Tokkari	48.6745	141.8758
SAinu606	トツカリホツキ	토투카리호투키	Totukarihotuki	48.6775	141.8717
SAinu607	トマリケシナイボ	토마리켓내포	Tomari-kes-nay-po	48.6893	141.8739
SAinu608	トマリケシナイポ	토마리켓내포	Tomari-kes-nay-po	48.6907	141.8734
SAinu609	コタントル	코탄톨	Kotan-tor	48.7146	142.0014
SAinu610	イチャラ	이차라	Icara	48.722	141.8644
SAinu611	ペシウトロヲマナ井	펫우투루오마내	Pes-uturu-oma-nay	48.7411	141.8544
SAinu612	イノシケエントモ	이노시케엔토모	Inosikeentomo	48.7423	141.8522
SAinu613	マタイカコ	마태카코	Mataykako	48.747	141.8554
SAinu614	フレナイ	후레내	Hure-nay	48.7495	142.2543
SAinu615	フレナイ	후레내	Hure-nay	48.7544	142.285
SAinu616	アツタナ井ホ	아투타내포	Atuta-nay-po	48.7596	141.8505
SAinu617	ポシトマナイ	포시토마내	Positoma-nay	48.7599	141.8505
SAinu618	ヱシヨウシナイ	에시요우시내	Esiyousi-nay	48.7656	141.8481
SAinu619	トツシヨシヤラ	토투시요시얄	Totusiyosiyar	48.7793	141.8491
SAinu620	チライケオソウ	치래커소우	Ciraykeosou	48.7805	141.8506
SAinu621	メツシヤモナイ	메투시야모내	Metusiyamo-nay	48.7912	141.8566
SAinu622	エンドクシナイボ	엔도쿳내포	Endokus-nay-po	48.7977	141.8684
SAinu623	ヨモセンコツナ井ボ	요모센코투내포	Yomosenkotu-nay-po	48.802	141.8719
SAinu624	チメトウウシナイ	치메토웃내	Cimetous-nay	48.8063	141.8752
SAinu625	オクサナイボ	옼사내포	Oksa-nay-po	48.8067	141.8767
SAinu626	ニオイ	니외	Nioi	48.8219	141.8919
SAinu627	ポロトマリ	포로토마리	Poro-tomari	48.8345	141.9098
SAinu628	ウヱンルヱサン	웬루에산이	Wen-ru-esan-i	48.8397	141.9141
SAinu629	ウストマナイ	웃토마내	Ustoma-nay	48.8409	141.924
SAinu630	ウショロ	웃오로	Us-oro	48.8413	141.929
SAinu631	ウシトマナイ	웃토마내	Ustoma-nay	48.8414	141.9263
SAinu632	イシヤーワベシボ	이시야아와베시포	Isiyaawabesipo	48.8434	141.9177
SAinu633	ナイコトロ	내코토로	Naykotoro	48.8486	141.9441
SAinu634	ウッス	웃	Us	48.8724	141.9772
SAinu635	ヨーボナイボ	요오포내포	Yoopo-nay-po	48.8726	141.9764
SAinu636	ホロツ	호로투	Horotu	48.8916	141.9742
SAinu637	フレナイ	후레내	Hure-nay	48.8983	142.2679
SAinu638	アヒトマリ	아히토마리	Ahitomari	48.8999	141.9666
SAinu639	イクントマリ	이쿤토마리	Ikuntomari	48.9067	141.9641
SAinu640	ヌンペコ	눈페코	Nunpeko	48.9179	141.9613
SAinu641	ホロケシ	호로켓	Horokes	48.9264	141.9856
SAinu642	ホロケシ	호로켓	Horokes	48.9271	141.9872
SAinu643	チャチャ	차차	Caca	48.9286	142.1728
SAinu644	フレナイ	후레내	Hure-nay	48.9338	142.2166
SAinu645	ウェンピラ	웬피라	Wen-pira	48.9444	142.0079
SAinu646	ナムベ	남베	Nambe	48.9451	142.0167
SAinu647	チャチャ	차차	Caca	48.9466	142.202
SAinu648	テクナイボ	텤내포	Tek-nay-po	48.9552	142.0048
SAinu649	テクナイポ	텤내포	Tek-nay-po	48.9552	142.0035
SAinu650	ハチコペシポ	하치코펫포	Haciko-pes-po	48.9601	142.003
SAinu651	モテクナイポ	모텤내포	Motek-nay-po	48.9686	142.0056
SAinu652	モテクナイボ	모텤내포	Motek-nay-po	48.9687	142.006
SAinu653	テモイ	테뫼	Temoy	48.9914	142.0072
SAinu654	デモイ	데뫼	Demoy	48.9918	142.0077
SAinu655	チセウンナイ	치슨내	Ciseun-nay	49.0118	142.0129
SAinu656	チセウンナイ	치슨내	Ciseun-nay	49.0124	142.0122
SAinu657	カークイナイボ	카아킈내포	Kaakuy-nay-po	49.023	142.0145
SAinu658	イナウシ	이나우우시	Inaw-usi	49.0461	142.0298
SAinu659	イシブシ	이시부시	Isibusi	49.0497	142.0303
SAinu660	ブトウ	부토오	Butoo	49.0692	142.2062
SAinu661	エストル	에수톨	Esutor	49.0724	142.0312
SAinu662	アフツリタナイボ	아후투리타내포	Ahuturita-nay-po	49.074	142.0338
SAinu663	トマリベクス	토마리포켓	Tomari-po-kes	49.0801	142.0357
SAinu664	マスラオ	마수라오	Masurao	49.0896	142.0483
SAinu665	シルモクナイボ	실뫀내포	Sirmok-nay-po	49.1087	142.0348
SAinu666	オムトウ	오무토	O-mu-to	49.1357	142.0841
SAinu667	ホロエンルン	포로엔룸	Poro-enrum	49.1414	142.0315
SAinu668	ポロエンルン	포로엔룸	Poro-enrum	49.1469	142.0311
SAinu669	オムトウ	오무토	O-mu-to	49.1548	142.0454
SAinu670	トーロ	토오로	To-oro	49.1779	142.0832
SAinu671	トーロ	토오로	To-oro	49.1951	142.1265
SAinu672	モエトンナイ	뫼톤내	Moeton-nay	49.2032	142.081
SAinu673	イトナイ	이토내	Ito-nay	49.2222	142.0926
SAinu674	イトナイ	이토내	Ito-nay	49.2234	142.094
SAinu675	ペシポ	펫포	Pes-po	49.236	142.0851
SAinu676	イカエンルム	이카엔룸	Ika-enrum	49.2379	142.0848
SAinu677	コトカリ	코토카리	Kotokari	49.2447	142.26
SAinu678	リヨナイヌプリ	리요내누푸리	Riyonaynupuri	49.2566	142.104
SAinu679	リヨナイ	리요내	Riyo-nay	49.2729	142.0754
SAinu680	チオナイ	치오내	Cio-nay	49.2746	142.0756
SAinu681	モロロチ	모로로치	Mororoci	49.3334	142.0802
SAinu682	ポンナヤシ	폰나얏	Ponnayas	49.3993	142.1076
SAinu683	ナヤシ	나얏	Nayas	49.4395	142.1239
SAinu684	セルツナイ	세루투내	Serutu-nay	49.4981	142.1409
SAinu685	オクシュマ	오쿠수마	Okusuma	49.55	142.143
SAinu686	ポロオムナイ	포로옴내	Poroom-nay	49.5878	142.1476
SAinu687	ポンオムナイ	포놈내	Ponom-nay	49.5995	142.1473
SAinu688	シツポウシナイ	시투포웃내	Situpous-nay	49.6221	142.1459
SAinu689	シャコタン	샄코탄	Sak-kotan	49.6446	142.1635
SAinu690	トウンナイ	토운내	Toun-nay	49.6915	142.1537
SAinu691	アラコイウシナイ	아라쾨웃내	Arakoius-nay	49.7109	142.1582
SAinu692	ヲタエンルン	오타엔룸	Ota-en-rum	49.7305	142.1557
SAinu693	アクシュナイ	아쿠수내	Akusu-nay	49.744	142.1562
SAinu694	ソーヤ	소야	So-ya	49.7738	142.1609
SAinu695	ヨルクナイ	요뤀내	Yoruk-nay	49.8234	142.1646
SAinu696	チクナイ	치쿠내	Ciku-nay	49.8617	142.1464
SAinu697	オヤウ	오야우	Oyau	49.9119	142.1474
SAinu698	アカシキナイ	아카시키내	Akasiki-nay	49.9408	142.1427
SAinu699	ポロトマリ	포로토마리	Poro-tomari	49.9408	142.1427
SAinu700	ツマナイ	투마내	Tuma-nay	49.9526	142.1359
SAinu701	ペレオ	필보	Pil-vo	49.9632	142.278
SAinu702	アカシニ	아카시니	Akasini	49.9671	142.1503
SAinu703	エモンナイ	에몬내	Emon-nay	49.985	142.2345
SAinu704	アモベシ	아모벳	Amobes	49.9862	142.1577
SAinu705	アモベシ	아모벳	Amobes	49.9991	142.1589
SAinu706	サツルイ	사투릐	Saturuy	50.0202	142.1399
SAinu707	キトウシ	키토우시누푸리	Kito-usi-nupuri	50.2023	142.1832
SAinu708	オッチシ	오찌시	Occisi	50.894	142.1593
