key	ja-JP	ko-KR	en-US	latitude	longitude
SAinu91	シセエッカ	시세에까	Siseekka	46.3608	143.5886
SAinu92	ヤマンベツ	야만펱	Yamanpet	46.3632	143.3583
SAinu93	ペシトル	페시톨	Pesitor	46.3648	142.2939
SAinu94	エンルン	엔룸	En-rum	46.3697	143.6132
SAinu95	キトウシナイ	키토우시내	Kito-usi-nay	46.3739	141.8715
SAinu96	フウレン	후레	Hure	46.3806	143.3411
SAinu97	キヌシ	키누시	Kinusi	46.3837	143.6151
SAinu98	ミナベツ	미나펱	Minapet	46.3881	143.6108
SAinu99	チュウコス	치유콧	Ciyukos	46.3901	143.6125
SAinu100	ミナベツ	미나펱	Minapet	46.3921	143.5316
SAinu101	フレツマ	후레수마	Hure-suma	46.3964	143.3371
SAinu102	ヨシナイ	요시내	Yosinay	46.4055	142.316
SAinu103	ムイトマリ	뫼레토마리	Moyre-tomari	46.4063	141.8552
SAinu104	ヨシナイ	요시내	Yosinay	46.4082	142.3182
SAinu105	ヨシナイ	요시내	Yosinay	46.4093	142.3175
SAinu106	ウエンヘツ	웬펱	Wenpet	46.4124	143.5669
SAinu107	オフレツマ	오후레수마	O-hure-suma	46.415	143.3351
SAinu108	トヨクシ	토욬시	Toyoksi	46.4266	143.5686
SAinu109	ポロトウ	포로토	Poro-to	46.4275	143.5677
SAinu110	フレツマ	후레수마	Hure-suma	46.428	143.3701
SAinu111	ポロトウ	포로토	Poroto	46.4286	143.5407
SAinu112	モンゼナイ	몬세내	Monzenay	46.4321	142.3339
SAinu113	ナヤシ	나야시	Nayasi	46.4322	141.8509
SAinu114	ムンシヤウシナイ	문시야우시내	Munsiyausinay	46.4329	142.3346
SAinu115	ウリュウ	우리유	Uriyu	46.4372	142.2124
SAinu116	ポンナヤシ	폰나야시	Ponnayasi	46.4411	141.8396
SAinu117	モシリ	모실	Mosir	46.4419	143.3429
SAinu118	ナイオンナイ	나욘내	Nayonnay	46.4446	143.3423
SAinu119	ソウヤオマベツ	소야오마펱	Soya-oma-pet	46.4485	143.5569
SAinu120	ウリウ	우리우	Uriu	46.4523	142.3462
SAinu121	モシラルシナイ	모시라루시내	Mo-sirar-usi-nay	46.4571	141.836
SAinu122	コチヨベツ	코치요펱	Kociyopet	46.4694	143.3375
SAinu123	アイヌベチ	애누펱	Aynupet	46.4718	142.2928
