key	longitude	latitude
Kojiki1	135.8919167	34.37763889
Kojiki2	135.9162778	34.35363889
Kojiki3	136.4688056	34.59086111
Kojiki4	139.0131111	35.32016667
Kojiki5	135.627	34.54288889
Kojiki6	135.8229722	34.46277778
Kojiki7	134.3018889	34.51763889
Kojiki8	139.0131111	35.32019444
Kojiki9	139.6857222	35.15094444
Kojiki10	139.7641667	34.97738889
Kojiki11	131.4648611	31.96044444
Kojiki12	135.01375	34.28888889
Kojiki13	135.0059167	34.28122222
Kojiki14	134.9474722	34.48266667
Kojiki15	134.7486667	34.33416667
Kojiki16	134.8524722	34.46
Kojiki17	139.9440556	37.51291667
Kojiki18	135.8556111	34.99422222
Kojiki19	135.8123333	34.48188889
Kojiki20	135.8155278	34.47972222
Kojiki21	131.0801389	31.66416667
Kojiki22	131.3531389	32.73769444
Kojiki23	135.8220278	34.45519444
Kojiki24	135.7534167	34.42452778
Kojiki25	136.0646944	35.01783333
Kojiki26	129.75175	33.76016667
Kojiki27	136.7481389	34.70983333
Kojiki28	135.8491389	34.75919444
Kojiki29	133.1616111	35.42763889
Kojiki30	133.6375278	33.74325
Kojiki31	135.9863333	34.45988889
Kojiki32	135.9939167	34.44897222
Kojiki33	130.5089444	33.57044444
Kojiki34	133.3125556	36.20708333
Kojiki35	135.6867778	34.92277778
Kojiki36	135.0215556	34.58986111
Kojiki37	134.8159722	34.16611111
Kojiki38	135.8919167	34.37761111
Kojiki39	135.7761944	34.81911111
Kojiki40	135.6711944	34.86708333
Kojiki41	135.8085278	34.45388889
Kojiki42	135.89925	34.79725
Kojiki43	138.2341944	37.99775
Kojiki44	135.8521667	34.53275
Kojiki45	135.8140278	34.78952778
Kojiki46	135.8244444	34.46533333
Kojiki47	133.0315833	35.35422222
Kojiki48	136.5496111	35.28730556
Kojiki49	135.6456111	34.69436111
Kojiki50	135.6387222	34.53533333
Kojiki51	135.18625	34.544
Kojiki52	136.0747222	35.65497222
Kojiki53	130.9588889	32.65102778
Kojiki54	129.3119167	34.37913889
Kojiki55	136.5799167	34.91763889
Kojiki56	135.8226944	34.46305556
Kojiki57	135.8015	34.76469444
Kojiki58	135.5006667	34.67055556
Kojiki59	136.5805278	34.92108333
Kojiki60	135.8673056	34.53519444
Kojiki61	136.8714444	35.53916667
Kojiki62	136.5334722	35.37827778
Kojiki63	138.3138611	34.86508333
Kojiki64	136.3520833	35.32961111
Kojiki65	136.4018333	35.37569444
Kojiki66	135.2540556	34.37030556
