key	longitude	latitude	overall_length	texture	first_year	last_year
KoreaDoken1	125.0275	45.799	123	BiwaDoken	-500	-200
KoreaDoken2	127.0982	45.6545	162	ShokkakuDoken	-500	-200
KoreaDoken3	124.648	45.419	123	BiwaDoken	-500	-200
KoreaDoken4	124.7998	45.279	123	BiwaDoken	-500	-200
KoreaDoken5	126.6467	44.579	123	BiwaDoken	-500	-200
KoreaDoken6	125.7612	44.499	123	BiwaDoken	-500	-200
KoreaDoken7	128.5442	44.499	123	BiwaDoken	-500	-200
KoreaDoken8	126.8269	44.3992	162	ShokkakuDoken	-500	-200
KoreaDoken9	126.3684	44.279	123	BiwaDoken	-500	-200
KoreaDoken10	126.925	44.239	123	BiwaDoken	-500	-200
KoreaDoken11	125.3058	44.079	123	BiwaDoken	-500	-200
KoreaDoken12	126.1154	44.079	123	BiwaDoken	-500	-200
KoreaDoken13	119.3603	43.939	123	BiwaDoken	-500	-200
KoreaDoken14	124.7239	43.939	123	BiwaDoken	-500	-200
KoreaDoken15	126.166	43.919	123	BiwaDoken	-500	-200
KoreaDoken16	127.4568	43.9072	162	ShokkakuDoken	-500	-200
KoreaDoken17	129.9104	43.779	123	BiwaDoken	-500	-200
KoreaDoken18	127.7093	43.759	123	BiwaDoken	-500	-200
KoreaDoken19	128.1394	43.699	123	BiwaDoken	-500	-200
KoreaDoken20	119.6639	43.619	123	BiwaDoken	-500	-200
KoreaDoken21	125.6853	43.559	123	BiwaDoken	-500	-200
KoreaDoken22	132.1368	43.559	123	DokenChuC	-500	-200
KoreaDoken23	131.8527	43.4776	162	ShokkakuDoken	-500	-200
KoreaDoken24	132.2127	43.439	123	DokenChuC	-500	-200
KoreaDoken25	132.0356	43.439	123	DokenChuC	-500	-200
KoreaDoken26	131.936	43.4113	162	ShokkakuDoken	-500	-200
KoreaDoken27	126.8315	43.3921	162	ShokkakuDoken	-500	-200
KoreaDoken28	126.8315	43.3921	162	ShokkakuDoken	-500	-200
KoreaDoken29	129.8092	43.299	123	BiwaDoken	-500	-200
KoreaDoken30	124.3191	43.279	123	BiwaDoken	-500	-200
KoreaDoken31	125.407	43.259	123	BiwaDoken	-500	-200
KoreaDoken32	121.4096	43.239	123	BiwaDoken	-500	-200
KoreaDoken33	119.841	43.219	123	BiwaDoken	-500	-200
KoreaDoken34	120.4482	43.159	123	BiwaDoken	-500	-200
KoreaDoken35	121.9156	43.159	123	BiwaDoken	-500	-200
KoreaDoken36	126.9503	43.139	123	BiwaDoken	-500	-200
KoreaDoken37	127.3045	43.119	123	BiwaDoken	-500	-200
KoreaDoken38	120.2458	43.079	123	BiwaDoken	-500	-200
KoreaDoken39	120.853	42.979	123	BiwaDoken	-500	-200
KoreaDoken40	124.8757	42.979	123	BiwaDoken	-500	-200
KoreaDoken41	129.4297	42.959	123	BiwaDoken	-500	-200
KoreaDoken42	124.8484	42.9472	162	ShokkakuDoken	-500	-200
KoreaDoken43	125.7954	42.9313	162	ShokkakuDoken	-500	-200
KoreaDoken44	120.2711	42.919	123	BiwaDoken	-500	-200
KoreaDoken45	120.6506	42.919	123	BiwaDoken	-500	-200
KoreaDoken46	124.5468	42.919	123	BiwaDoken	-500	-200
KoreaDoken47	121.5108	42.839	123	BiwaDoken	-500	-200
KoreaDoken48	120.9795	42.799	123	BiwaDoken	-500	-200
KoreaDoken49	129.8345	42.779	123	DokenChuC	-500	-200
KoreaDoken50	124.1926	42.739	123	BiwaDoken	-500	-200
KoreaDoken51	125.8112	42.7229	162	ShokkakuDoken	-500	-200
KoreaDoken52	120.1193	42.719	123	BiwaDoken	-500	-200
KoreaDoken53	122.6746	42.719	123	BiwaDoken	-500	-200
KoreaDoken54	120.4988	42.699	123	BiwaDoken	-500	-200
KoreaDoken55	124.648	42.599	123	BiwaDoken	-500	-200
KoreaDoken56	120.2964	42.459	123	BiwaDoken	-500	-200
KoreaDoken57	121.2578	42.439	123	BiwaDoken	-500	-200
KoreaDoken58	124.3444	42.259	123	BiwaDoken	-500	-200
KoreaDoken59	126.3178	42.259	123	BiwaDoken	-500	-200
KoreaDoken60	125.5588	42.239	123	BiwaDoken	-500	-200
KoreaDoken61	126.4251	42.2177	162	ShokkakuDoken	-500	-200
KoreaDoken62	118.8037	42.159	123	BiwaDoken	-500	-200
KoreaDoken63	123.6107	42.099	123	BiwaDoken	-500	-200
KoreaDoken64	124.5721	42.079	123	BiwaDoken	-500	-200
KoreaDoken65	128.1141	41.999	123	BiwaDoken	-500	-200
KoreaDoken66	119.0314	41.979	123	BiwaDoken	-500	-200
KoreaDoken67	119.2591	41.979	123	BiwaDoken	-500	-200
KoreaDoken68	120.853	41.979	123	BiwaDoken	-500	-200
KoreaDoken69	122.2698	41.959	123	BiwaDoken	-500	-200
KoreaDoken70	129.8598	41.939	123	DokenChuC	-500	-200
KoreaDoken71	125.8135	41.9334	162	ShokkakuDoken	-500	-200
KoreaDoken72	121.0807	41.899	123	BiwaDoken	-500	-200
KoreaDoken73	120.4482	41.879	123	BiwaDoken	-500	-200
KoreaDoken74	122.5987	41.879	123	BiwaDoken	-500	-200
KoreaDoken75	119.6133	41.859	123	BiwaDoken	-500	-200
KoreaDoken76	120.6506	41.859	123	BiwaDoken	-500	-200
KoreaDoken77	121.4602	41.839	123	BiwaDoken	-500	-200
KoreaDoken78	122.8517	41.799	123	BiwaDoken	-500	-200
KoreaDoken79	121.6373	41.779	123	BiwaDoken	-500	-200
KoreaDoken80	120.2205	41.759	123	BiwaDoken	-500	-200
KoreaDoken81	122.0674	41.759	123	BiwaDoken	-500	-200
KoreaDoken82	124.2457	41.7585	162	ShokkakuDoken	-500	-200
KoreaDoken83	119.9422	41.739	123	BiwaDoken	-500	-200
KoreaDoken84	119.1579	41.679	123	BiwaDoken	-500	-200
KoreaDoken85	122.4722	41.659	123	BiwaDoken	-500	-200
KoreaDoken86	121.8144	41.619	123	BiwaDoken	-500	-200
KoreaDoken87	123.1553	41.619	123	BiwaDoken	-500	-200
KoreaDoken88	120.7518	41.559	123	BiwaDoken	-500	-200
KoreaDoken89	122.8011	41.559	123	BiwaDoken	-500	-200
KoreaDoken90	120.3976	41.519	123	BiwaDoken	-500	-200
KoreaDoken91	123.7878	41.519	123	BiwaDoken	-500	-200
KoreaDoken92	124.8504	41.499	123	BiwaDoken	-500	-200
KoreaDoken93	127.7228	41.4927	162	ShokkakuDoken	-500	-200
KoreaDoken94	119.8916	41.479	123	BiwaDoken	-500	-200
KoreaDoken95	121.8144	41.479	123	BiwaDoken	-500	-200
KoreaDoken96	118.3989	41.439	123	BiwaDoken	-500	-200
KoreaDoken97	118.5507	41.439	123	BiwaDoken	-500	-200
KoreaDoken98	120.1952	41.439	123	BiwaDoken	-500	-200
KoreaDoken99	125.8672	41.4078	162	ShokkakuDoken	-500	-200
KoreaDoken100	120.7012	41.399	123	BiwaDoken	-500	-200
KoreaDoken101	121.1313	41.399	123	BiwaDoken	-500	-200
KoreaDoken102	118.5254	41.279	123	BiwaDoken	-500	-200
KoreaDoken103	120.0434	41.279	123	BiwaDoken	-500	-200
KoreaDoken104	121.7132	41.279	123	BiwaDoken	-500	-200
KoreaDoken105	121.9156	41.279	123	BiwaDoken	-500	-200
KoreaDoken106	125.6347	41.259	123	BiwaDoken	-500	-200
KoreaDoken107	124.1926	41.239	123	BiwaDoken	-500	-200
KoreaDoken108	123.6107	41.219	123	BiwaDoken	-500	-200
KoreaDoken109	122.118	41.199	123	BiwaDoken	-500	-200
KoreaDoken110	123.9988	41.1321	162	ShokkakuDoken	-500	-200
KoreaDoken111	123.0035	41.079	123	BiwaDoken	-500	-200
KoreaDoken112	126.0142	41.079	123	BiwaDoken	-500	-200
KoreaDoken113	118.2471	41.059	123	BiwaDoken	-500	-200
KoreaDoken114	121.0807	41.019	123	BiwaDoken	-500	-200
KoreaDoken115	124.9769	41.019	123	BiwaDoken	-500	-200
KoreaDoken116	118.3989	40.939	123	BiwaDoken	-500	-200
KoreaDoken117	118.2471	40.879	123	BiwaDoken	-500	-200
KoreaDoken118	124.6733	40.879	123	BiwaDoken	-500	-200
KoreaDoken119	118.2218	40.719	123	BiwaDoken	-500	-200
KoreaDoken120	125.1793	40.699	123	BiwaDoken	-500	-200
KoreaDoken121	123.8637	40.519	123	BiwaDoken	-500	-200
KoreaDoken122	119.082	40.479	123	BiwaDoken	-500	-200
