Z	X	Y	String
5	0	0	-843228.899863 -1800000.000000 -843228.899863 -1684500.000000
5	0	1	-832134.240789 -1800000.000000 -832134.240789 -1684500.000000
5	0	2	-815523.470774 -1800000.000000 -815523.470774 -1684500.000000
5	0	3	-801043.368586 -1800000.000000 -801043.368586 -1684500.000000
5	0	4	-780343.161072 -1800000.000000 -780343.161072 -1684500.000000
5	0	5	-752949.766348 -1800000.000000 -752949.766348 -1684500.000000
5	0	6	-722344.540544 -1800000.000000 -722344.540544 -1684500.000000
5	0	7	-683923.597945 -1800000.000000 -683923.597945 -1684500.000000
5	0	8	-641005.184833 -1800000.000000 -641005.184833 -1684500.000000
5	0	9	-584849.470177 -1800000.000000 -584849.470177 -1684500.000000
5	0	10	-522858.008799 -1800000.000000 -522858.008799 -1684500.000000
5	0	11	-450520.528033 -1800000.000000 -450520.528033 -1684500.000000
5	0	12	-363552.400879 -1800000.000000 -363552.400879 -1684500.000000
5	0	13	-270332.852824 -1800000.000000 -270332.852824 -1684500.000000
5	0	14	-163810.290762 -1800000.000000 -163810.290762 -1684500.000000
5	0	15	-53657.548949 -1800000.000000 -53657.548949 -1684500.000000
5	0	16	53657.548949 -1800000.000000 53657.548949 -1684500.000000
5	0	17	163810.290762 -1800000.000000 163810.290762 -1684500.000000
5	0	18	270332.852824 -1800000.000000 270332.852824 -1684500.000000
5	0	19	363552.400879 -1800000.000000 363552.400879 -1684500.000000
5	0	20	450520.528033 -1800000.000000 450520.528033 -1684500.000000
5	0	21	522858.008799 -1800000.000000 522858.008799 -1684500.000000
5	0	22	584849.470177 -1800000.000000 584849.470177 -1684500.000000
5	0	23	641005.184833 -1800000.000000 641005.184833 -1684500.000000
5	0	24	683923.597945 -1800000.000000 683923.597945 -1684500.000000
5	0	25	722344.540544 -1800000.000000 722344.540544 -1684500.000000
5	0	26	752949.766348 -1800000.000000 752949.766348 -1684500.000000
5	0	27	780343.161072 -1800000.000000 780343.161072 -1684500.000000
5	0	28	801043.368586 -1800000.000000 801043.368586 -1684500.000000
5	0	29	815523.470774 -1800000.000000 815523.470774 -1684500.000000
5	0	30	832134.240789 -1800000.000000 832134.240789 -1684500.000000
5	0	31	843228.899863 -1800000.000000 843228.899863 -1684500.000000
5	1	0	-843228.899863 -1684500.000000 -843228.899863 -1573000.000000
5	1	1	-832134.240789 -1684500.000000 -832134.240789 -1573000.000000
5	1	2	-815523.470774 -1684500.000000 -815523.470774 -1573000.000000
5	1	3	-801043.368586 -1684500.000000 -801043.368586 -1573000.000000
5	1	4	-780343.161072 -1684500.000000 -780343.161072 -1573000.000000
5	1	5	-752949.766348 -1684500.000000 -752949.766348 -1573000.000000
5	1	6	-722344.540544 -1684500.000000 -722344.540544 -1573000.000000
5	1	7	-683923.597945 -1684500.000000 -683923.597945 -1573000.000000
5	1	8	-641005.184833 -1684500.000000 -641005.184833 -1573000.000000
5	1	9	-584849.470177 -1684500.000000 -584849.470177 -1573000.000000
5	1	10	-522858.008799 -1684500.000000 -522858.008799 -1573000.000000
5	1	11	-450520.528033 -1684500.000000 -450520.528033 -1573000.000000
5	1	12	-363552.400879 -1684500.000000 -363552.400879 -1573000.000000
5	1	13	-270332.852824 -1684500.000000 -270332.852824 -1573000.000000
5	1	14	-163810.290762 -1684500.000000 -163810.290762 -1573000.000000
5	1	15	-53657.548949 -1684500.000000 -53657.548949 -1573000.000000
5	1	16	53657.548949 -1684500.000000 53657.548949 -1573000.000000
5	1	17	163810.290762 -1684500.000000 163810.290762 -1573000.000000
5	1	18	270332.852824 -1684500.000000 270332.852824 -1573000.000000
5	1	19	363552.400879 -1684500.000000 363552.400879 -1573000.000000
5	1	20	450520.528033 -1684500.000000 450520.528033 -1573000.000000
5	1	21	522858.008799 -1684500.000000 522858.008799 -1573000.000000
5	1	22	584849.470177 -1684500.000000 584849.470177 -1573000.000000
5	1	23	641005.184833 -1684500.000000 641005.184833 -1573000.000000
5	1	24	683923.597945 -1684500.000000 683923.597945 -1573000.000000
5	1	25	722344.540544 -1684500.000000 722344.540544 -1573000.000000
5	1	26	752949.766348 -1684500.000000 752949.766348 -1573000.000000
5	1	27	780343.161072 -1684500.000000 780343.161072 -1573000.000000
5	1	28	801043.368586 -1684500.000000 801043.368586 -1573000.000000
5	1	29	815523.470774 -1684500.000000 815523.470774 -1573000.000000
5	1	30	832134.240789 -1684500.000000 832134.240789 -1573000.000000
5	1	31	843228.899863 -1684500.000000 843228.899863 -1573000.000000
5	2	0	-843228.899863 -1573000.000000 -843228.899863 -1461500.000000
5	2	1	-832134.240789 -1573000.000000 -832134.240789 -1461500.000000
5	2	2	-815523.470774 -1573000.000000 -815523.470774 -1461500.000000
5	2	3	-801043.368586 -1573000.000000 -801043.368586 -1461500.000000
5	2	4	-780343.161072 -1573000.000000 -780343.161072 -1461500.000000
5	2	5	-752949.766348 -1573000.000000 -752949.766348 -1461500.000000
5	2	6	-722344.540544 -1573000.000000 -722344.540544 -1461500.000000
5	2	7	-683923.597945 -1573000.000000 -683923.597945 -1461500.000000
5	2	8	-641005.184833 -1573000.000000 -641005.184833 -1461500.000000
5	2	9	-584849.470177 -1573000.000000 -584849.470177 -1461500.000000
5	2	10	-522858.008799 -1573000.000000 -522858.008799 -1461500.000000
5	2	11	-450520.528033 -1573000.000000 -450520.528033 -1461500.000000
5	2	12	-363552.400879 -1573000.000000 -363552.400879 -1461500.000000
5	2	13	-270332.852824 -1573000.000000 -270332.852824 -1461500.000000
5	2	14	-163810.290762 -1573000.000000 -163810.290762 -1461500.000000
5	2	15	-53657.548949 -1573000.000000 -53657.548949 -1461500.000000
5	2	16	53657.548949 -1573000.000000 53657.548949 -1461500.000000
5	2	17	163810.290762 -1573000.000000 163810.290762 -1461500.000000
5	2	18	270332.852824 -1573000.000000 270332.852824 -1461500.000000
5	2	19	363552.400879 -1573000.000000 363552.400879 -1461500.000000
5	2	20	450520.528033 -1573000.000000 450520.528033 -1461500.000000
5	2	21	522858.008799 -1573000.000000 522858.008799 -1461500.000000
