ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
チャン・イミックス・カウィール	Chan Imix K'awiil	-89.146783	14.849725	-89.146783	14.849725	1942380	1950865
チャン・イミックス・カウィール	Chan Imix K'awiil	-89.146783	14.849725	-89.146783	14.849725	1950865	1950866
チャン・イミックス・カウィール	Chan Imix K'awiil	-89.146783	14.849725	-89.146783	14.849725	1950866	1959562
チャン・イミックス・カウィール	Chan Imix K'awiil	-89.146783	14.849725	-89.146783	14.849725	1959562	1959563
チャン・イミックス・カウィール	Chan Imix K'awiil	-89.146783	14.849725	-89.146783	14.849725	1959563	1975468
チャン・イミックス・カウィール	Chan Imix K'awiil	-89.146783	14.849725	-89.146783	14.849725	1975468	1975469
チャン・イミックス・カウィール	Chan Imix K'awiil	-89.146783	14.849725	-89.146783	14.849725	1975469	1975470
チャン・イミックス・カウィール	Chan Imix K'awiil	-89.146783	14.849725	-89.146783	14.849725	1975470	1975471
チャン・イミックス・カウィール	Chan Imix K'awiil	-89.146783	14.849725	-89.146783	14.849725	1975471	1975501
