key	longitude	latitude	overall_length	texture	first_year	last_year
DolmenKR103	126.108	39.923	50	Dolmen	-700	-200
DolmenKR104	124.732	39.9167	50	Dolmen	-700	-200
DolmenKR105	123.313	39.8987	50	Dolmen	-700	-200
DolmenKR106	126.052	39.8915	50	Dolmen	-700	-200
DolmenKR107	127.684	39.8852	50	Dolmen	-700	-200
DolmenKR108	123.071	39.8397	50	Dolmen	-700	-200
DolmenKR109	127.54	39.797	50	Dolmen	-700	-200
DolmenKR110	125.82	39.7907	50	Dolmen	-700	-200
DolmenKR111	125.836	39.7403	50	Dolmen	-700	-200
DolmenKR112	126.492	39.7403	50	Dolmen	-700	-200
DolmenKR113	126.54	39.7214	50	Dolmen	-700	-200
DolmenKR114	125.62	39.7088	50	Dolmen	-700	-200
DolmenKR115	125.932	39.6899	50	Dolmen	-700	-200
DolmenKR116	126.644	39.6899	50	Dolmen	-700	-200
DolmenKR117	126.556	39.6773	50	Dolmen	-700	-200
DolmenKR118	126.5	39.6773	50	Dolmen	-700	-200
DolmenKR119	123.082	39.6745	50	Dolmen	-700	-200
DolmenKR120	123.137	39.6568	50	Dolmen	-700	-200
DolmenKR121	123.06	39.645	50	Dolmen	-700	-200
DolmenKR122	122.411	39.645	50	Dolmen	-700	-200
DolmenKR123	126.572	39.6395	50	Dolmen	-700	-200
DolmenKR124	123.137	39.6332	50	Dolmen	-700	-200
DolmenKR125	122.466	39.6155	50	Dolmen	-700	-200
DolmenKR126	122.301	39.6155	50	Dolmen	-700	-200
DolmenKR127	122.202	39.6096	50	Dolmen	-700	-200
DolmenKR128	122.587	39.5919	50	Dolmen	-700	-200
DolmenKR129	122.334	39.586	50	Dolmen	-700	-200
DolmenKR130	122.455	39.5801	50	Dolmen	-700	-200
DolmenKR131	127.396	39.5765	50	Dolmen	-700	-200
DolmenKR132	122.543	39.5683	50	Dolmen	-700	-200
DolmenKR133	122.268	39.5624	50	Dolmen	-700	-200
DolmenKR134	122.356	39.5565	50	Dolmen	-700	-200
DolmenKR135	126.38	39.545	50	Dolmen	-700	-200
DolmenKR136	122.29	39.5447	50	Dolmen	-700	-200
DolmenKR137	122.202	39.5447	50	Dolmen	-700	-200
DolmenKR138	122.422	39.5388	50	Dolmen	-700	-200
DolmenKR139	122.235	39.527	50	Dolmen	-700	-200
DolmenKR140	122.334	39.5211	50	Dolmen	-700	-200
DolmenKR141	122.499	39.5152	50	Dolmen	-700	-200
