key	en-US	ja-JP	language_zh_tw	language_zh_cn	language_ko_kr	language_es	language_pt	language_de	language_fr	language_it	language_tr	language_pl	language_el	language_nl	language_cs	language_uk	language_ru	language_id	language_fa	language_ar	language_null
language	English	日本語	繁體中文	简体中文	한국어	Español	Português	Deutsch	Français	Italiano	Türkçe	Język polski	Ελληνικά	Nederlands	Čeština	Українська	Русский язык	Bahasa Indonesia	فارسی	اللغة العربية	
language_en	English	Japanese	Chinese	Chinese	Korean	Spanish	Portuguese	German	French	Italian	Turkish	Polish	Greek	Dutch	Czech	Ukrainian	Russian	Indonesian	Persian	Arabic	
language_ja	英語	日本語	繁体字中国語	簡体字中国語	韓国語	スペイン語	ポルトガル語	ドイツ語	フランス語	イタリア語	トルコ語	ポーランド語	ギリシャ語	オランダ語	チェコ語	ウクライナ語	ロシア語	インドネシア語	ペルシア語	アラビア語	
