key	ja-JP	en-US	longitude	latitude	min_size	max_size
KamchatkaAinu1	ノッシツ	Nosshitsu	156.907524	57.671767	1	16
KamchatkaAinu2	ノッシュツベツ	Nosshutsu-pet	156.771798	57.072794	1	4
KamchatkaAinu3	タツコフベツ	Tatsukofu-pet	156.659515	57.042734	1	4
KamchatkaAinu4	レプンイショ	Repunisho	156.586132	57.17482	1	16
KamchatkaAinu5	タツコフ	Tatsukofu	156.535732	57.080268	1	4
KamchatkaAinu6	シラルホ	Shiraruho	155.591242	55.043277	1	16
KamchatkaAinu7	レプンライシャシ	Repunraishashi	156.66476	50.865417	1	16
KamchatkaAinu8	ヤツオチウシ	Yatsuochiushi	157.552216	51.494346	1	16
KamchatkaAinu9	イヤカンヌフリ	Iyakan-nupuri	158.703882	52.886238	1	16
KamchatkaAinu10	トウサンベツ	Tosam-pet	160.031889	53.099494	1	16
KamchatkaAinu11	ポンルルカ	Ponruruka	162.619893	56.229044	1	16
KamchatkaAinu12	ヒルスコイ	Hirusukoi			1	16
KamchatkaAinu13	ペトルヤー	Petoruya			1	16
