en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Yax Nuun Ahiin I	-98.871635	19.686081	-98.871635	19.686081	1851086	1860115
Yax Nuun Ahiin I	-98.871635	19.686081	-89.61447	17.21451	1860115	1860138
Yax Nuun Ahiin I	-89.61447	17.21451	-89.61447	17.21451	1860138	1863869
Yax Nuun Ahiin I	-89.61447	17.21451	-89.61447	17.21451	1863869	1863870
Yax Nuun Ahiin I	-89.61447	17.21451	-89.61447	17.21451	1863870	1869182
Yax Nuun Ahiin I	-89.61447	17.21451	-89.61447	17.21451	1869182	1869183
Yax Nuun Ahiin I	-89.61447	17.21451	-89.61447	17.21451	1869183	1869213
