Z	Y	Distance X	Distance Y	Area XY
16	32599	611.417	607.325	371328.8295
16	32598	611.416	607.324	371327.6108
16	32597	611.415	607.323	371326.392
16	32596	611.414	607.322	371325.1733
16	32595	611.413	607.321	371323.9546
16	32594	611.412	607.32	371322.7358
16	32593	611.411	607.319	371321.5171
16	32592	611.41	607.318	371320.2984
16	32591	611.409	607.317	371319.0797
16	32590	611.408	607.316	371317.8609
16	32589	611.407	607.315	371316.6422
16	32588	611.406	607.315	371316.0349
16	32587	611.405	607.314	371314.8162
16	32586	611.404	607.313	371313.5975
16	32585	611.403	607.312	371312.3787
16	32584	611.402	607.311	371311.16
16	32583	611.401	607.31	371309.9413
16	32582	611.4	607.309	371308.7226
16	32581	611.399	607.307	371306.8925
16	32580	611.398	607.306	371305.6738
16	32579	611.397	607.305	371304.4551
16	32578	611.396	607.304	371303.2364
16	32577	611.395	607.303	371302.0177
16	32576	611.394	607.302	371300.799
16	32575	611.393	607.301	371299.5803
16	32574	611.392	607.3	371298.3616
16	32573	611.391	607.299	371297.1429
16	32572	611.39	607.298	371295.9242
16	32571	611.388	607.297	371294.0982
16	32570	611.387	607.296	371292.8796
16	32569	611.386	607.295	371291.6609
16	32568	611.385	607.294	371290.4422
16	32567	611.384	607.293	371289.2235
16	32566	611.383	607.292	371288.0048
16	32565	611.382	607.291	371286.7862
16	32564	611.381	607.289	371284.9561
16	32563	611.38	607.288	371283.7374
16	32562	611.378	607.287	371281.9115
16	32561	611.377	607.286	371280.6928
16	32560	611.376	607.285	371279.4742
16	32559	611.375	607.284	371278.2555
16	32558	611.374	607.283	371277.0368
16	32557	611.373	607.281	371275.2068
16	32556	611.371	607.28	371273.3809
16	32555	611.37	607.279	371272.1622
16	32554	611.369	607.278	371270.9436
16	32553	611.368	607.277	371269.7249
16	32552	611.367	607.276	371268.5063
16	32551	611.365	607.274	371266.069
16	32550	611.364	607.273	371264.8504
16	32549	611.363	607.272	371263.6317
16	32548	611.362	607.271	371262.4131
16	32547	611.361	607.27	371261.1945
16	32546	611.359	607.268	371258.7572
16	32545	611.358	607.267	371257.5386
16	32544	611.357	607.266	371256.32
16	32543	611.356	607.265	371255.1013
16	32542	611.354	607.264	371253.2755
16	32541	611.353	607.262	371251.4455
16	32540	611.352	607.261	371250.2269
16	32539	611.351	607.26	371249.0083
16	32538	611.349	607.259	371247.1824
16	32537	611.348	607.257	371245.3524
16	32536	611.347	607.256	371244.1338
16	32535	611.345	607.255	371242.308
16	32534	611.344	607.254	371241.0894
16	32533	611.343	607.252	371239.2594
16	32532	611.341	607.251	371237.4336
16	32531	611.34	607.25	371236.215
16	32530	611.339	607.248	371234.3851
16	32529	611.337	607.247	371232.5592
16	32528	611.336	607.246	371231.3407
16	32527	611.335	607.244	371229.5107
16	32526	611.333	607.243	371227.6849
16	32525	611.332	607.242	371226.4663
16	32524	611.331	607.24	371224.6364
16	32523	611.329	607.239	371222.8106
16	32522	611.328	607.238	371221.5921
16	32521	611.327	607.236	371219.7622
16	32520	611.325	607.235	371217.9364
16	32519	611.324	607.234	371216.7178
16	32518	611.323	607.232	371214.8879
16	32517	611.321	607.231	371213.0622
16	32516	611.32	607.23	371211.8436
16	32515	611.318	607.228	371209.4065
16	32514	611.317	607.227	371208.188
16	32513	611.315	607.225	371205.7509
16	32512	611.314	607.224	371204.5323
16	32511	611.313	607.223	371203.3138
16	32510	611.311	607.221	371200.8767
16	32509	611.31	607.22	371199.6582
16	32508	611.308	607.218	371197.2211
16	32507	611.307	607.217	371196.0026
16	32506	611.305	607.216	371194.1769
16	32505	611.304	607.214	371192.3471
16	32504	611.302	607.213	371190.5213
16	32503	611.301	607.211	371188.6915
16	32502	611.3	607.21	371187.473
16	32501	611.298	607.208	371185.036
16	32500	611.297	607.207	371183.8175
16	32499	611.295	607.205	371181.3805
16	32498	611.294	607.204	371180.162
16	32497	611.292	607.203	371178.3363
16	32496	611.291	607.201	371176.5065
16	32495	611.289	607.2	371174.6808
16	32494	611.287	607.198	371172.2438
16	32493	611.286	607.197	371171.0253
16	32492	611.284	607.195	371168.5884
16	32491	611.283	607.194	371167.3699
16	32490	611.281	607.192	371164.933
16	32489	611.28	607.191	371163.7145
16	32488	611.278	607.189	371161.2775
16	32487	611.277	607.187	371159.4478
16	32486	611.275	607.186	371157.6222
16	32485	611.274	607.184	371155.7924
16	32484	611.272	607.183	371153.9668
16	32483	611.27	607.181	371151.5299
16	32482	611.269	607.18	371150.3114
16	32481	611.267	607.178	371147.8745
16	32480	611.266	607.177	371146.6561
16	32479	611.264	607.175	371144.2192
16	32478	611.262	607.173	371141.7823
16	32477	611.261	607.172	371140.5639
16	32476	611.259	607.17	371138.127
16	32475	611.257	607.169	371136.3014
16	32474	611.256	607.167	371134.4718
16	32473	611.254	607.165	371132.0349
16	32472	611.253	607.164	371130.8165
16	32471	611.251	607.162	371128.3797
16	32470	611.249	607.161	371126.5541
16	32469	611.248	607.159	371124.7244
16	32468	611.246	607.157	371122.2876
16	32467	611.244	607.156	371120.4621
16	32466	611.243	607.154	371118.6324
16	32465	611.241	607.152	371116.1956
