key	value
Roma264	Dioryktos?
Roma265	Vigla (Acarnania)
Roma266	Sollion
Roma267	Palairos
Roma268	*Geumi
Roma269	Aunobari
Roma270	Agbia
Roma271	Henchir-Ain-ez-Zaouia
Roma272	Thugga/Tokai?
Roma273	Thubursicu Bure
Roma275	Thizika
Roma276	*Matar
Roma277	Thigibba Bure
Roma278	Bordj-Mohammed-ben-Sultan
Roma279	Uchi Maius
Roma280	Ain Ouassel
Roma281	*Geumi
Roma282	Thimida Bure
Roma283	Henchir-Ain-ez-Zaouia
Roma287	Assuras
Roma288	Untitled
Roma292	Assuras
Roma293	Untitled
Roma294	Ad Molas?
Roma295	Madauros
Roma296	Pupput
Roma297	Thinissut
Roma299	"Byzantine fortress	 Ammaedara"
Roma300	Ammaedara
Roma301	Siguese
Roma307	Onellaba?/Odiana
Roma320	Untitled
Roma321	Novae Aquilianae?
Roma322	Kef-er-Rechga
Roma323	Avensa
Roma324	Picus
Roma325	Ausigda?
Roma326	Kainopolis
Roma327	Ausigda?
Roma328	Kainopolis
Roma329	Tabuinati
Roma330	Gheriat el-Garbia
Roma331	Unnamed bridges (west of Iol Caesarea)
Roma332	Iol Caesarea
Roma333	Trois Îlots
Roma334	el Hattaba
Roma335	Rusubbicari Matidiae
Roma336	Rusuccuru
Roma337	Choba
Roma338	Rapidum
Roma339	Kherba de Sfisifa
Roma340	Medjedel
Roma341	Diana Veteranorum
Roma342	Nova Petra?
Roma343	Untitled
Roma344	Untitled
Roma345	Verecunda
Roma346	Lambaesis
Roma347	Untitled
Roma348	Untitled
Roma349	Badias
Roma350	Untitled
Roma351	Thubunae/Tuben Oppidum
Roma352	el Hattaba
Roma353	Unnamed bridges (west of Iol Caesarea)
Roma354	Iol Caesarea
Roma355	Trois Îlots
Roma356	Numerus Syrorum
Roma357	Civitas Nattabutum/Castellum Ro(...)
Roma358	Chullu
Roma359	Hydreuma to epi tou Paneiou
Roma360	Hydreuma to epi tou Paneiou
Roma361	Nechesia?
Roma362	Badia'
Roma363	Wadi Belih
Roma364	Deir Sugheir Wadi Ma'amal
Roma365	Lycabettos
Roma366	Deir Sugheir Wadi Ma'amal
Roma367	Deir Kebir Wadi Ma'amal
Roma368	Wadi Belih
Roma369	Footpath Station
Roma370	Badia'
Roma371	Makhareg
Roma372	Qasr Hadie
Roma373	Myos Hormos?
Roma374	Tamuda
Roma375	Kitzan
Roma376	Cottae?
Roma377	Ad Novas
Roma378	Hjar Zerbotta
Roma379	Briej
Roma380	Ad Mercuri?
Roma381	Zilil/Zilis
Roma382	Tabernae
Roma383	Bou Rebaa
Roma384	Koudia Aicha
Roma385	Sidi Moussa
Roma386	Koudia Aicha
Roma387	Bou Rebaa
Roma388	Sidi Moussa
Roma389	Merachiche
Roma390	el Isnam
Roma391	Kalloul
Roma392	Sidi-Ghilès
Roma393	Sidi-Haddouch
Roma394	Unnamed settlement southeast of Sidi-Ghilès
Roma395	Boulalem
Roma396	Unnamed bridges (west of Iol Caesarea)
Roma397	Iol Caesarea
Roma398	Unnamed bridges (west of Iol Caesarea)
Roma399	Iol Caesarea
Roma400	Trois Îlots
Roma401	el Hattaba
Roma402	Unnamed bridges (west of Iol Caesarea)
Roma403	Iol Caesarea
Roma404	Trois Îlots
Roma405	el Hattaba
Roma406	Unnamed bridges (west of Iol Caesarea)
Roma407	Iol Caesarea
Roma408	Trois Îlots
Roma409	el Hattaba
Roma410	Sidi Moussa
Roma411	el Hattaba
Roma412	Trois Îlots
Roma413	Sidi Moussa
Roma414	Trois Îlots
Roma415	el Hattaba
Roma416	Sidi Moussa
Roma417	Iol Caesarea
Roma418	Trois Îlots
Roma419	el Hattaba
Roma420	Sidi Moussa
Roma421	el Hattaba
Roma422	Regiae
Roma423	Vagal?
Roma424	Tipasa
Roma425	Sidi-Haddouch
Roma426	Boulalem
Roma427	Sidi-Ghilès
Roma428	Unnamed settlement southeast of Sidi-Ghilès
Roma429	Unnamed bridges (west of Iol Caesarea)
Roma430	Iol Caesarea
Roma431	Boulalem
Roma432	Sidi-Ghilès
Roma433	Unnamed settlement southeast of Sidi-Ghilès
Roma434	Unnamed bridges (west of Iol Caesarea)
Roma435	Iol Caesarea
Roma436	Rusubbicari Matidiae
Roma437	Rusuccuru
Roma438	Centenarium Aqua Frigida
Roma439	Muslubium
Roma440	Choba
Roma441	Rapidum
Roma442	Kherba de Sfisifa
Roma443	Castellum Tulei
Roma444	Ksar Roumi
Roma445	Dra Zeg et Ter
Roma446	Untitled
Roma447	Dra Azib Boujet
Roma448	Untitled
Roma449	Untitled
Roma450	Untitled
Roma451	Muslubium
Roma452	Centenarium Aqua Frigida
Roma453	Untitled
Roma454	Ouled Agla
Roma455	Untitled
Roma456	Ain Grimidi
Roma457	Untitled
Roma458	Medjedel
Roma459	Diana Veteranorum
Roma460	Nova Petra?
Roma461	Untitled
Roma462	Untitled
Roma463	Verecunda
Roma464	Lambaesis
Roma465	Untitled
Roma466	Untitled
Roma467	Verecunda
Roma468	Lambaesis
Roma469	Untitled
Roma470	Untitled
Roma471	Untitled
Roma472	Zabi (Iustiniana)
Roma473	Diana Veteranorum
Roma474	Nova Petra?
Roma475	Sidi Moussa
Roma476	Trois Îlots
Roma477	el Hattaba
Roma478	Thibilis
Roma479	Badias
Roma480	Untitled
Roma481	Ubaza Castellum
Roma482	Thubunae/Tuben Oppidum
Roma483	el Hattaba
Roma484	Unnamed bridges (west of Iol Caesarea)
Roma485	Iol Caesarea
Roma486	Trois Îlots
Roma487	Portus Sigensis
Roma488	Siga
Roma489	Numerus Syrorum
Roma490	Tubusuctu
Roma491	Ad Aquas Herculis
Roma492	Burgus Speculatorius Antoninianus
Roma493	Mesarfelta
Roma494	Lambdia
Roma495	Untitled
Roma496	Civitas Nattabutum/Castellum Ro(...)
Roma497	Untitled
Roma498	Verecunda
Roma499	Lambaesis
Roma500	Untitled
Roma501	Lamsorti
Roma502	Alea(...)
Roma503	Thamugadi
